dataset,seed,n_samples,group,ST,ST_conf
2012,100,1024,Arrival Calendar,0.13283752020298528,0.1053959215381126
2012,100,1024,Arrival Distribution,0.7122039239832278,0.7924228524872599
2012,100,1024,Gateways,0.5593479484587798,0.49714950558447135
2012,100,1024,Resource Calendars,0.6021766035965358,0.20577802685823965
2012,100,1024,Resource Numbers,0.3635246740325629,0.1362866518145344
2012,100,1024,Tasks and Resources Distributions,0.49917510468373666,0.28635090938343977
2012,100,2048,Arrival Calendar,0.16262960787349007,0.06463416314683591
2012,100,2048,Arrival Distribution,0.706411164284828,0.5332342200595743
2012,100,2048,Gateways,0.46970810822260717,0.3563957102473599
2012,100,2048,Resource Calendars,0.7410057004678137,0.29442714035139306
2012,100,2048,Resource Numbers,0.30480376383265234,0.09733804917340019
2012,100,2048,Tasks and Resources Distributions,0.4174117391974357,0.21815408284673074
2012,100,512,Arrival Calendar,0.07705863717816132,0.041051199643085075
2012,100,512,Arrival Distribution,0.24504175049364565,0.24684387018333984
2012,100,512,Gateways,0.6805624063101153,1.0111380869689743
2012,100,512,Resource Calendars,0.4346249557060771,0.18177678874641245
2012,100,512,Resource Numbers,0.3949705445792276,0.20984841493348916
2012,100,512,Tasks and Resources Distributions,0.5675929849911178,0.502749818369437
2012,200,1024,Arrival Calendar,0.10399546764108725,0.062178697805142125
2012,200,1024,Arrival Distribution,0.47384899436656475,0.23905739732710035
2012,200,1024,Gateways,0.10121514328578994,0.05553097140469149
2012,200,1024,Resource Calendars,0.6188432770081835,0.40875223729225635
2012,200,1024,Resource Numbers,0.3042942468341403,0.18751385491060218
2012,200,1024,Tasks and Resources Distributions,0.29737327947291137,0.24201383565795895
2012,200,2048,Arrival Calendar,0.07868673177961427,0.03402817341452825
2012,200,2048,Arrival Distribution,0.3481992412091065,0.1562205705564739
2012,200,2048,Gateways,0.17117044671014686,0.07747661687371836
2012,200,2048,Resource Calendars,0.49596563007177824,0.14758560087761355
2012,200,2048,Resource Numbers,0.3724078914870767,0.20003749246570793
2012,200,2048,Tasks and Resources Distributions,0.734879894558257,0.45452841740135863
2012,200,512,Arrival Calendar,0.08120463252257745,0.07297054799909743
2012,200,512,Arrival Distribution,0.5252579347793793,0.37950729263045735
2012,200,512,Gateways,0.08084078051617599,0.06612741682711674
2012,200,512,Resource Calendars,0.6797270500960224,0.5592916563344092
2012,200,512,Resource Numbers,0.37993453891869383,0.41925536652899714
2012,200,512,Tasks and Resources Distributions,0.3566028929035901,0.3929994680489651
2012,300,1024,Arrival Calendar,0.03671836328806453,0.24486837333590553
2012,300,1024,Arrival Distribution,0.11527872153004223,0.5339805669643346
2012,300,1024,Gateways,0.07468473970351946,0.33543731960906814
2012,300,1024,Resource Calendars,0.09685779254315006,0.4976334337304306
2012,300,1024,Resource Numbers,0.0988831401792727,0.5032869342961245
2012,300,1024,Tasks and Resources Distributions,0.1489149573733476,0.7754961622497452
2012,300,2048,Arrival Calendar,0.08546920233497043,0.23881146674756643
2012,300,2048,Arrival Distribution,0.14514012851580063,0.3774702428312814
2012,300,2048,Gateways,0.12000106570017276,0.3149109695858466
2012,300,2048,Resource Calendars,0.1308748795939767,0.38724681174296827
2012,300,2048,Resource Numbers,0.16475393514910272,0.45362136214601434
2012,300,2048,Tasks and Resources Distributions,0.22721412825698123,0.5806866688671934
2012,300,512,Arrival Calendar,0.26347823595753894,1.0353421498696909
2012,300,512,Arrival Distribution,0.7607373774137421,0.37310542511492917
2012,300,512,Gateways,0.44559875030593704,0.3458662941027261
2012,300,512,Resource Calendars,0.3345705910611647,0.6686515272617725
2012,300,512,Resource Numbers,0.665051754733474,0.3384134919668428
2012,300,512,Tasks and Resources Distributions,0.4289329146808886,0.3125096365683727
