dataset,seed,n_samples,group,ST,ST_conf
2012,100,1024,Arrival Calendar,0.16392014846988934,0.04609901112947036
2012,100,1024,Arrival Distribution,0.4539087707585302,0.0789340620004246
2012,100,1024,Resource Calendars,0.7347040499841092,0.18449288120536683
2012,100,1024,Resource Numbers,0.3148768324433907,0.10917619587889782
2012,100,1024,Tasks and Resources Distributions,0.18046611637896415,0.07881750276059406
2012,100,2048,Arrival Calendar,0.14939914445918365,0.03364093320459796
2012,100,2048,Arrival Distribution,0.5258767159012715,0.12649513428510809
2012,100,2048,Resource Calendars,0.8715235913045276,0.272363581835164
2012,100,2048,Resource Numbers,0.4104145705107973,0.15416481039252294
2012,100,2048,Tasks and Resources Distributions,0.3790539629094302,0.28894527274696974
2012,100,512,Arrival Calendar,0.15609031830333922,0.0753490011151314
2012,100,512,Arrival Distribution,0.4623012078940656,0.127824748903502
2012,100,512,Resource Calendars,0.8115343936279164,0.3166678774894238
2012,100,512,Resource Numbers,0.3335203969509733,0.17428276430921028
2012,100,512,Tasks and Resources Distributions,0.2021614583939963,0.10611037033894431
2012,200,1024,Arrival Calendar,0.09825785600039365,0.04165033128362441
2012,200,1024,Arrival Distribution,0.4195185490227208,0.19492109512173883
2012,200,1024,Resource Calendars,0.622466550390826,0.4101128569759938
2012,200,1024,Resource Numbers,0.49861046833832656,0.5860121392390288
2012,200,1024,Tasks and Resources Distributions,0.14893236910117838,0.06935258460784685
2012,200,2048,Arrival Calendar,0.12784866012782828,0.047587367129032984
2012,200,2048,Arrival Distribution,0.42633097462025576,0.1360065459114483
2012,200,2048,Resource Calendars,0.6493456312930979,0.283234632111863
2012,200,2048,Resource Numbers,0.38013526139682013,0.3093717823443668
2012,200,2048,Tasks and Resources Distributions,0.18918239541584245,0.08784644883405253
2012,200,512,Arrival Calendar,0.09656869008212088,0.0689267038899584
2012,200,512,Arrival Distribution,0.47668451716267213,0.44640051670338576
2012,200,512,Resource Calendars,0.41743772611411295,0.31826376937792394
2012,200,512,Resource Numbers,0.7427649100513416,1.531236475039048
2012,200,512,Tasks and Resources Distributions,0.160729384537281,0.11675115955041955
2012,300,1024,Arrival Calendar,0.10942427710022332,0.04623579293637856
2012,300,1024,Arrival Distribution,0.5987492288837077,0.27439941094737047
2012,300,1024,Resource Calendars,0.6170132009455132,0.17211119442025458
2012,300,1024,Resource Numbers,0.2247368945219722,0.14943969977856586
2012,300,1024,Tasks and Resources Distributions,0.6823572644455053,0.9660322120844653
2012,300,2048,Arrival Calendar,0.11657659225836077,0.04423872960787557
2012,300,2048,Arrival Distribution,0.49541237104603286,0.17669500386798057
2012,300,2048,Resource Calendars,0.529243047804393,0.16951477578064256
2012,300,2048,Resource Numbers,0.3427491386435051,0.28950382892468096
2012,300,2048,Tasks and Resources Distributions,0.23578179154002596,0.11798257990302201
2012,300,512,Arrival Calendar,0.11953804002737256,0.06447992596215361
2012,300,512,Arrival Distribution,0.681060051991947,0.5737562042304581
2012,300,512,Resource Calendars,0.5270035104673515,0.158856587903852
2012,300,512,Resource Numbers,0.32843732521920127,0.2757732039922831
2012,300,512,Tasks and Resources Distributions,1.325619219324473,2.548603721678843
