dataset,seed,n_samples,group,ST,ST_conf
2012,100,1024,Arrival Calendar,0.08493103981330988,0.011756555534382155
2012,100,1024,Arrival Distribution,0.24306080373276767,0.02842337294895177
2012,100,1024,Resource Calendars,0.15133016073167346,0.016308274531856248
2012,100,1024,Resource Numbers,0.05497492966736948,0.006964316216155788
2012,100,1024,Tasks and Resources Distributions,0.5582928363552648,0.040967026478822444
2012,100,2048,Arrival Calendar,0.08723996004477212,0.008155556402232637
2012,100,2048,Arrival Distribution,0.246267794234455,0.019999814962813195
2012,100,2048,Resource Calendars,0.15554784510694752,0.013301752153846902
2012,100,2048,Resource Numbers,0.0538090882387731,0.00509367536501352
2012,100,2048,Tasks and Resources Distributions,0.5565096868037355,0.034608467302981095
2012,100,512,Arrival Calendar,0.08347387651028008,0.016806023794577317
2012,100,512,Arrival Distribution,0.25012643887938363,0.041144776809284946
2012,100,512,Resource Calendars,0.15368678092984464,0.02475256484693853
2012,100,512,Resource Numbers,0.05759129656692269,0.012029301760378036
2012,100,512,Tasks and Resources Distributions,0.5593734013784519,0.07373368897368097
2012,200,1024,Arrival Calendar,0.09250521043694898,0.014983554450762125
2012,200,1024,Arrival Distribution,0.2506205750861329,0.03222382278393924
2012,200,1024,Resource Calendars,0.17455902232235956,0.02192290801803985
2012,200,1024,Resource Numbers,0.05926447245703979,0.009571450834500467
2012,200,1024,Tasks and Resources Distributions,0.5513652120165515,0.053740480327255834
2012,200,2048,Arrival Calendar,0.09064966910580255,0.010579155543866806
2012,200,2048,Arrival Distribution,0.2575411816256041,0.024540965241238416
2012,200,2048,Resource Calendars,0.16582689287576957,0.014465477672702346
2012,200,2048,Resource Numbers,0.05937150339622793,0.0058127328283434
2012,200,2048,Tasks and Resources Distributions,0.5506392365993419,0.03469267044703292
2012,200,512,Arrival Calendar,0.09076961759914677,0.02903765142843015
2012,200,512,Arrival Distribution,0.26215189481196804,0.050372804913776714
2012,200,512,Resource Calendars,0.1754494538527854,0.030394785142488206
2012,200,512,Resource Numbers,0.05980897143250464,0.014792479313231893
2012,200,512,Tasks and Resources Distributions,0.5419816362094674,0.07235280411457606
2012,300,1024,Arrival Calendar,0.08231873900910554,0.010808298295528235
2012,300,1024,Arrival Distribution,0.24696101367583756,0.025230672797421815
2012,300,1024,Resource Calendars,0.15216682579829582,0.015262619680459654
2012,300,1024,Resource Numbers,0.05471044354371094,0.008400507285794103
2012,300,1024,Tasks and Resources Distributions,0.5630076783547617,0.04908496843574117
2012,300,2048,Arrival Calendar,0.08132160796955816,0.007605136782492591
2012,300,2048,Arrival Distribution,0.25002373140888073,0.02263969613947683
2012,300,2048,Resource Calendars,0.14696117352463509,0.013119757814749045
2012,300,2048,Resource Numbers,0.055747431774190136,0.005746221496955078
2012,300,2048,Tasks and Resources Distributions,0.5645679146796911,0.031059736610592147
2012,300,512,Arrival Calendar,0.07997611508488406,0.017548265054802805
2012,300,512,Arrival Distribution,0.24944329268361834,0.03851388290855676
2012,300,512,Resource Calendars,0.15129381859844826,0.025994524930434543
2012,300,512,Resource Numbers,0.05790063492429961,0.012636079376201455
2012,300,512,Tasks and Resources Distributions,0.5578909354181149,0.05993384528232174
