dataset,seed,n_samples,group,ST,ST_conf
2012,100,1024,Arrival Calendar,0.16267539099162678,0.04641724652237944
2012,100,1024,Arrival Distribution,0.44660514104922155,0.09058276023568627
2012,100,1024,Resource Calendars,0.762256563290451,0.2284969074639566
2012,100,1024,Resource Numbers,0.3269627827007724,0.12075393895910012
2012,100,1024,Tasks and Resources Distributions,0.18798140980407074,0.08108809830631764
2012,100,2048,Arrival Calendar,0.14700977318946803,0.03381304399957919
2012,100,2048,Arrival Distribution,0.5212761719827874,0.13351907811812405
2012,100,2048,Resource Calendars,0.8978508614194344,0.2849910844589531
2012,100,2048,Resource Numbers,0.435270754977091,0.18767615993530604
2012,100,2048,Tasks and Resources Distributions,0.36747636575076104,0.26349761999480914
2012,100,512,Arrival Calendar,0.1557090951577234,0.07282616768551659
2012,100,512,Arrival Distribution,0.46739885846731977,0.13623546492088148
2012,100,512,Resource Calendars,0.8736930454583148,0.40254473964813386
2012,100,512,Resource Numbers,0.35937322293725676,0.1966963777873136
2012,100,512,Tasks and Resources Distributions,0.20851074547647439,0.1079507983166047
2012,200,1024,Arrival Calendar,0.09702015892010231,0.04151853889882822
2012,200,1024,Arrival Distribution,0.42797222144016905,0.20836840794311026
2012,200,1024,Resource Calendars,0.634725383036309,0.4167288508070853
2012,200,1024,Resource Numbers,0.49259049974938046,0.5671653601373985
2012,200,1024,Tasks and Resources Distributions,0.15284447971772172,0.07085332114997843
2012,200,2048,Arrival Calendar,0.1283967798066928,0.04880123706699957
2012,200,2048,Arrival Distribution,0.43542816973051485,0.14039860451373642
2012,200,2048,Resource Calendars,0.6631249187640824,0.2751652596980527
2012,200,2048,Resource Numbers,0.3792446251509173,0.29987925702470003
2012,200,2048,Tasks and Resources Distributions,0.19662132663890472,0.09104924625049508
2012,200,512,Arrival Calendar,0.09641580704922828,0.07153322368318904
2012,200,512,Arrival Distribution,0.48329837277577475,0.47368220438640024
2012,200,512,Resource Calendars,0.426728546402377,0.32863954387545663
2012,200,512,Resource Numbers,0.740491373599798,1.5042871954964108
2012,200,512,Tasks and Resources Distributions,0.162961999886085,0.12376383742483724
2012,300,1024,Arrival Calendar,0.10567783108539097,0.045927986601529386
2012,300,1024,Arrival Distribution,0.600767789357623,0.2867390735684609
2012,300,1024,Resource Calendars,0.6189428823984501,0.17957419430092053
2012,300,1024,Resource Numbers,0.22510484157262192,0.14475128598206474
2012,300,1024,Tasks and Resources Distributions,0.6686401523691445,0.9317534084060154
2012,300,2048,Arrival Calendar,0.1137620914952884,0.04486214402402005
2012,300,2048,Arrival Distribution,0.4921186944889944,0.18673623332522776
2012,300,2048,Resource Calendars,0.5343786519609738,0.17872351127781425
2012,300,2048,Resource Numbers,0.32047114755540873,0.2600942830938737
2012,300,2048,Tasks and Resources Distributions,0.23340232957363696,0.11658298964430289
2012,300,512,Arrival Calendar,0.1174567720858695,0.06245157116392585
2012,300,512,Arrival Distribution,0.6777121619018835,0.5826539341823439
2012,300,512,Resource Calendars,0.5271533478018695,0.165789319332745
2012,300,512,Resource Numbers,0.3238397011951634,0.2664029785802326
2012,300,512,Tasks and Resources Distributions,1.2694804021529824,2.3927154868085805
