dataset,seed,n_samples,group,S1,S1_conf
2012,100,512,Arrival Calendar,0.014430715,0.030623581
2012,100,512,Arrival Distribution,0.187562139,0.108189747
2012,100,512,Resource Calendars,0.410480147,0.153552477
2012,100,512,Resource Numbers,-0.004888834,0.071545391
2012,100,512,Tasks and Resources Distributions,0.030592155,0.033091976
2012,200,512,Arrival Calendar,0.009706872,0.053115207
2012,200,512,Arrival Distribution,0.065233366,0.078897001
2012,200,512,Resource Calendars,0.324514583,0.097322582
2012,200,512,Resource Numbers,-0.012915132,0.070998579
2012,200,512,Tasks and Resources Distributions,0.185407107,0.171668793
2012,300,512,Arrival Calendar,0.007251469,0.036400542
2012,300,512,Arrival Distribution,0.047657314,0.100659412
2012,300,512,Resource Calendars,0.362730734,0.119992084
2012,300,512,Resource Numbers,0.005226984,0.046871977
2012,300,512,Tasks and Resources Distributions,-0.02495416,0.099032578
2012,100,1024,Arrival Calendar,0.02641697,0.027488686
2012,100,1024,Arrival Distribution,0.146598393,0.07295343
2012,100,1024,Resource Calendars,0.372097463,0.08830003
2012,100,1024,Resource Numbers,0.018615754,0.048909217
2012,100,1024,Tasks and Resources Distributions,0.016866406,0.021283301
2012,200,1024,Arrival Calendar,0.012638415,0.031895658
2012,200,1024,Arrival Distribution,0.066008701,0.065561729
2012,200,1024,Resource Calendars,0.339033394,0.091205113
2012,200,1024,Resource Numbers,-0.01297265,0.036500724
2012,200,1024,Tasks and Resources Distributions,0.108758526,0.1061128
2012,300,1024,Arrival Calendar,0.000378671,0.021548466
2012,300,1024,Arrival Distribution,0.092879036,0.071318367
2012,300,1024,Resource Calendars,0.320492029,0.106759785
2012,300,1024,Resource Numbers,0.008365228,0.034856661
2012,300,1024,Tasks and Resources Distributions,0.007629805,0.047658847
2012,100,2048,Arrival Calendar,0.021855694,0.026384917
2012,100,2048,Arrival Distribution,0.119068495,0.056394914
2012,100,2048,Resource Calendars,0.384338557,0.071132685
2012,100,2048,Resource Numbers,0.00970636,0.044099367
2012,100,2048,Tasks and Resources Distributions,0.016124375,0.02596449
2012,200,2048,Arrival Calendar,0.009194748,0.025214074
2012,200,2048,Arrival Distribution,0.084178942,0.053176035
2012,200,2048,Resource Calendars,0.35407074,0.069638433
2012,200,2048,Resource Numbers,0.016648738,0.036475471
2012,200,2048,Tasks and Resources Distributions,0.07418259,0.079951575
2012,300,2048,Arrival Calendar,-0.004295827,0.01365166
2012,300,2048,Arrival Distribution,0.055728129,0.056503782
2012,300,2048,Resource Calendars,0.255714928,0.084446727
2012,300,2048,Resource Numbers,-0.011092557,0.02971496
2012,300,2048,Tasks and Resources Distributions,0.017914446,0.019235645
