dataset,seed,n_samples,group,ST,ST_conf
2017,100,1024,Arrival Calendar,0.11921773603298991,0.05057707880295551
2017,100,1024,Arrival Distribution,0.3189711661245499,0.2879784085386543
2017,100,1024,Gateways,0.08074205459447464,0.0323515194687402
2017,100,1024,Resource Calendars,0.5812236449418792,0.21923687478979742
2017,100,1024,Resource Numbers,0.04771527694514051,0.016961346289503892
2017,100,1024,Tasks and Resources Distributions,0.020223298835450754,0.011786764857781332
2017,100,2048,Arrival Calendar,0.14205822033544335,0.03718011961964535
2017,100,2048,Arrival Distribution,0.28906129234510586,0.1690251813378739
2017,100,2048,Gateways,0.09011871916840918,0.024529958058383698
2017,100,2048,Resource Calendars,0.6567320770441694,0.15411481330649454
2017,100,2048,Resource Numbers,0.06349537712870745,0.02367884734719356
2017,100,2048,Tasks and Resources Distributions,0.022872078377547133,0.011032258101513107
2017,100,512,Arrival Calendar,0.17507442431768608,0.05457927487648422
2017,100,512,Arrival Distribution,0.2808533032785037,0.12352197656297277
2017,100,512,Gateways,0.10646717902218918,0.03620488322491295
2017,100,512,Resource Calendars,0.791315400006412,0.15686953206140491
2017,100,512,Resource Numbers,0.05939533799970799,0.013786508885698238
2017,100,512,Tasks and Resources Distributions,0.01909269560021406,0.003935264740752364
2017,200,1024,Arrival Calendar,0.08115461095669897,0.018513409544983036
2017,200,1024,Arrival Distribution,0.17623312275078765,0.043335060059005254
2017,200,1024,Gateways,0.06454381658051618,0.023137627619235684
2017,200,1024,Resource Calendars,0.7157191815399278,0.07525130470599775
2017,200,1024,Resource Numbers,0.036120381835331714,0.008174126577420551
2017,200,1024,Tasks and Resources Distributions,0.0127582061997688,0.0029711708906258417
2017,200,2048,Arrival Calendar,0.08778653105051965,0.01477819111723289
2017,200,2048,Arrival Distribution,0.19053856274144418,0.035953333801306504
2017,200,2048,Gateways,0.06919878816676295,0.015305682908287694
2017,200,2048,Resource Calendars,0.7501678965004629,0.055109482435657886
2017,200,2048,Resource Numbers,0.04157154647769632,0.010545626996939866
2017,200,2048,Tasks and Resources Distributions,0.012977168695650736,0.0025443982168107692
2017,200,512,Arrival Calendar,0.08099936584535908,0.023936544932649524
2017,200,512,Arrival Distribution,0.1797009927856442,0.06660262075466575
2017,200,512,Gateways,0.06237030294687339,0.021546526037463314
2017,200,512,Resource Calendars,0.7298539215455623,0.09578236781590607
2017,200,512,Resource Numbers,0.04452316428703073,0.013525526826426217
2017,200,512,Tasks and Resources Distributions,0.013031350784697979,0.004044595064640578
2017,300,1024,Arrival Calendar,0.1527103230274525,0.03810433304555885
2017,300,1024,Arrival Distribution,0.22615834280265928,0.045511828056800006
2017,300,1024,Gateways,0.11285815118156858,0.06003795469293308
2017,300,1024,Resource Calendars,0.7593100394471709,0.07723127465351638
2017,300,1024,Resource Numbers,0.05283033851678785,0.011877875517843986
2017,300,1024,Tasks and Resources Distributions,0.05109582969905922,0.03835302601446607
2017,300,2048,Arrival Calendar,0.13452087889135605,0.021261243158369397
2017,300,2048,Arrival Distribution,0.22123880808843208,0.037578170218752885
2017,300,2048,Gateways,0.09578996563990032,0.023378308850539632
2017,300,2048,Resource Calendars,0.7706397783950301,0.0586059534560242
2017,300,2048,Resource Numbers,0.056619919437891,0.009529652946324746
2017,300,2048,Tasks and Resources Distributions,0.057014044549204,0.03809696491211971
2017,300,512,Arrival Calendar,0.15664018261381554,0.05528274931249287
2017,300,512,Arrival Distribution,0.22173920796609795,0.06457908001356052
2017,300,512,Gateways,0.08902187724130996,0.021136882499478715
2017,300,512,Resource Calendars,0.7073450090711905,0.11529491312365778
2017,300,512,Resource Numbers,0.04548576691811634,0.01262743814504496
2017,300,512,Tasks and Resources Distributions,0.06782956617362951,0.06845584758904646
