dataset,seed,n_samples,name,mu_star,mu_star_conf
2017,100,128,Arrival Calendar,27451.882060088392,5985.626720267222
2017,100,128,Arrival Distribution,36339.26165779215,23372.165140136603
2017,100,128,Resource Calendars,98608.65935901731,40333.98031859623
2017,100,128,Resource Numbers,22013.871507211927,14053.7827677532
2017,100,128,Tasks and Resources Distributions,9606.956959282916,2334.4049992381433
2017,100,256,Arrival Calendar,31059.40566075804,5455.687371908021
2017,100,256,Arrival Distribution,55587.56476808524,28455.987578749795
2017,100,256,Resource Calendars,95094.50831321445,30239.872582158816
2017,100,256,Resource Numbers,45864.909130473025,30017.05956452501
2017,100,256,Tasks and Resources Distributions,29877.252908593804,21342.57818843677
2017,100,512,Arrival Calendar,31873.895560865323,3555.6843089879176
2017,100,512,Arrival Distribution,43129.570417245835,14039.756471167682
2017,100,512,Resource Calendars,85998.0330179221,21895.932678256413
2017,100,512,Resource Numbers,40496.8972664681,18059.507466573385
2017,100,512,Tasks and Resources Distributions,24221.914616731465,12984.315859692406
2017,100,64,Arrival Calendar,21770.627767399437,5129.494577931754
2017,100,64,Arrival Distribution,45334.37654233836,36014.519320248604
2017,100,64,Resource Calendars,95351.5123360102,70744.94194994004
2017,100,64,Resource Numbers,31409.409656421176,25950.383528281847
2017,100,64,Tasks and Resources Distributions,9925.226974572568,2502.4770276152885
2017,200,128,Arrival Calendar,47738.51158327961,10768.076432834136
2017,200,128,Arrival Distribution,47001.935749599994,17007.27933409301
2017,200,128,Resource Calendars,139139.90502806168,50929.94925213827
2017,200,128,Resource Numbers,67521.4100920751,89069.22582504584
2017,200,128,Tasks and Resources Distributions,44042.25553652601,44459.45191905198
2017,200,256,Arrival Calendar,42646.681605454185,6772.69553329007
2017,200,256,Arrival Distribution,51732.348345396655,19042.654748937686
2017,200,256,Resource Calendars,122102.1391231415,28892.4836105161
2017,200,256,Resource Numbers,52352.57681172559,42360.156930374396
2017,200,256,Tasks and Resources Distributions,27063.3148177276,25669.187616483872
2017,200,512,Arrival Calendar,42638.93312020479,5897.579305058146
2017,200,512,Arrival Distribution,47550.294187705425,12742.956212998171
2017,200,512,Resource Calendars,119982.33205218258,17824.520349460676
2017,200,512,Resource Numbers,36529.90815112824,18499.787118837427
2017,200,512,Tasks and Resources Distributions,27636.66896471324,16375.496805374029
2017,200,64,Arrival Calendar,53873.38061908527,17845.916116455763
2017,200,64,Arrival Distribution,23406.51246654602,7514.666174699091
2017,200,64,Resource Calendars,98777.82836230707,29931.68118965186
2017,200,64,Resource Numbers,69406.10496633056,110446.04876480284
2017,200,64,Tasks and Resources Distributions,59567.01594539151,82811.43417486508
2017,300,128,Arrival Calendar,42802.04313582053,17064.270577384006
2017,300,128,Arrival Distribution,50854.940307852914,22865.33986398715
2017,300,128,Resource Calendars,83454.86121538462,19772.573776024583
2017,300,128,Resource Numbers,98437.99521141945,81635.68509011777
2017,300,128,Tasks and Resources Distributions,45303.802480732345,44821.862622844965
2017,300,256,Arrival Calendar,35964.78549260041,6927.485363078389
2017,300,256,Arrival Distribution,47085.04757441109,12103.42596048326
2017,300,256,Resource Calendars,87592.98719173699,18782.582796505434
2017,300,256,Resource Numbers,64636.82922164194,41829.81651753249
2017,300,256,Tasks and Resources Distributions,37024.286580827444,25972.66833114659
2017,300,512,Arrival Calendar,35380.7375860675,4743.0671209797865
2017,300,512,Arrival Distribution,50998.873429322615,12877.757295502823
2017,300,512,Resource Calendars,87885.25517690904,13133.287511938268
2017,300,512,Resource Numbers,45481.46011169351,23400.913956750304
2017,300,512,Tasks and Resources Distributions,33661.9432363103,18997.44564000324
2017,300,64,Arrival Calendar,50099.906861339805,19208.61219245499
2017,300,64,Arrival Distribution,56083.828703512125,19529.276201050354
2017,300,64,Resource Calendars,70276.87453614343,24141.22668035814
2017,300,64,Resource Numbers,152458.27487019764,164454.02242427025
2017,300,64,Tasks and Resources Distributions,20913.696435889655,14014.091635226227
