dataset,seed,n_samples,name,mu_star,mu_star_conf
2017,100,16,Gateway node_197e9d2f-52c0-472f-9e1a-1caf37f3a30a,2868.703404482624,1723.8756544150738
2017,100,16,Gateway node_a034ae86-5006-4cdf-b543-320b34344779,982.6765191197891,505.2757158708029
2017,100,16,Gateway node_37f858d7-8d32-4c95-abf5-8b663067ca6e,969.9738485137818,447.0862901022545
2017,100,16,Gateway node_e3cb7ef1-5530-4941-9258-e7d0d0942d55,969.3883222245803,514.4062586427747
2017,100,16,Gateway node_c3491f79-706f-44a9-ac8d-c1bda56e948e,666.37631485702,566.6509999174722
2017,100,16,Gateway node_b462f2a6-393e-4325-9bec-5dd13e90c591,630.8975045393398,366.1125219403673
2017,100,16,Gateway node_3b027674-16a9-4cbd-a944-73d0f4d7841a,531.6451144784675,525.3884361453441
2017,100,16,Gateway node_e815fe01-3404-4762-81b9-c5b067093604,405.6095432678784,145.5602251599504
2017,100,16,Gateway node_0f874200-5d1f-467c-9892-e662277d7ed4,287.9194060795147,149.088144166949
2017,100,16,Gateway node_ffa052de-caf4-4879-96a1-2b4dd95b52c4,223.85085607645948,134.17155854832995
2017,100,32,Gateway node_197e9d2f-52c0-472f-9e1a-1caf37f3a30a,2595.030840924165,1081.769354164106
2017,100,32,Gateway node_e3cb7ef1-5530-4941-9258-e7d0d0942d55,1108.4659610513809,575.0412421478411
2017,100,32,Gateway node_37f858d7-8d32-4c95-abf5-8b663067ca6e,792.3478878123161,336.8256005253893
2017,100,32,Gateway node_a034ae86-5006-4cdf-b543-320b34344779,698.7868017843547,206.91263410923767
2017,100,32,Gateway node_c3491f79-706f-44a9-ac8d-c1bda56e948e,611.136472975283,328.56671766919277
2017,100,32,Gateway node_b462f2a6-393e-4325-9bec-5dd13e90c591,528.0635718239106,237.55724689947104
2017,100,32,Gateway node_3b027674-16a9-4cbd-a944-73d0f4d7841a,405.8004178883449,225.7390044565255
2017,100,32,Gateway node_e815fe01-3404-4762-81b9-c5b067093604,271.023187240262,55.51547611703593
2017,100,32,Gateway node_ffa052de-caf4-4879-96a1-2b4dd95b52c4,182.40244902041442,50.48851921992432
2017,100,32,Gateway node_0f874200-5d1f-467c-9892-e662277d7ed4,171.4959734938077,53.17365399579828
2017,100,64,Gateway node_197e9d2f-52c0-472f-9e1a-1caf37f3a30a,2691.3435850830997,776.1470335973404
