dataset,seed,n_samples,group,S1,S1_conf,ST,ST_conf
2013,100,1024,Arrival Calendar,0.07529307402835085,0.02943819799100355,0.11494716561865355,0.02207032003113703
2013,100,1024,Arrival Distribution,-0.01994400655818651,0.029142639080487892,0.08972781133532329,0.019978919210636947
2013,100,1024,Resource Calendars,0.8265389569550503,0.1615805812039534,0.8547185081375196,0.10719682125444975
2013,100,1024,Resource Numbers,-7.043945854539239e-07,1.5307212454347675e-06,2.368762086035818e-09,4.2853713727092495e-09
2013,100,1024,Tasks and Resources Distributions,-3.272484444830227e-08,6.631196161270697e-08,9.381235984299164e-11,1.9009659794971373e-10
2013,200,1024,Arrival Calendar,0.07522355997446395,0.030149964893299415,0.11855758405257188,0.025032482414058588
2013,200,1024,Arrival Distribution,-0.00021964721943529232,0.021857158803788933,0.08816072374956709,0.016424825143608445
2013,200,1024,Resource Calendars,0.8355655447728276,0.13949600943612853,0.9314726946011589,0.10627615577337514
2013,200,1024,Resource Numbers,2.1409221763551606e-07,4.6025236680330706e-07,5.628830088744031e-10,1.210077787603091e-09
2013,200,1024,Tasks and Resources Distributions,-1.4374376120432454e-17,3.463895353776284e-17,8.018121252680215e-31,2.9779071465929485e-31
2013,300,1024,Arrival Calendar,0.051812695886497874,0.026439033543516666,0.1157927803699918,0.02624975355263585
2013,300,1024,Arrival Distribution,0.00527141610089579,0.027619389543246112,0.08018539099970642,0.014707950134002098
2013,300,1024,Resource Calendars,0.8127175351710135,0.12865833352296518,0.8810339620969415,0.10432968478995461
2013,300,1024,Resource Numbers,-8.074823893988322e-07,1.4516647087187031e-06,3.3937368981135705e-09,6.101146167404672e-09
2013,300,1024,Tasks and Resources Distributions,-1.3717436539873706e-07,2.4101774024211143e-07,2.387269659861003e-11,4.1944742151293166e-11
2013,100,2048,Arrival Calendar,0.07507344828691279,0.024403858380869826,0.12095000939157836,0.016591601058454447
2013,100,2048,Arrival Distribution,-0.012878383075155693,0.016941057673463825,0.09028669124136006,0.015175827228564356
2013,100,2048,Resource Calendars,0.8347376973563938,0.08938804713179031,0.8911441611708523,0.07315709426113882
2013,100,2048,Resource Numbers,8.185385667250994e-07,1.2352608614787814e-06,1.704579359156035e-09,2.665377477914498e-09
2013,100,2048,Tasks and Resources Distributions,2.96111543759209e-07,6.757605760412866e-07,2.702518345687538e-10,5.172008692818249e-10
2013,200,2048,Arrival Calendar,0.06909503881388654,0.0213319711326549,0.12055870216406435,0.019436523831478245
2013,200,2048,Arrival Distribution,-0.000291125351597569,0.01928700008970789,0.08998379819171377,0.01399456732325564
2013,200,2048,Resource Calendars,0.8303301178612835,0.09429836256679354,0.9177135850442956,0.06098333112515938
2013,200,2048,Resource Numbers,-4.1806934960004296e-08,1.144510885554551e-06,2.0532686017318704e-09,2.6327723478094575e-09
2013,200,2048,Tasks and Resources Distributions,1.391673177198449e-07,7.978224259671323e-07,6.733436193336901e-10,9.196192435132129e-10
2013,300,2048,Arrival Calendar,0.06422045891194658,0.018065366373588895,0.11263164322695221,0.01907960732864556
2013,300,2048,Arrival Distribution,0.012261635610648013,0.021158925697338214,0.0835848830559438,0.011505875116670302
2013,300,2048,Resource Calendars,0.829391528230358,0.08041074986573687,0.8958381388476826,0.07143560594142513
2013,300,2048,Resource Numbers,3.908408805612621e-07,6.909405494507081e-07,5.395352967231672e-10,6.466497317295603e-10
2013,300,2048,Tasks and Resources Distributions,-2.3044830120581627e-06,3.584238804689631e-06,9.8021274711494e-09,1.4072623225200089e-08
2013,100,512,Arrival Calendar,0.08898588377715475,0.04468659254310027,0.13159193792378976,0.0428229580501393
2013,100,512,Arrival Distribution,-0.027336194249802433,0.03871056066534862,0.09569297173559184,0.02456372034198841
2013,100,512,Resource Calendars,0.8166325481524399,0.1950134776784073,0.882469540833695,0.15137570323810656
2013,100,512,Resource Numbers,6.998439615075813e-06,1.122621212816212e-05,3.3867158504185826e-08,5.7868311614185233e-08
2013,100,512,Tasks and Resources Distributions,6.998439615121708e-06,1.1226212128168457e-05,3.3867158504185826e-08,5.7868311614185233e-08
2013,200,512,Arrival Calendar,0.07524547491103702,0.045994354687536015,0.11381978056359643,0.025566441007748148
2013,200,512,Arrival Distribution,-0.008133453689206782,0.031915668350218036,0.09596256256577722,0.028592552291795026
2013,200,512,Resource Calendars,0.8364485290739176,0.18870560312791526,0.8859098055163216,0.12488845495082737
2013,200,512,Resource Numbers,-2.9715912896061553e-17,4.1394356596846015e-17,6.271571465235791e-31,4.4246890000494556e-31
2013,200,512,Tasks and Resources Distributions,-5.0034242998514027e-17,4.748734125615806e-17,9.932410103658533e-31,5.775052547225459e-31
2013,300,512,Arrival Calendar,0.05699600843681903,0.03384711528461603,0.11779737753808862,0.03407868116524919
2013,300,512,Arrival Distribution,-0.0025253162935950043,0.04415515139022916,0.0857909003119223,0.027587401044268888
2013,300,512,Resource Calendars,0.760905667244675,0.1448055118531166,0.8336753267638537,0.14770484478895732
2013,300,512,Resource Numbers,-5.253722408632684e-07,1.1217424258323346e-06,1.6296255652518403e-10,3.4794760604469655e-10
2013,300,512,Tasks and Resources Distributions,-5.736963571846868e-17,9.705664724979636e-17,5.258389205218272e-31,3.7519386627269914e-31
