dataset,seed,n_samples,name,mu_star,mu_star_conf
2013,100,128,Arrival Calendar,63788.02904089951,14238.305829136341
2013,100,128,Arrival Distribution,68882.98245558754,10747.508921939927
2013,100,128,Resource Calendars,151573.00707398314,29468.97019526418
2013,100,128,Resource Numbers,97045.4917563145,14205.575574280272
2013,100,128,Tasks and Resources Distributions,171874.93790968673,18590.92004382155
2013,200,128,Arrival Calendar,86989.89328219686,19839.59715550523
2013,200,128,Arrival Distribution,74355.2260303899,11934.741786453977
2013,200,128,Resource Calendars,127082.54675182665,29229.761303619736
2013,200,128,Resource Numbers,92856.2558272818,17252.126035274232
2013,200,128,Tasks and Resources Distributions,166572.04519008374,17234.602136258996
2013,300,128,Arrival Calendar,77599.65185550433,19349.958690387182
2013,300,128,Arrival Distribution,73056.7214456956,12586.87408873763
2013,300,128,Resource Calendars,172816.68110118783,34593.08996024345
2013,300,128,Resource Numbers,87497.73821913938,13871.191400620755
2013,300,128,Tasks and Resources Distributions,170513.93990487492,19481.8634371485
2013,100,256,Arrival Calendar,67836.9770967566,9231.153017896928
2013,100,256,Arrival Distribution,75570.13489466949,10011.404275526407
2013,100,256,Resource Calendars,152670.00703830156,19841.596591139165
2013,100,256,Resource Numbers,105262.0850967997,11353.715616559952
2013,100,256,Tasks and Resources Distributions,180821.2286671389,13979.211465305158
2013,200,256,Arrival Calendar,77051.85247298254,12053.465848713595
2013,200,256,Arrival Distribution,69737.11714466762,8542.871994341187
2013,200,256,Resource Calendars,125941.94358376159,18312.231602425472
2013,200,256,Resource Numbers,97300.4443021717,12227.718465644877
2013,200,256,Tasks and Resources Distributions,178636.46234240918,13190.702470354698
2013,300,256,Arrival Calendar,68018.91439031245,11029.190921217943
2013,300,256,Arrival Distribution,77039.06464140605,7853.301031326055
2013,300,256,Resource Calendars,150966.63573041526,21234.16781391758
2013,300,256,Resource Numbers,91693.23834782727,10149.435053437695
2013,300,256,Tasks and Resources Distributions,168992.75780482098,14322.80070997512
2013,100,512,Arrival Calendar,60405.149653379514,6059.26748246038
2013,100,512,Arrival Distribution,72352.80276756769,6429.683652443274
2013,100,512,Resource Calendars,148284.80389192796,15303.921420547214
2013,100,512,Resource Numbers,103769.44562718153,9538.272250645221
2013,100,512,Tasks and Resources Distributions,180730.57190454987,9388.923250651393
2013,200,512,Arrival Calendar,77869.79566448276,7464.101198434002
2013,200,512,Arrival Distribution,70015.15181932991,5841.7393898584905
2013,200,512,Resource Calendars,130459.53102335916,15038.631099947233
2013,200,512,Resource Numbers,99910.46779087654,7642.625778557038
2013,200,512,Tasks and Resources Distributions,170879.3134369743,9724.395802467416
2013,300,512,Arrival Calendar,64780.39002001679,6742.11077729097
2013,300,512,Arrival Distribution,74659.83624496583,6273.155301338489
2013,300,512,Resource Calendars,143803.5421674473,13666.815166719363
2013,300,512,Resource Numbers,97218.3604376848,7091.407051667653
2013,300,512,Tasks and Resources Distributions,168581.75692161435,8667.016791033615
2013,100,64,Arrival Calendar,59508.33869315766,19608.565264125806
2013,100,64,Arrival Distribution,75819.91291970073,17436.6669750007
2013,100,64,Resource Calendars,152760.12690205616,44323.530064852464
2013,100,64,Resource Numbers,105972.86874077836,22423.866819668136
2013,100,64,Tasks and Resources Distributions,181175.4496963041,28143.428838034673
2013,200,64,Arrival Calendar,103870.45438629383,37263.34887522834
2013,200,64,Arrival Distribution,58840.8790296736,13265.273178415306
2013,200,64,Resource Calendars,108742.15834717771,33860.89482419956
2013,200,64,Resource Numbers,90589.4778691705,24309.3241429805
2013,200,64,Tasks and Resources Distributions,167940.3553619578,25623.884479609475
2013,300,64,Arrival Calendar,81785.59577189416,25150.747348945755
2013,300,64,Arrival Distribution,83819.72546907602,16275.401862238368
2013,300,64,Resource Calendars,164656.8207034754,48540.21696947889
2013,300,64,Resource Numbers,101088.91795896542,24809.509089683965
2013,300,64,Tasks and Resources Distributions,183772.23772223183,31918.58646533996
