dataset,seed,n_samples,group,S1,S1_conf,ST,ST_conf
2013,100,64,Arrival Calendar,0.0397353057281283,0.08288521852433224,0.04361765350884884,0.04811402275055294
2013,100,64,Arrival Distribution,-0.041774333283646194,0.11973950877219525,0.06402968931381293,0.022156269554671072
2013,100,64,Resource Calendars,0.46245798256835036,0.3346038447790327,0.5867019390806621,0.28455052153055627
2013,100,64,Resource Numbers,0.08923991333361969,0.12817927739724147,0.09773722724001524,0.04281570989849902
2013,100,64,Tasks and Resources Distributions,0.3538145072659136,0.2549788687927684,0.4199114696084976,0.1905611823391059
2013,200,64,Arrival Calendar,0.06256379513533263,0.06171342776865833,0.055098196858202234,0.02881675678897644
2013,200,64,Arrival Distribution,-0.02698203088655234,0.08936300592915937,0.07847002427813121,0.032555886801555745
2013,200,64,Resource Calendars,0.3952116406134268,0.31947094847272967,0.5463294999509362,0.2414319539563886
2013,200,64,Resource Numbers,0.047705415278788015,0.12538886377321976,0.13853166789603205,0.0966211608748609
2013,200,64,Tasks and Resources Distributions,0.3300745344195937,0.2335911901572821,0.35122017357752255,0.21244263132926097
2013,300,64,Arrival Calendar,-0.005927247018599735,0.1013738449811877,0.07065921946893008,0.0725855918322165
2013,300,64,Arrival Distribution,-0.04644393943635338,0.09246727614840805,0.08688392299629859,0.05722028783334362
2013,300,64,Resource Calendars,0.42398545338572835,0.3268200447230343,0.4951285014892346,0.3252889389603903
2013,300,64,Resource Numbers,0.10008530905616975,0.09860560521448952,0.10481087651297126,0.071148017447897
2013,300,64,Tasks and Resources Distributions,0.3097452326361799,0.229206575986644,0.4065776937035575,0.22505495682441096
