case_id,activity,enable_time,start_time,end_time,resource
0,W_Afhandelen leads,2012-01-01 20:00:00.000000+00:00,2012-01-01 20:00:00.000000+00:00,2012-01-01 20:01:42.352981+00:00,10138
0,W_Beoordelen fraude,2012-01-01 20:00:00.000000+00:00,2012-01-01 20:00:00.000000+00:00,2012-01-01 20:00:59.837694+00:00,10809
1,W_Beoordelen fraude,2012-01-01 20:00:00.667462+00:00,2012-01-01 20:00:59.837694+00:00,2012-01-01 20:01:19.699752+00:00,10809
1,W_Afhandelen leads,2012-01-01 20:00:00.667462+00:00,2012-01-01 20:00:00.667462+00:00,2012-01-01 20:05:14.231032+00:00,10228
0,W_Beoordelen fraude,2012-01-01 20:00:59.837694+00:00,2012-01-01 20:01:19.699752+00:00,2012-01-01 20:03:59.452226+00:00,10809
2,W_Beoordelen fraude,2012-01-01 20:01:08.224968+00:00,2012-01-01 20:03:59.452226+00:00,2012-01-01 20:04:13.044136+00:00,10809
2,W_Completeren aanvraag,2012-01-01 20:01:08.224968+00:00,2012-01-01 20:01:08.224968+00:00,2012-01-01 20:01:31.411761+00:00,10609
3,W_Beoordelen fraude,2012-01-01 20:01:10.745386+00:00,2012-01-01 20:04:13.044136+00:00,2012-01-01 20:04:16.856224+00:00,10809
3,W_Completeren aanvraag,2012-01-01 20:01:10.745386+00:00,2012-01-01 20:01:10.745386+00:00,2012-01-01 20:14:40.793267+00:00,10629
2,W_Nabellen offertes,2012-01-01 20:01:31.411761+00:00,2012-01-01 20:01:31.411761+00:00,2012-01-01 20:02:00.471580+00:00,10779
0,W_Completeren aanvraag,2012-01-01 20:01:42.352981+00:00,2012-01-01 20:01:42.352981+00:00,2012-01-01 20:03:59.591644+00:00,10861
0,W_Nabellen offertes,2012-01-01 20:03:59.591644+00:00,2012-01-01 20:03:59.591644+00:00,2012-01-01 20:04:41.852172+00:00,10789
0,W_Nabellen offertes,2012-01-01 20:04:41.852172+00:00,2012-01-01 20:04:41.852172+00:00,2012-01-01 20:07:31.609725+00:00,10863
0,W_Nabellen offertes,2012-01-01 20:07:31.609725+00:00,2012-01-01 20:07:31.609725+00:00,2012-01-01 20:11:44.532424+00:00,10881
0,W_Nabellen offertes,2012-01-01 20:11:44.532424+00:00,2012-01-01 20:11:44.532424+00:00,2012-01-01 20:19:11.921468+00:00,10889
4,W_Completeren aanvraag,2012-01-01 20:11:50.154997+00:00,2012-01-01 20:11:50.154997+00:00,2012-01-01 20:13:13.509997+00:00,10899
4,W_Beoordelen fraude,2012-01-01 20:11:50.154997+00:00,2012-01-01 20:11:50.154997+00:00,2012-01-01 20:12:35.496977+00:00,10809
5,W_Afhandelen leads,2012-01-01 20:11:59.020658+00:00,2012-01-01 20:11:59.020658+00:00,2012-01-01 20:11:59.276273+00:00,10909
5,W_Beoordelen fraude,2012-01-01 20:11:59.020658+00:00,2012-01-01 20:12:35.496977+00:00,2012-01-01 20:12:47.811276+00:00,10809
4,W_Completeren aanvraag,2012-01-01 20:13:13.509997+00:00,2012-01-01 20:13:13.509997+00:00,2012-01-01 21:23:01.040610+00:00,10910
3,W_Completeren aanvraag,2012-01-01 20:14:40.793267+00:00,2012-01-01 20:14:40.793267+00:00,2012-01-01 20:32:49.862179+00:00,10912
0,W_Nabellen offertes,2012-01-01 20:19:11.921468+00:00,2012-01-01 20:19:11.921468+00:00,2012-01-01 20:24:15.652185+00:00,10913
6,W_Afhandelen leads,2012-01-01 20:21:56.218308+00:00,2012-01-01 20:21:56.218308+00:00,2012-01-01 20:24:13.499308+00:00,10914
6,W_Beoordelen fraude,2012-01-01 20:21:56.218308+00:00,2012-01-01 20:21:56.218308+00:00,2012-01-01 20:22:09.397515+00:00,10809
6,W_Beoordelen fraude,2012-01-01 20:22:09.397515+00:00,2012-01-01 20:22:09.397515+00:00,2012-01-01 20:22:38.809825+00:00,10809
6,W_Beoordelen fraude,2012-01-01 20:22:38.809825+00:00,2012-01-01 20:22:38.809825+00:00,2012-01-01 20:25:16.030056+00:00,10809
7,W_Beoordelen fraude,2012-01-01 20:23:15.859096+00:00,2012-01-01 20:25:16.030056+00:00,2012-01-01 20:25:32.961968+00:00,10809
7,W_Completeren aanvraag,2012-01-01 20:23:15.859096+00:00,2012-01-01 20:23:15.859096+00:00,2012-01-01 20:32:34.222942+00:00,10929
0,W_Nabellen offertes,2012-01-01 20:24:15.652185+00:00,2012-01-01 20:24:15.652185+00:00,2012-01-01 20:44:54.514083+00:00,10931
6,W_Beoordelen fraude,2012-01-01 20:25:16.030056+00:00,2012-01-01 20:25:32.961968+00:00,2012-01-01 20:26:09.144525+00:00,10809
7,W_Beoordelen fraude,2012-01-01 20:25:32.961968+00:00,2012-01-01 20:26:09.144525+00:00,2012-01-01 20:27:48.049205+00:00,10809
7,W_Nabellen offertes,2012-01-01 20:32:34.222942+00:00,2012-01-01 20:32:34.222942+00:00,2012-01-01 20:50:01.776080+00:00,10932
3,W_Completeren aanvraag,2012-01-01 20:32:49.862179+00:00,2012-01-01 20:32:49.862179+00:00,2012-01-01 20:49:07.160105+00:00,10933
8,W_Beoordelen fraude,2012-01-01 20:34:04.070066+00:00,2012-01-01 20:34:04.070066+00:00,2012-01-01 20:34:42.827628+00:00,10809
8,W_Completeren aanvraag,2012-01-01 20:34:04.070066+00:00,2012-01-01 20:34:04.070066+00:00,2012-01-01 20:41:39.439041+00:00,10939
8,W_Beoordelen fraude,2012-01-01 20:34:42.827628+00:00,2012-01-01 20:34:42.827628+00:00,2012-01-01 20:36:22.581811+00:00,10809
8,W_Completeren aanvraag,2012-01-01 20:41:39.439041+00:00,2012-01-01 20:41:39.439041+00:00,2012-01-01 20:44:19.372136+00:00,10972
9,W_Afhandelen leads,2012-01-01 20:43:33.378732+00:00,2012-01-01 20:43:33.378732+00:00,2012-01-01 20:45:59.879173+00:00,10982
9,W_Beoordelen fraude,2012-01-01 20:43:33.378732+00:00,2012-01-01 20:43:33.378732+00:00,2012-01-01 20:44:44.971492+00:00,10809
8,W_Completeren aanvraag,2012-01-01 20:44:19.372136+00:00,2012-01-01 20:44:19.372136+00:00,2012-01-01 20:50:10.305503+00:00,11000
9,W_Beoordelen fraude,2012-01-01 20:44:44.971492+00:00,2012-01-01 20:44:44.971492+00:00,2012-01-01 20:46:24.325640+00:00,10809
0,W_Valideren aanvraag,2012-01-01 20:44:54.514083+00:00,2012-01-01 20:44:54.514083+00:00,2012-01-01 20:45:54.916816+00:00,10125
9,W_Beoordelen fraude,2012-01-01 20:46:24.325640+00:00,2012-01-01 20:46:24.325640+00:00,2012-01-01 20:47:53.248906+00:00,10809
10,W_Afhandelen leads,2012-01-01 20:47:27.494027+00:00,2012-01-01 20:47:27.494027+00:00,2012-01-01 20:58:56.664526+00:00,11002
10,W_Beoordelen fraude,2012-01-01 20:47:27.494027+00:00,2012-01-01 20:47:53.248906+00:00,2012-01-01 20:49:39.145500+00:00,10809
3,W_Completeren aanvraag,2012-01-01 20:49:07.160105+00:00,2012-01-01 20:49:07.160105+00:00,2012-01-01 20:50:01.180221+00:00,11001
10,W_Beoordelen fraude,2012-01-01 20:49:39.145500+00:00,2012-01-01 20:49:39.145500+00:00,2012-01-01 20:49:48.000876+00:00,10809
10,W_Beoordelen fraude,2012-01-01 20:49:48.000876+00:00,2012-01-01 20:49:48.000876+00:00,2012-01-01 20:49:53.173462+00:00,10809
3,W_Nabellen offertes,2012-01-01 20:50:01.180221+00:00,2012-01-01 20:50:01.180221+00:00,2012-01-01 20:51:58.006753+00:00,11003
7,W_Nabellen offertes,2012-01-01 20:50:01.776080+00:00,2012-01-01 20:50:01.776080+00:00,2012-01-01 20:53:30.076126+00:00,11009
8,W_Nabellen offertes,2012-01-01 20:50:10.305503+00:00,2012-01-01 20:50:10.305503+00:00,2012-01-01 20:50:59.859518+00:00,11049
8,W_Nabellen offertes,2012-01-01 20:50:59.859518+00:00,2012-01-01 20:50:59.859518+00:00,2012-01-01 20:53:16.274927+00:00,11119
3,W_Valideren aanvraag,2012-01-01 20:51:58.006753+00:00,2012-01-01 20:51:58.006753+00:00,2012-01-01 20:54:57.400753+00:00,11079
8,W_Valideren aanvraag,2012-01-01 20:53:16.274927+00:00,2012-01-01 20:53:16.274927+00:00,2012-01-01 20:53:38.941927+00:00,11121
7,W_Valideren aanvraag,2012-01-01 20:53:30.076126+00:00,2012-01-01 20:53:30.076126+00:00,2012-01-01 21:00:48.071494+00:00,11169
8,W_Valideren aanvraag,2012-01-01 20:53:38.941927+00:00,2012-01-01 20:53:38.941927+00:00,2012-01-01 20:53:45.086927+00:00,11180
10,W_Completeren aanvraag,2012-01-01 20:58:56.664526+00:00,2012-01-01 20:58:56.664526+00:00,2012-01-01 21:11:33.669888+00:00,11019
7,W_Valideren aanvraag,2012-01-01 21:00:48.071494+00:00,2012-01-01 21:00:48.071494+00:00,2012-01-01 21:02:59.813439+00:00,11181
10,W_Completeren aanvraag,2012-01-01 21:11:33.669888+00:00,2012-01-01 21:11:33.669888+00:00,2012-01-01 21:23:02.292084+00:00,11122
4,W_Completeren aanvraag,2012-01-01 21:23:01.040610+00:00,2012-01-01 21:23:01.040610+00:00,2012-01-01 21:23:45.505766+00:00,11179
10,W_Nabellen offertes,2012-01-01 21:23:02.292084+00:00,2012-01-01 21:23:02.292084+00:00,2012-01-01 21:23:47.462078+00:00,11189
4,W_Completeren aanvraag,2012-01-01 21:23:45.505766+00:00,2012-01-01 21:23:45.505766+00:00,2012-01-01 21:29:22.320786+00:00,11201
10,W_Nabellen offertes,2012-01-01 21:23:47.462078+00:00,2012-01-01 21:23:47.462078+00:00,2012-01-02 07:25:05.151732+00:00,11203
4,W_Completeren aanvraag,2012-01-01 21:29:22.320786+00:00,2012-01-01 21:29:22.320786+00:00,2012-01-01 21:43:59.994786+00:00,11259
