case_id,activity,enable_time,start_time,end_time,resource
0,W_Beoordelen fraude,2012-01-01 20:00:00.000000+00:00,2012-01-01 20:00:00.000000+00:00,2012-01-01 20:00:53.325755+00:00,10809
0,W_Afhandelen leads,2012-01-01 20:00:00.000000+00:00,2012-01-01 20:00:00.000000+00:00,2012-01-01 20:02:45.040027+00:00,10138
1,W_Beoordelen fraude,2012-01-01 20:04:14.017658+00:00,2012-01-01 20:04:14.017658+00:00,2012-01-01 20:04:45.790429+00:00,10809
1,W_Afhandelen leads,2012-01-01 20:04:14.017658+00:00,2012-01-01 20:04:14.017658+00:00,2012-01-01 20:04:59.884111+00:00,10228
1,W_Beoordelen fraude,2012-01-01 20:04:45.790429+00:00,2012-01-01 20:04:45.790429+00:00,2012-01-01 20:05:31.552834+00:00,10809
2,W_Beoordelen fraude,2012-01-01 20:04:48.807247+00:00,2012-01-01 20:05:31.552834+00:00,2012-01-01 20:06:46.691109+00:00,10809
2,W_Afhandelen leads,2012-01-01 20:04:48.807247+00:00,2012-01-01 20:04:48.807247+00:00,2012-01-01 20:05:28.517753+00:00,10609
1,W_Afhandelen leads,2012-01-01 20:04:59.884111+00:00,2012-01-01 20:04:59.884111+00:00,2012-01-01 20:05:42.011425+00:00,10629
1,W_Beoordelen fraude,2012-01-01 20:05:31.552834+00:00,2012-01-01 20:06:46.691109+00:00,2012-01-01 20:08:53.548584+00:00,10809
2,W_Beoordelen fraude,2012-01-01 20:06:46.691109+00:00,2012-01-01 20:08:53.548584+00:00,2012-01-01 20:09:05.739340+00:00,10809
3,W_Beoordelen fraude,2012-01-01 20:11:31.775329+00:00,2012-01-01 20:11:31.775329+00:00,2012-01-01 20:12:32.342125+00:00,10809
3,W_Afhandelen leads,2012-01-01 20:11:31.775329+00:00,2012-01-01 20:11:31.775329+00:00,2012-01-01 20:13:06.228329+00:00,10779
3,W_Beoordelen fraude,2012-01-01 20:12:32.342125+00:00,2012-01-01 20:12:32.342125+00:00,2012-01-01 20:13:39.133690+00:00,10809
