case_id,activity,enable_time,start_time,end_time,resource
0,Queued,2013-01-01 00:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-02 10:58:03.895550+00:00,-
1,Queued,2013-01-01 00:00:42.863444+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Aaron
2,Queued,2013-01-01 00:00:57.542600+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:14:42.012026+00:00,Abby
3,Accepted,2013-01-01 00:01:16.526781+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:48.844591+00:00,Abdul
4,Accepted,2013-01-01 00:01:16.538829+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.274297+00:00,Abhinav
5,Queued,2013-01-01 00:01:16.541810+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 10:30:17.000000+00:00,Abdelkader
6,Accepted,2013-01-01 00:01:16.541810+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:30:21.209661+00:00,Abhiseka
7,Accepted,2013-01-01 00:01:46.992943+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:51:19.282451+00:00,Abhishek
8,Queued,2013-01-01 00:01:59.433485+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 09:19:45.000000+00:00,Achuthanandan
9,Queued,2013-01-01 00:03:17.095246+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-03 15:05:03.647731+00:00,Adam
10,Accepted,2013-01-01 00:05:41.381673+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:57.020699+00:00,Adeline
11,Accepted,2013-01-01 00:17:30.589003+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Adenilson
12,Accepted,2013-01-01 00:19:35.862645+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:14:16.962105+00:00,Aditi
13,Accepted,2013-01-01 00:21:15.508331+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:24.874974+00:00,Adriano
14,Queued,2013-01-01 00:21:38.636591+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Ademilson
15,Accepted,2013-01-01 00:21:38.641660+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:42.732129+00:00,Adrien
16,Queued,2013-01-01 00:24:59.327161+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:02:58.116927+00:00,Agata
17,Accepted,2013-01-01 00:26:34.502527+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:01:08.330956+00:00,Agneta
18,Accepted,2013-01-01 00:26:34.896056+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-02 14:24:52.530754+00:00,Agnieszka
19,Accepted,2013-01-01 00:26:34.896056+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:24.933769+00:00,Agnivesh
20,Accepted,2013-01-01 00:56:48.595869+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:18.205597+00:00,Agoritsa
21,Queued,2013-01-01 00:56:49.428219+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:02:13.168878+00:00,Akanksha
22,Queued,2013-01-01 00:57:58.212066+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:14.000000+00:00,Ala
23,Accepted,2013-01-01 02:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:41:06.774998+00:00,Agron
24,Accepted,2013-01-01 02:00:05.088536+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:32:42.239723+00:00,Ajay
25,Queued,2013-01-01 02:00:08.696335+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-02 12:54:14.303106+00:00,Alan
26,Queued,2013-01-01 02:16:39.540692+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Alejandro
27,Accepted,2013-01-01 02:16:39.638266+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 12:25:31.472903+00:00,Ajitkumar
28,Accepted,2013-01-01 02:16:41.242372+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Akiko
29,Queued,2013-01-01 02:17:23.888490+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:10:58.760814+00:00,Aleksandra
30,Accepted,2013-01-01 02:25:05.947593+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 09:19:43.587222+00:00,Akim
31,Accepted,2013-01-01 02:48:35.713098+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000001+00:00,Akshata
32,Accepted,2013-01-01 02:48:36.389323+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000001+00:00,Alain
33,Queued,2013-01-01 02:49:55.353936+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Alessandro
34,Accepted,2013-01-01 02:54:32.912851+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000133+00:00,Alex
35,Accepted,2013-01-01 02:54:38.135397+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:05:10.849320+00:00,Alexander
36,Accepted,2013-01-01 02:58:03.092352+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Alexandre
37,Queued,2013-01-01 04:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:16:11.586203+00:00,Alexsandra
38,Queued,2013-01-01 04:00:48.227220+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:09:10.778220+00:00,Aline
39,Accepted,2013-01-01 04:28:49.222594+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:04:29.000000+00:00,Alf
40,Accepted,2013-01-01 04:28:49.636814+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 13:05:11.818054+00:00,Allak
41,Accepted,2013-01-01 04:29:53.803540+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:08:56.051548+00:00,Alok
42,Queued,2013-01-01 04:29:53.984720+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Allana
43,Accepted,2013-01-01 04:36:48.744581+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Alvin
44,Queued,2013-01-01 04:40:18.324095+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:01.613908+00:00,Amanda
45,Queued,2013-01-01 04:41:04.816521+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Amar
46,Queued,2013-01-01 04:50:02.877698+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Amir
47,Accepted,2013-01-01 04:55:31.386158+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:04:56.368793+00:00,Amer
48,Queued,2013-01-01 04:55:34.990396+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 09:02:39.241333+00:00,Amit
49,Queued,2013-01-01 04:55:38.199092+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:23:57.544054+00:00,Amy
50,Accepted,2013-01-01 04:57:49.378020+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000001+00:00,Amyme
51,Accepted,2013-01-01 04:57:49.378109+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Ana
52,Accepted,2013-01-01 04:58:22.651176+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Anand
53,Queued,2013-01-01 04:59:42.017033+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Anandgiri
54,Queued,2013-01-01 06:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:10.539168+00:00,Anastasia
