case_id,activity,enable_time,start_time,end_time,resource
0,Queued,2013-01-01 00:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-03 12:01:20.102580+00:00,-
1,Accepted,2013-01-01 00:10:37.416799+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.002397+00:00,Aaron
2,Accepted,2013-01-01 00:21:05.755149+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.004169+00:00,Abby
3,Accepted,2013-01-01 00:21:06.631894+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Abdul
4,Queued,2013-01-01 00:25:58.386479+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 10:30:17.000000+00:00,Abdelkader
5,Queued,2013-01-01 00:31:47.123331+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:18:52.392026+00:00,Abhinav
6,Accepted,2013-01-01 00:32:08.363934+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:06.791219+00:00,Abhiseka
7,Queued,2013-01-01 00:33:55.896891+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Abhishek
8,Queued,2013-01-01 00:38:26.623029+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 09:19:45.000000+00:00,Achuthanandan
9,Accepted,2013-01-01 00:38:32.807747+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:51:03.436888+00:00,Adam
10,Queued,2013-01-01 00:42:57.230787+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 14:08:13.487006+00:00,Adeline
11,Accepted,2013-01-01 00:43:05.675980+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Adenilson
12,Queued,2013-01-01 02:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Ademilson
13,Accepted,2013-01-01 02:00:42.753976+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 14:05:37.988372+00:00,Aditi
14,Accepted,2013-01-01 02:16:56.984253+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:17:32.726610+00:00,Adriano
15,Queued,2013-01-01 02:20:57.943924+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:02:06.684667+00:00,Agata
16,Accepted,2013-01-01 02:20:58.439479+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:26.866472+00:00,Adrien
17,Accepted,2013-01-01 02:29:25.412045+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:40.827971+00:00,Agneta
18,Accepted,2013-01-01 02:29:31.471139+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:14:03.624124+00:00,Agnieszka
19,Accepted,2013-01-01 02:45:36.694572+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:08:13.405042+00:00,Agnivesh
20,Accepted,2013-01-01 02:46:15.413955+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:16.138463+00:00,Agoritsa
21,Queued,2013-01-01 04:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:06:11.024806+00:00,Akanksha
22,Queued,2013-01-01 04:00:00.791241+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:14.000000+00:00,Ala
