case_id,activity,enable_time,start_time,end_time,resource
0,Accepted,2013-01-01 00:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 09:07:58.809179+00:00,-
1,Queued,2013-01-01 00:03:32.827216+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Aaron
2,Queued,2013-01-01 00:03:33.768518+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.706032+00:00,Abby
3,Queued,2013-01-01 00:16:00.413775+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 10:30:17.000000+00:00,Abdelkader
4,Queued,2013-01-01 00:16:03.886673+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:02.164052+00:00,Abhiseka
5,Queued,2013-01-01 00:16:04.123856+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 09:19:45.000000+00:00,Achuthanandan
6,Queued,2013-01-01 00:16:04.251045+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-03 09:15:34.609706+00:00,Adeline
7,Queued,2013-01-01 00:16:12.577608+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Ademilson
8,Accepted,2013-01-01 00:29:40.379897+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.015877+00:00,Abdul
9,Queued,2013-01-01 00:35:17.630842+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:04:30.616270+00:00,Agata
10,Queued,2013-01-01 00:36:12.464373+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:14:19.594951+00:00,Agnieszka
11,Queued,2013-01-01 00:44:55.084663+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 09:52:42.214909+00:00,Alan
12,Accepted,2013-01-01 00:46:19.291675+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.004653+00:00,Abhinav
13,Accepted,2013-01-01 00:49:51.797634+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-02 09:16:28.229387+00:00,Abhishek
14,Queued,2013-01-01 02:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Alejandro
15,Accepted,2013-01-01 02:00:11.918164+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-02 09:29:20.383115+00:00,Adam
16,Accepted,2013-01-01 02:11:09.272538+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Adenilson
17,Accepted,2013-01-01 02:22:22.895604+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-02 14:11:29.985228+00:00,Aditi
18,Queued,2013-01-01 02:22:35.205413+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:11:28.730276+00:00,Aleksandra
19,Accepted,2013-01-01 02:31:30.219257+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:04:01.745011+00:00,Adriano
20,Queued,2013-01-01 02:32:16.733636+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Alessandro
21,Queued,2013-01-01 02:54:19.765500+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:11.696243+00:00,Alex
22,Queued,2013-01-01 02:54:25.095739+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:46:13.968315+00:00,Alexander
23,Queued,2013-01-01 02:54:56.246191+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:01.418010+00:00,Alexandre
24,Accepted,2013-01-01 04:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:25.575572+00:00,Adrien
25,Queued,2013-01-01 04:02:34.959920+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:02:38.626781+00:00,Alexsandra
26,Queued,2013-01-01 04:23:26.363599+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:01:31.963603+00:00,Aline
27,Accepted,2013-01-01 04:26:23.162816+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:47.603350+00:00,Agneta
28,Queued,2013-01-01 04:27:34.956017+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,Allana
29,Queued,2013-01-01 04:46:00.239098+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 17:04:34.984541+00:00,Anand
30,Queued,2013-01-01 04:54:30.540745+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:06.997921+00:00,Anastasia
31,Queued,2013-01-01 04:55:18.258195+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:11:44.958655+00:00,Anders
32,Accepted,2013-01-01 04:55:22.865294+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:02:40.413396+00:00,Agnivesh
33,Queued,2013-01-01 04:58:11.428707+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-07 14:00:00.000012+00:00,Anderson
34,Queued,2013-01-01 06:00:00.000000+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:00.047347+00:00,Andre
35,Accepted,2013-01-01 06:00:09.712334+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:06.296554+00:00,Agoritsa
36,Queued,2013-01-01 06:01:23.126193+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:58:09.866418+00:00,Andreas
37,Queued,2013-01-01 06:02:20.717319+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:06:53.366980+00:00,Andrew
38,Queued,2013-01-01 06:21:13.299445+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:04.858138+00:00,Andrey
39,Queued,2013-01-01 06:22:25.701904+00:00,2013-01-01 08:00:00.000000+00:00,2013-01-01 08:00:14.255964+00:00,Andrés
