model,seed,avg_cycle_time_sec,avg_waiting_time_sec,avg_processing_time_sec,throughput
original,1,7731.16,,,3000
original,2,7549.86,,,3000
original,3,7937.71,,,3000
original,4,7649.03,,,3000
original,5,7931.94,,,3000
RC,1,8308.59,,,3000
RC,2,8567.02,,,3000
RC,3,8886.23,,,3000
RC,4,8783.61,,,3000
RC,5,8710.06,,,3000
AD,1,6222.51,,,3000
AD,2,5974.69,,,3000
AD,3,5826.8,,,3000
AD,4,6243.62,,,3000
AD,5,5875.58,,,3000
RN,1,7487.42,,,3000
RN,2,7783.3,,,3000
RN,3,7927.33,,,3000
RN,4,8009.14,,,3000
RN,5,7849.55,,,3000
TR,1,8074.97,,,3000
TR,2,8217.9,,,3000
TR,3,7623.47,,,3000
TR,4,7759.8,,,3000
TR,5,7802.76,,,3000
AC,1,6275.57,,,3000
AC,2,6272.95,,,3000
AC,3,6556.45,,,3000
AC,4,6510.73,,,3000
AC,5,6491.71,,,3000
