case_id,activity,enable_time,start_time,end_time,resource
0,W_Complete application,2017-01-01 08:00:00.000000+00:00,2017-01-01 08:00:00.000000+00:00,2017-01-01 08:09:37.346632+00:00,User_10
1,W_Complete application,2017-01-01 08:01:42.236072+00:00,2017-01-01 08:01:42.236072+00:00,2017-01-01 08:18:03.531984+00:00,User_100
2,W_Complete application,2017-01-01 08:05:34.866583+00:00,2017-01-01 08:05:34.866583+00:00,2017-01-01 08:05:34.866583+00:00,User_102
2,W_Complete application,2017-01-01 08:05:34.866583+00:00,2017-01-01 08:05:34.866583+00:00,2017-01-01 08:09:20.128587+00:00,User_107
3,W_Complete application,2017-01-01 08:08:05.732197+00:00,2017-01-01 08:08:05.732197+00:00,2017-01-01 08:23:52.118410+00:00,User_109
2,W_Call after offers,2017-01-01 08:09:20.128587+00:00,2017-01-01 08:09:20.128587+00:00,2017-01-01 08:10:46.795695+00:00,User_11
0,W_Call after offers,2017-01-01 08:09:37.346632+00:00,2017-01-01 08:09:37.346632+00:00,2017-01-01 08:24:46.038411+00:00,User_12
2,W_Validate application,2017-01-01 08:10:46.795695+00:00,2017-01-01 08:10:46.795695+00:00,2017-01-01 08:11:19.628002+00:00,User_101
2,W_Call incomplete files,2017-01-01 08:11:19.628002+00:00,2017-01-01 08:11:19.628002+00:00,2017-01-01 08:12:49.341073+00:00,User_112
2,W_Call incomplete files,2017-01-01 08:12:49.341073+00:00,2017-01-01 08:12:49.341073+00:00,2017-01-01 08:16:58.496969+00:00,User_113
2,W_Call incomplete files,2017-01-01 08:16:58.496969+00:00,2017-01-01 08:16:58.496969+00:00,2017-01-01 08:25:17.460859+00:00,User_118
4,W_Complete application,2017-01-01 08:17:01.336747+00:00,2017-01-01 08:17:01.336747+00:00,2017-01-01 08:20:31.652145+00:00,User_13
5,W_Complete application,2017-01-01 08:17:13.955861+00:00,2017-01-01 08:17:13.955861+00:00,2017-01-01 08:17:13.955861+00:00,User_132
5,W_Call after offers,2017-01-01 08:17:13.955861+00:00,2017-01-01 08:17:13.955861+00:00,2017-01-01 08:17:13.955861+00:00,User_138
1,W_Call after offers,2017-01-01 08:18:03.531984+00:00,2017-01-01 08:18:03.531984+00:00,2017-01-01 08:19:00.301443+00:00,User_14
4,W_Call after offers,2017-01-01 08:20:31.652145+00:00,2017-01-01 08:20:31.652145+00:00,2017-01-01 08:21:01.777789+00:00,User_141
4,W_Call after offers,2017-01-01 08:21:01.777789+00:00,2017-01-01 08:21:01.777789+00:00,2017-01-01 08:21:01.777789+00:00,User_144
