model,seed,avg_cycle_time_sec,avg_waiting_time_sec,avg_processing_time_sec,throughput
original,1,452800.45,,,3000
original,2,436625.35,,,3000
original,3,452770.84,,,3000
original,4,427343.22,,,3000
original,5,441791.76,,,3000
RC,1,898184.71,,,3000
RC,2,853296.75,,,3000
RC,3,779252.84,,,3000
RC,4,760979.96,,,3000
RC,5,773658.65,,,3000
AD,1,517964.79,,,3000
AD,2,483056.27,,,3000
AD,3,455125.49,,,3000
AD,4,456632.74,,,3000
AD,5,444719.93,,,3000
RN,1,3979297.59,,,3000
RN,2,2994055.78,,,3000
RN,3,5585680.72,,,3000
RN,4,3925491.02,,,3000
RN,5,4168906.63,,,3000
TR,1,328503.66,,,3000
TR,2,335865.43,,,3000
TR,3,335871.06,,,3000
TR,4,333638.82,,,3000
TR,5,341809.06,,,3000
AC,1,431086.67,,,3000
AC,2,452463.81,,,3000
AC,3,477711.0,,,3000
AC,4,467504.69,,,3000
AC,5,452280.27,,,3000
