model,seed,avg_cycle_time_sec,avg_waiting_time_sec,avg_processing_time_sec,throughput
original,1,25884.62,,,3000
original,2,27100.27,,,3000
original,3,26502.63,,,3000
original,4,25272.08,,,3000
original,5,26665.21,,,3000
RC,1,33368.16,,,3000
RC,2,35141.22,,,3000
RC,3,34233.61,,,3000
RC,4,33646.98,,,3000
RC,5,34226.25,,,3000
AD,1,23867.42,,,3000
AD,2,26134.0,,,3000
AD,3,25553.89,,,3000
AD,4,25599.36,,,3000
AD,5,25828.26,,,3000
RN,1,26100.61,,,3000
RN,2,25475.87,,,3000
RN,3,25364.87,,,3000
RN,4,26174.57,,,3000
RN,5,25906.04,,,3000
TR,1,26949.32,,,3000
TR,2,27676.56,,,3000
TR,3,25136.13,,,3000
TR,4,27525.14,,,3000
TR,5,26722.82,,,3000
AC,1,25191.8,,,3000
AC,2,24544.52,,,3000
AC,3,25429.4,,,3000
AC,4,25687.3,,,3000
AC,5,24874.19,,,3000
