dataset,method,seed,sample_size,parameter,value
datamining,sobol,100,1024,AC,0.0995951869900364
datamining,sobol,100,1024,AD,0.0292739489965971
datamining,sobol,100,1024,RC,0.9005729404460764
datamining,sobol,100,1024,RN,0.0053311536174305
datamining,sobol,100,1024,TR,0.0021597628976566
datamining,sobol,200,1024,AC,0.0940864803418296
datamining,sobol,200,1024,AD,0.019188185787458
datamining,sobol,200,1024,RC,0.9324030805769532
datamining,sobol,200,1024,RN,0.004095642226904
datamining,sobol,200,1024,TR,0.0019294175815924
datamining,sobol,300,1024,AC,0.1080155195830377
datamining,sobol,300,1024,AD,0.0332969006149522
datamining,sobol,300,1024,RC,0.906870480307267
datamining,sobol,300,1024,RN,0.004854386356928
datamining,sobol,300,1024,TR,0.0021817138172518
datamining,sobol,100,2048,AC,0.0986914792566835
datamining,sobol,100,2048,AD,0.0304304380847671
datamining,sobol,100,2048,RC,0.9147556774969836
datamining,sobol,100,2048,RN,0.0049494234122876
datamining,sobol,100,2048,TR,0.0023698841931745
datamining,sobol,200,2048,AC,0.0944102058217704
datamining,sobol,200,2048,AD,0.0208366059269712
datamining,sobol,200,2048,RC,0.9091191638746362
datamining,sobol,200,2048,RN,0.0039110504735226
datamining,sobol,200,2048,TR,0.0020200912671989
datamining,sobol,300,2048,AC,0.1032841569889424
datamining,sobol,300,2048,AD,0.0323082111222345
datamining,sobol,300,2048,RC,0.9202037418259492
datamining,sobol,300,2048,RN,0.0046194302453648
datamining,sobol,300,2048,TR,0.0020859415425224
datamining,sobol,100,512,AC,0.099585246698362
datamining,sobol,100,512,AD,0.0273670388174327
datamining,sobol,100,512,RC,0.9141516145273026
datamining,sobol,100,512,RN,0.0051724116350567
datamining,sobol,100,512,TR,0.0025045852268471
datamining,sobol,200,512,AC,0.0899345368080318
datamining,sobol,200,512,AD,0.0207639796982048
datamining,sobol,200,512,RC,0.9055436161657734
datamining,sobol,200,512,RN,0.0042601364559386
datamining,sobol,200,512,TR,0.0020519779205297
datamining,sobol,300,512,AC,0.113386839137859
datamining,sobol,300,512,AD,0.0341281254585331
datamining,sobol,300,512,RC,0.9019947059344235
datamining,sobol,300,512,RN,0.0050250563696649
datamining,sobol,300,512,TR,0.0021920909727818
datamining,morris,100,128,AC,34899.22802474339
datamining,morris,100,128,AD,22171.252871580284
datamining,morris,100,128,RC,123503.63107778148
datamining,morris,100,128,RN,7534.270283059081
datamining,morris,100,128,TR,4666.074662225449
datamining,morris,200,128,AC,44557.19399330787
datamining,morris,200,128,AD,26633.917577955508
datamining,morris,200,128,RC,120346.30239879494
datamining,morris,200,128,RN,6347.764265690399
datamining,morris,200,128,TR,4640.08417864649
datamining,morris,300,128,AC,43991.49840136543
datamining,morris,300,128,AD,19944.54752454433
datamining,morris,300,128,RC,127201.81607442812
datamining,morris,300,128,RN,7678.135013916461
datamining,morris,300,128,TR,4402.776727386352
datamining,morris,100,256,AC,35181.85277457558
datamining,morris,100,256,AD,22108.259242496737
datamining,morris,100,256,RC,129363.4052149786
datamining,morris,100,256,RN,7681.708359386413
datamining,morris,100,256,TR,4819.154109233605
datamining,morris,200,256,AC,41681.29105499823
datamining,morris,200,256,AD,24383.56161889181
datamining,morris,200,256,RC,116410.1906502158
datamining,morris,200,256,RN,7006.601104272402
datamining,morris,200,256,TR,5320.7950751195485
datamining,morris,300,256,AC,43656.82743294926
datamining,morris,300,256,AD,20326.700364729164
datamining,morris,300,256,RC,121681.0107522023
datamining,morris,300,256,RN,7130.273136797235
datamining,morris,300,256,TR,4644.72665627136
datamining,morris,100,512,AC,37766.04287533422
datamining,morris,100,512,AD,23243.129432049467
datamining,morris,100,512,RC,130640.09201855947
datamining,morris,100,512,RN,7490.554412640491
datamining,morris,100,512,TR,5108.989876950119
datamining,morris,200,512,AC,41905.25520722187
datamining,morris,200,512,AD,24602.90341011475
datamining,morris,200,512,RC,115528.4124560244
datamining,morris,200,512,RN,6953.629224425621
datamining,morris,200,512,TR,4841.256233095006
datamining,morris,300,512,AC,41602.586462687155
datamining,morris,300,512,AD,22392.723987019846
datamining,morris,300,512,RC,119949.16108168205
datamining,morris,300,512,RN,7112.6959376794575
datamining,morris,300,512,TR,4592.709955269227
datamining,morris,100,64,AC,35731.376746502116
datamining,morris,100,64,AD,20934.313391453717
datamining,morris,100,64,RC,126569.39381610452
datamining,morris,100,64,RN,7704.802971387132
datamining,morris,100,64,TR,4650.121394840928
datamining,morris,200,64,AC,44750.96489537964
datamining,morris,200,64,AD,23860.631342978555
datamining,morris,200,64,RC,119740.97439283464
datamining,morris,200,64,RN,6208.091360200822
datamining,morris,200,64,TR,4865.028902390446
datamining,morris,300,64,AC,44988.97309567034
datamining,morris,300,64,AD,21039.043601266767
datamining,morris,300,64,RC,125834.14475442466
datamining,morris,300,64,RN,8249.024557840792
datamining,morris,300,64,TR,4691.7064951222865
