dataset,seed,n_samples,group,S1,S1_conf,ST,ST_conf
datamining,100,1024,Arrival Calendar,0.06337165498600508,0.023683007738817444,0.09959518699003642,0.014872806421054433
datamining,100,1024,Arrival Distribution,-0.0007857444063285665,0.01186652531175845,0.029273948996597153,0.006123344730455069
datamining,100,1024,Resource Calendars,0.8935876777364362,0.13469873618327866,0.9005729404460764,0.0711924543041001
datamining,100,1024,Resource Numbers,-0.0012917010298350042,0.005563602504281296,0.0053311536174305086,0.0009777290424900593
datamining,100,1024,Tasks and Resources Distributions,0.0009131745739804749,0.0039060563446173396,0.002159762897656687,0.00023385213712843756
datamining,200,1024,Arrival Calendar,0.07163671742218361,0.022189314143351003,0.0940864803418296,0.013575596521796077
datamining,200,1024,Arrival Distribution,0.00840921531867028,0.01301068611251665,0.01918818578745809,0.0034350926725546745
datamining,200,1024,Resource Calendars,0.902878787968668,0.10608062726337172,0.9324030805769532,0.07359740191783182
datamining,200,1024,Resource Numbers,0.00136584994397792,0.005461267419599594,0.004095642226904074,0.0007283923946899189
datamining,200,1024,Tasks and Resources Distributions,0.0008466552598965625,0.0034718926896073073,0.0019294175815924369,0.00021030820473697553
datamining,300,1024,Arrival Calendar,0.06562214126905094,0.02979913791809682,0.10801551958303778,0.01725310043992802
datamining,300,1024,Arrival Distribution,0.0007851260320632002,0.01578279897268788,0.033296900614952274,0.0063373482613823294
datamining,300,1024,Resource Calendars,0.8727723481874022,0.101580816721848,0.906870480307267,0.0627311526986168
datamining,300,1024,Resource Numbers,-0.005993447356180255,0.007081153809797305,0.00485438635692804,0.0008944158740742975
datamining,300,1024,Tasks and Resources Distributions,0.0002610092278802778,0.00403101136270227,0.002181713817251802,0.0002511946640264086
datamining,100,2048,Arrival Calendar,0.06288303146389178,0.017679575107554475,0.09869147925668358,0.010078332326043018
datamining,100,2048,Arrival Distribution,0.0032604085921776357,0.010508337092464017,0.03043043808476716,0.004457644152116754
datamining,100,2048,Resource Calendars,0.8979583085779772,0.07579806724718946,0.9147556774969837,0.0530227512955414
datamining,100,2048,Resource Numbers,0.0011430105067097508,0.004236924761310036,0.004949423412287642,0.0006274542370912595
datamining,100,2048,Tasks and Resources Distributions,0.0023780056477452328,0.003121842836825184,0.00236988419317457,0.0001952632625417565
datamining,200,2048,Arrival Calendar,0.06379929568951531,0.0167534668231521,0.09441020582177044,0.010211705769169098
datamining,200,2048,Arrival Distribution,0.0015965636473094277,0.00876499483661914,0.020836605926971292,0.0025727965172724606
datamining,200,2048,Resource Calendars,0.895766043638301,0.07283723954389268,0.9091191638746362,0.04168395008395389
datamining,200,2048,Resource Numbers,-0.0008384635616368299,0.0036402051958751456,0.0039110504735226865,0.0004585259767426252
datamining,200,2048,Tasks and Resources Distributions,0.0014817628471470933,0.0023918269468221837,0.0020200912671989642,0.00020455491917680405
datamining,300,2048,Arrival Calendar,0.059482687518469,0.0203721790801186,0.10328415698894247,0.012529674058404189
datamining,300,2048,Arrival Distribution,0.0069142477180082216,0.011535527454397855,0.032308211122234545,0.004432685181011703
datamining,300,2048,Resource Calendars,0.8955075520464992,0.07036550880826165,0.9202037418259491,0.05242599084150935
datamining,300,2048,Resource Numbers,-0.0022809827740449275,0.004367119773122983,0.0046194302453648785,0.0006463833206060278
datamining,300,2048,Tasks and Resources Distributions,0.0024974732436912096,0.0026139747800166557,0.002085941542522402,0.00020462240073814767
datamining,100,512,Arrival Calendar,0.08665873350247259,0.044203976045104634,0.09958524669836202,0.020982600210698588
datamining,100,512,Arrival Distribution,0.00843423682836732,0.01887875146580952,0.027367038817432725,0.008571321488844867
datamining,100,512,Resource Calendars,0.907158181499717,0.17546988158603757,0.9141516145273026,0.09942941055087444
datamining,100,512,Resource Numbers,0.004197568253315239,0.008290476655876376,0.005172411635056736,0.0013171170920960892
datamining,100,512,Tasks and Resources Distributions,0.0012275750406489712,0.0062665668739915435,0.002504585226847199,0.0004866458722535076
datamining,200,512,Arrival Calendar,0.07293418674757604,0.037720456045597935,0.0899345368080318,0.020385620710371942
datamining,200,512,Arrival Distribution,0.0023423692575682818,0.018139512597768824,0.020763979698204812,0.00523671483285109
datamining,200,512,Resource Calendars,0.8802407850150258,0.1348138321598275,0.9055436161657734,0.09633358880557155
datamining,200,512,Resource Numbers,-0.0025495076721013415,0.008015089827441915,0.004260136455938624,0.000927777736163042
datamining,200,512,Tasks and Resources Distributions,-0.00016171363268745176,0.0054945331193888905,0.0020519779205297258,0.00039162002037647754
datamining,300,512,Arrival Calendar,0.06127018738878058,0.03784466228689528,0.113386839137859,0.024984997243583728
datamining,300,512,Arrival Distribution,-0.0006152255398573384,0.021160117506041007,0.03412812545853315,0.009029092648400152
datamining,300,512,Resource Calendars,0.8605269612673951,0.13199002834179907,0.9019947059344237,0.09772314630513287
datamining,300,512,Resource Numbers,-0.0004597813295786472,0.007591385332821549,0.005025056369664977,0.001628930188917446
datamining,300,512,Tasks and Resources Distributions,0.0011679098731075823,0.005485426611970792,0.0021920909727818176,0.0004168171507991885
