dataset,method,seed,size_from,size_to,n_params,rho,p_exact
datamining,morris,100,64,128,5,0.9999999999999999,0.016666666666666666
datamining,morris,100,128,256,5,0.9999999999999999,0.016666666666666666
datamining,morris,100,256,512,5,0.9999999999999999,0.016666666666666666
datamining,morris,200,64,128,5,0.9999999999999999,0.016666666666666666
datamining,morris,200,128,256,5,0.9999999999999999,0.016666666666666666
datamining,morris,200,256,512,5,0.9999999999999999,0.016666666666666666
datamining,morris,300,64,128,5,0.9999999999999999,0.016666666666666666
datamining,morris,300,128,256,5,0.9999999999999999,0.016666666666666666
datamining,morris,300,256,512,5,0.9999999999999999,0.016666666666666666
datamining,sobol,100,512,1024,5,0.9999999999999999,0.016666666666666666
datamining,sobol,100,1024,2048,5,0.9999999999999999,0.016666666666666666
datamining,sobol,200,512,1024,5,0.9999999999999999,0.016666666666666666
datamining,sobol,200,1024,2048,5,0.9999999999999999,0.016666666666666666
datamining,sobol,300,512,1024,5,0.9999999999999999,0.016666666666666666
datamining,sobol,300,1024,2048,5,0.9999999999999999,0.016666666666666666
