dataset,method,sample_size,seed_a,seed_b,n_params,rho,p_exact
datamining,morris,64,100,200,5,0.9999999999999999,0.016666666666666666
datamining,morris,64,100,300,5,0.9999999999999999,0.016666666666666666
datamining,morris,64,200,300,5,0.9999999999999999,0.016666666666666666
datamining,morris,64,MEAN,,5,0.9999999999999999,
datamining,morris,128,100,200,5,0.9999999999999999,0.016666666666666666
datamining,morris,128,100,300,5,0.9999999999999999,0.016666666666666666
datamining,morris,128,200,300,5,0.9999999999999999,0.016666666666666666
datamining,morris,128,MEAN,,5,0.9999999999999999,
datamining,morris,256,100,200,5,0.9999999999999999,0.016666666666666666
datamining,morris,256,100,300,5,0.9999999999999999,0.016666666666666666
datamining,morris,256,200,300,5,0.9999999999999999,0.016666666666666666
datamining,morris,256,MEAN,,5,0.9999999999999999,
datamining,morris,512,100,200,5,0.9999999999999999,0.016666666666666666
datamining,morris,512,100,300,5,0.9999999999999999,0.016666666666666666
datamining,morris,512,200,300,5,0.9999999999999999,0.016666666666666666
datamining,morris,512,MEAN,,5,0.9999999999999999,
datamining,sobol,512,100,200,5,0.9999999999999999,0.016666666666666666
datamining,sobol,512,100,300,5,0.9999999999999999,0.016666666666666666
datamining,sobol,512,200,300,5,0.9999999999999999,0.016666666666666666
datamining,sobol,512,MEAN,,5,0.9999999999999999,
datamining,sobol,1024,100,200,5,0.9999999999999999,0.016666666666666666
datamining,sobol,1024,100,300,5,0.9999999999999999,0.016666666666666666
datamining,sobol,1024,200,300,5,0.9999999999999999,0.016666666666666666
datamining,sobol,1024,MEAN,,5,0.9999999999999999,
datamining,sobol,2048,100,200,5,0.9999999999999999,0.016666666666666666
datamining,sobol,2048,100,300,5,0.9999999999999999,0.016666666666666666
datamining,sobol,2048,200,300,5,0.9999999999999999,0.016666666666666666
datamining,sobol,2048,MEAN,,5,0.9999999999999999,
