dataset,method,seed,size_from,size_to,n_params,rho,p_exact
production,morris,100,64,128,5,0.8999999999999998,0.08333333333333333
production,morris,100,128,256,5,0.7999999999999999,0.13333333333333333
production,morris,100,256,512,5,0.8999999999999998,0.08333333333333333
production,morris,200,64,128,5,0.3,0.6833333333333333
production,morris,200,128,256,5,0.8999999999999998,0.08333333333333333
production,morris,200,256,512,5,0.7,0.23333333333333334
production,morris,300,64,128,5,0.9999999999999999,0.016666666666666666
production,morris,300,128,256,5,0.9999999999999999,0.016666666666666666
production,morris,300,256,512,5,0.9999999999999999,0.016666666666666666
production,sobol,100,512,1024,5,0.8999999999999998,0.08333333333333333
production,sobol,100,1024,2048,5,0.7999999999999999,0.13333333333333333
production,sobol,200,512,1024,5,0.7,0.23333333333333334
production,sobol,200,1024,2048,5,0.6,0.35
production,sobol,300,512,1024,5,0.9999999999999999,0.016666666666666666
production,sobol,300,1024,2048,5,0.7,0.23333333333333334
