dataset,method,sample_size,seed_a,seed_b,n_params,rho,p_exact
production,morris,64,100,200,5,0.3,0.6833333333333333
production,morris,64,100,300,5,0.49999999999999994,0.45
production,morris,64,200,300,5,0.7,0.23333333333333334
production,morris,64,MEAN,,5,0.5,
production,morris,128,100,200,5,0.8999999999999998,0.08333333333333333
production,morris,128,100,300,5,0.6,0.35
production,morris,128,200,300,5,0.7,0.23333333333333334
production,morris,128,MEAN,,5,0.7333333333333333,
production,morris,256,100,200,5,0.7,0.23333333333333334
production,morris,256,100,300,5,0.8999999999999998,0.08333333333333333
production,morris,256,200,300,5,0.6,0.35
production,morris,256,MEAN,,5,0.7333333333333333,
production,morris,512,100,200,5,0.8999999999999998,0.08333333333333333
production,morris,512,100,300,5,0.7,0.23333333333333334
production,morris,512,200,300,5,0.8999999999999998,0.08333333333333333
production,morris,512,MEAN,,5,0.8333333333333331,
production,sobol,512,100,200,5,0.8999999999999998,0.08333333333333333
production,sobol,512,100,300,5,0.9999999999999999,0.016666666666666666
production,sobol,512,200,300,5,0.8999999999999998,0.08333333333333333
production,sobol,512,MEAN,,5,0.9333333333333331,
production,sobol,1024,100,200,5,0.7,0.23333333333333334
production,sobol,1024,100,300,5,0.8999999999999998,0.08333333333333333
production,sobol,1024,200,300,5,0.49999999999999994,0.45
production,sobol,1024,MEAN,,5,0.6999999999999998,
production,sobol,2048,100,200,5,0.8999999999999998,0.08333333333333333
production,sobol,2048,100,300,5,0.8999999999999998,0.08333333333333333
production,sobol,2048,200,300,5,0.7999999999999999,0.13333333333333333
production,sobol,2048,MEAN,,5,0.8666666666666666,
