dataset,method,seed,size_from,size_to,n_params,n_concordant,n_pairs_compared,n_pairs_total,agreement
2012,morris,100,64,128,5,10,10,10,1.0
2012,morris,100,128,256,5,8,10,10,0.8
2012,morris,100,256,512,5,10,10,10,1.0
2012,morris,200,64,128,5,8,10,10,0.8
2012,morris,200,128,256,5,9,10,10,0.9
2012,morris,200,256,512,5,9,10,10,0.9
2012,morris,300,64,128,5,9,10,10,0.9
2012,morris,300,128,256,5,9,10,10,0.9
2012,morris,300,256,512,5,10,10,10,1.0
2012,sobol,100,512,1024,5,10,10,10,1.0
2012,sobol,100,1024,2048,5,10,10,10,1.0
2012,sobol,200,512,1024,5,8,10,10,0.8
2012,sobol,200,1024,2048,5,9,10,10,0.9
2012,sobol,300,512,1024,5,9,10,10,0.9
2012,sobol,300,1024,2048,5,7,10,10,0.7
2013_cycle_time,morris,100,64,128,5,10,10,10,1.0
2013_cycle_time,morris,100,128,256,5,10,10,10,1.0
2013_cycle_time,morris,100,256,512,5,10,10,10,1.0
2013_cycle_time,morris,200,64,128,5,9,10,10,0.9
2013_cycle_time,morris,200,128,256,5,10,10,10,1.0
2013_cycle_time,morris,200,256,512,5,10,10,10,1.0
2013_cycle_time,morris,300,64,128,5,8,10,10,0.8
2013_cycle_time,morris,300,128,256,5,8,10,10,0.8
2013_cycle_time,morris,300,256,512,5,10,10,10,1.0
2013_cycle_time,sobol,100,512,1024,5,10,10,10,1.0
2013_cycle_time,sobol,100,1024,2048,5,10,10,10,1.0
2013_cycle_time,sobol,200,512,1024,5,10,10,10,1.0
2013_cycle_time,sobol,200,1024,2048,5,10,10,10,1.0
2013_cycle_time,sobol,300,512,1024,5,9,10,10,0.9
2013_cycle_time,sobol,300,1024,2048,5,10,10,10,1.0
2017,morris,100,64,128,5,9,10,10,0.9
2017,morris,100,128,256,5,9,10,10,0.9
2017,morris,100,256,512,5,10,10,10,1.0
2017,morris,200,64,128,5,8,10,10,0.8
2017,morris,200,128,256,5,9,10,10,0.9
2017,morris,200,256,512,5,8,10,10,0.8
2017,morris,300,64,128,5,9,10,10,0.9
2017,morris,300,128,256,5,9,10,10,0.9
2017,morris,300,256,512,5,8,10,10,0.8
2017,sobol,100,512,1024,5,10,10,10,1.0
2017,sobol,100,1024,2048,5,10,10,10,1.0
2017,sobol,200,512,1024,5,10,10,10,1.0
2017,sobol,200,1024,2048,5,10,10,10,1.0
2017,sobol,300,512,1024,5,10,10,10,1.0
2017,sobol,300,1024,2048,5,10,10,10,1.0
production,morris,100,64,128,5,9,10,10,0.9
production,morris,100,128,256,5,8,10,10,0.8
production,morris,100,256,512,5,9,10,10,0.9
production,morris,200,64,128,5,6,10,10,0.6
production,morris,200,128,256,5,9,10,10,0.9
production,morris,200,256,512,5,8,10,10,0.8
production,morris,300,64,128,5,10,10,10,1.0
production,morris,300,128,256,5,10,10,10,1.0
production,morris,300,256,512,5,10,10,10,1.0
production,sobol,100,512,1024,5,9,10,10,0.9
production,sobol,100,1024,2048,5,8,10,10,0.8
production,sobol,200,512,1024,5,8,10,10,0.8
production,sobol,200,1024,2048,5,7,10,10,0.7
production,sobol,300,512,1024,5,10,10,10,1.0
production,sobol,300,1024,2048,5,8,10,10,0.8
datamining,morris,100,64,128,5,10,10,10,1.0
datamining,morris,100,128,256,5,10,10,10,1.0
datamining,morris,100,256,512,5,10,10,10,1.0
datamining,morris,200,64,128,5,10,10,10,1.0
datamining,morris,200,128,256,5,10,10,10,1.0
datamining,morris,200,256,512,5,10,10,10,1.0
datamining,morris,300,64,128,5,10,10,10,1.0
datamining,morris,300,128,256,5,10,10,10,1.0
datamining,morris,300,256,512,5,10,10,10,1.0
datamining,sobol,100,512,1024,5,10,10,10,1.0
datamining,sobol,100,1024,2048,5,10,10,10,1.0
datamining,sobol,200,512,1024,5,10,10,10,1.0
datamining,sobol,200,1024,2048,5,10,10,10,1.0
datamining,sobol,300,512,1024,5,10,10,10,1.0
datamining,sobol,300,1024,2048,5,10,10,10,1.0
