dataset,method,sample_size,parameter,mean_value,reference_rank
2012,morris,512,AC,66622.89384333334,5
2012,morris,512,AD,203991.1141333333,4
2012,morris,512,RC,236798.5744,2
2012,morris,512,RN,247346.8010666667,1
2012,morris,512,TR,219414.31673333337,3
2012,sobol,2048,AC,0.1312747986666666,5
2012,sobol,2048,AD,0.4825400206666666,2
2012,sobol,2048,RC,0.6833707566666667,1
2012,sobol,2048,RN,0.3777663236666666,3
2012,sobol,2048,TR,0.26800605,4
2013_cycle_time,morris,512,AC,67472.53930333334,5
2013_cycle_time,morris,512,AD,73032.79278666667,4
2013_cycle_time,morris,512,RC,141000.45913333332,2
2013_cycle_time,morris,512,RN,100114.23367,3
2013_cycle_time,morris,512,TR,173268.74103333332,1
2013_cycle_time,sobol,2048,AC,0.0622569493333333,5
2013_cycle_time,sobol,2048,AD,0.0877868973333333,4
2013_cycle_time,sobol,2048,RC,0.4826461926666667,1
2013_cycle_time,sobol,2048,RN,0.1071329113333333,3
2013_cycle_time,sobol,2048,TR,0.346830311,2
2017,morris,512,AC,36631.18875666667,4
2017,morris,512,AD,47226.24601333333,2
2017,morris,512,RC,97955.20676666668,1
2017,morris,512,RN,40836.08851,3
2017,morris,512,TR,28506.84227333333,5
2017,sobol,2048,AC,0.1520404993333333,3
2017,sobol,2048,AD,0.1882367506666666,2
2017,sobol,2048,RC,0.816942602,1
2017,sobol,2048,RN,0.0654429403333333,4
2017,sobol,2048,TR,0.0103817186666666,5
production,morris,512,AC,6643012.206333333,5
production,morris,512,AD,7301114.829999999,4
production,morris,512,RC,19446610.58333333,2
production,morris,512,RN,20430227.766666666,1
production,morris,512,TR,7974747.113333333,3
production,sobol,2048,AC,0.2983345006666666,5
production,sobol,2048,AD,1.337795956,2
production,sobol,2048,RC,0.824499694,3
production,sobol,2048,RN,1.6767731,1
production,sobol,2048,TR,0.4596015756666666,4
datamining,morris,512,AC,40424.62818174775,2
datamining,morris,512,AD,23412.91894306136,3
datamining,morris,512,RC,122039.22185208864,1
datamining,morris,512,RN,7185.62652491519,4
datamining,morris,512,TR,4847.652021771451,5
datamining,sobol,2048,AC,0.09879528068913211,2
datamining,sobol,2048,AD,0.02785841837799093,3
datamining,sobol,2048,RC,0.9146928610658563,1
datamining,sobol,2048,RN,0.004493301377058333,4
datamining,sobol,2048,TR,0.0021586390009652665,5
