dataset,method,sample_size,seed_a,seed_b,n_params,n_concordant,n_pairs_compared,n_pairs_total,agreement
2012,morris,64,100,200.0,5,6.0,10.0,10.0,0.6
2012,morris,64,100,300.0,5,4.0,10.0,10.0,0.4
2012,morris,64,200,300.0,5,8.0,10.0,10.0,0.8
2012,morris,64,MEAN,,5,,,,0.6
2012,morris,128,100,200.0,5,6.0,10.0,10.0,0.6
2012,morris,128,100,300.0,5,5.0,10.0,10.0,0.5
2012,morris,128,200,300.0,5,9.0,10.0,10.0,0.9
2012,morris,128,MEAN,,5,,,,0.6666666666666666
2012,morris,256,100,200.0,5,9.0,10.0,10.0,0.9
2012,morris,256,100,300.0,5,6.0,10.0,10.0,0.6
2012,morris,256,200,300.0,5,7.0,10.0,10.0,0.7
2012,morris,256,MEAN,,5,,,,0.7333333333333334
2012,morris,512,100,200.0,5,8.0,10.0,10.0,0.8
2012,morris,512,100,300.0,5,6.0,10.0,10.0,0.6
2012,morris,512,200,300.0,5,8.0,10.0,10.0,0.8
2012,morris,512,MEAN,,5,,,,0.7333333333333334
2012,sobol,512,100,200.0,5,7.0,10.0,10.0,0.7
2012,sobol,512,100,300.0,5,6.0,10.0,10.0,0.6
2012,sobol,512,200,300.0,5,5.0,10.0,10.0,0.5
2012,sobol,512,MEAN,,5,,,,0.6
2012,sobol,1024,100,200.0,5,9.0,10.0,10.0,0.9
2012,sobol,1024,100,300.0,5,7.0,10.0,10.0,0.7
2012,sobol,1024,200,300.0,5,6.0,10.0,10.0,0.6
2012,sobol,1024,MEAN,,5,,,,0.7333333333333334
2012,sobol,2048,100,200.0,5,10.0,10.0,10.0,1.0
2012,sobol,2048,100,300.0,5,10.0,10.0,10.0,1.0
2012,sobol,2048,200,300.0,5,10.0,10.0,10.0,1.0
2012,sobol,2048,MEAN,,5,,,,1.0
2013_cycle_time,morris,64,100,200.0,5,8.0,10.0,10.0,0.8
2013_cycle_time,morris,64,100,300.0,5,10.0,10.0,10.0,1.0
2013_cycle_time,morris,64,200,300.0,5,8.0,10.0,10.0,0.8
2013_cycle_time,morris,64,MEAN,,5,,,,0.8666666666666667
2013_cycle_time,morris,128,100,200.0,5,9.0,10.0,10.0,0.9
2013_cycle_time,morris,128,100,300.0,5,8.0,10.0,10.0,0.8
