dataset,gw,n_samples,seed_a,seed_b,agreement,n_seeds_available
2012,with,512,100,200,0.6,
2012,with,512,100,300,0.4666666666666667,
2012,with,512,200,300,0.4666666666666667,
2012,with,512,MEAN,,0.5111111111111111,3.0
2012,with,1024,200,300,0.5333333333333333,
2012,with,1024,MEAN,,0.5333333333333333,2.0
2012,with,2048,100,200,0.8,
2012,with,2048,100,300,0.6,
2012,with,2048,200,300,0.5333333333333333,
2012,with,2048,MEAN,,0.6444444444444444,3.0
2012,without,512,200,300,0.5,
2012,without,512,MEAN,,0.5,2.0
2012,without,1024,100,200,0.6,
2012,without,1024,100,300,0.7,
2012,without,1024,200,300,0.5,
2012,without,1024,MEAN,,0.6,3.0
2012,without,2048,200,300,0.7,
2012,without,2048,MEAN,,0.7,2.0
2017,with,512,100,200,0.6,
2017,with,512,100,300,0.8,
2017,with,512,200,300,0.6666666666666666,
2017,with,512,MEAN,,0.6888888888888888,3.0
2017,with,1024,100,200,0.4666666666666667,
2017,with,1024,100,300,1.0,
2017,with,1024,200,300,0.4666666666666667,
2017,with,1024,MEAN,,0.6444444444444445,3.0
2017,with,2048,100,200,0.6666666666666666,
2017,with,2048,100,300,0.8666666666666667,
2017,with,2048,200,300,0.6666666666666666,
2017,with,2048,MEAN,,0.7333333333333333,3.0
2017,without,512,100,200,0.6,
2017,without,512,100,300,0.7,
2017,without,512,200,300,0.5,
2017,without,512,MEAN,,0.6,3.0
2017,without,1024,100,200,0.6,
2017,without,1024,100,300,0.8,
2017,without,1024,200,300,0.6,
2017,without,1024,MEAN,,0.6666666666666666,3.0
2017,without,2048,MEAN,,,1.0
