dataset,gw,n_samples,seed_a,seed_b,agreement,n_seeds_available
2012,with,512,100,200,0.6666666666666666,
2012,with,512,100,300,0.8666666666666667,
2012,with,512,200,300,0.6666666666666666,
2012,with,512,MEAN,,0.7333333333333333,3.0
2012,with,1024,200,300,0.8666666666666667,
2012,with,1024,MEAN,,0.8666666666666667,2.0
2012,with,2048,100,200,0.6,
2012,with,2048,100,300,0.8,
2012,with,2048,200,300,0.8,
2012,with,2048,MEAN,,0.7333333333333334,3.0
2012,without,512,200,300,0.9,
2012,without,512,MEAN,,0.9,2.0
2012,without,1024,100,200,0.7,
2012,without,1024,100,300,0.8,
2012,without,1024,200,300,0.9,
2012,without,1024,MEAN,,0.7999999999999999,3.0
2012,without,2048,200,300,0.8,
2012,without,2048,MEAN,,0.8,2.0
2017,with,512,100,200,0.8,
2017,with,512,100,300,0.8666666666666667,
2017,with,512,200,300,0.8,
2017,with,512,MEAN,,0.8222222222222223,3.0
2017,with,1024,100,200,0.6666666666666666,
2017,with,1024,100,300,0.8666666666666667,
2017,with,1024,200,300,0.6666666666666666,
2017,with,1024,MEAN,,0.7333333333333333,3.0
2017,with,2048,100,200,0.6666666666666666,
2017,with,2048,100,300,0.8666666666666667,
2017,with,2048,200,300,0.8,
2017,with,2048,MEAN,,0.7777777777777777,3.0
2017,without,512,100,200,0.6,
2017,without,512,100,300,0.6,
2017,without,512,200,300,1.0,
2017,without,512,MEAN,,0.7333333333333334,3.0
2017,without,1024,100,200,0.7,
2017,without,1024,100,300,0.8,
2017,without,1024,200,300,0.9,
2017,without,1024,MEAN,,0.7999999999999999,3.0
2017,without,2048,MEAN,,,1.0
