dataset,seed,n_samples,group,S1,S1_conf,ST,ST_conf
datamining,100,1024,Arrival Calendar,0.08650970681424043,0.02815260427445757,0.11003513433834855,0.016783186865919578
datamining,100,1024,Arrival Distribution,0.008781358221878378,0.01645354068244785,0.03506300124705243,0.007946126913310052
datamining,100,1024,Gateways,0.026841443075197972,0.015624976380724078,0.034843661817780286,0.005067362429170266
datamining,100,1024,Resource Calendars,0.8647553584399251,0.11251329994100946,0.8675033838664356,0.07255604988956584
datamining,100,1024,Resource Numbers,-0.0003440543416200711,0.005761420658350818,0.0068458480285936325,0.002467445185154227
datamining,100,1024,Tasks and Resources Distributions,0.0008520430908750611,0.0042477731339653066,0.0022602222413364843,0.0003820041835286999
datamining,200,1024,Arrival Calendar,0.06775194240012311,0.025764707436949648,0.10067043338821823,0.01350723665410853
datamining,200,1024,Arrival Distribution,0.010753222493874826,0.013474254333016028,0.021486907619144957,0.0035241876407009053
datamining,200,1024,Gateways,0.022667423789064455,0.013856471455522733,0.028834288930018874,0.004667393349212281
datamining,200,1024,Resource Calendars,0.8678974323165726,0.1157801998379309,0.8959811003792328,0.06882636230701782
datamining,200,1024,Resource Numbers,-0.0001865275051297654,0.006263223772670938,0.004988856942357147,0.0011143527247925297
datamining,200,1024,Tasks and Resources Distributions,-2.6242999945673986e-05,0.0040057989718540465,0.0018552461198919775,0.00025380070692986235
datamining,300,1024,Arrival Calendar,0.06497700999787735,0.024708920176073526,0.10611426745036225,0.01780557590203535
datamining,300,1024,Arrival Distribution,0.00970204674343289,0.014510402186302864,0.03110911011323542,0.005207036086770918
datamining,300,1024,Gateways,0.022966115884583683,0.015228518335175073,0.03235483188442564,0.004685257715707709
datamining,300,1024,Resource Calendars,0.8550891593630359,0.10148288767770046,0.8988823452781317,0.06782216454130532
datamining,300,1024,Resource Numbers,-0.0010885734222797969,0.005223255399563977,0.004828409832163266,0.0010029836462464607
datamining,300,1024,Tasks and Resources Distributions,0.001058402050057041,0.004018857291284883,0.0022179155117175533,0.00032362800515941897
datamining,100,2048,Arrival Calendar,0.07904462820741193,0.021782210021093984,0.10668039207752314,0.01203789305925145
datamining,100,2048,Arrival Distribution,0.008782984524877226,0.011168150031505258,0.032719755462403674,0.004897985901049828
datamining,100,2048,Gateways,0.02621410432907373,0.010539659241819058,0.033682112808270964,0.0033000581668675157
datamining,100,2048,Resource Calendars,0.8508320046131496,0.07975206466225146,0.8726652178653542,0.04471632945224206
datamining,100,2048,Resource Numbers,0.0021258805633366158,0.004734251765472969,0.006541123924337703,0.0013392769945680472
datamining,100,2048,Tasks and Resources Distributions,0.0018837986675007176,0.0029150959806835287,0.0022369279535308507,0.00024627562188871946
datamining,200,2048,Arrival Calendar,0.07032754761492983,0.018033133510659594,0.1004631811539412,0.011827321299016303
datamining,200,2048,Arrival Distribution,0.006850706929076133,0.009351276881861362,0.022158820799583652,0.0024654464214475206
datamining,200,2048,Gateways,0.01982497209851002,0.011493269565063876,0.029679339891414417,0.00300625109790819
datamining,200,2048,Resource Calendars,0.8631950270975585,0.08013935866631443,0.8910643478544388,0.0477507963937892
datamining,200,2048,Resource Numbers,0.001035974723667866,0.003560999447015145,0.0045160347087110034,0.0005516660002724845
datamining,200,2048,Tasks and Resources Distributions,0.0008161141063432862,0.0027370448922273893,0.0020395373402909488,0.00021402586343499113
datamining,300,2048,Arrival Calendar,0.06066669223767369,0.02062238772429469,0.09986667676333806,0.011821476837971856
datamining,300,2048,Arrival Distribution,0.006467800078536045,0.009648731082052102,0.032122235515200624,0.0038043617288002303
datamining,300,2048,Gateways,0.019886320889993037,0.010205174836087658,0.03164809701874819,0.003228942149708681
datamining,300,2048,Resource Calendars,0.857587487501049,0.08511120390979615,0.8975729623594403,0.04069693245169895
datamining,300,2048,Resource Numbers,-5.9891853373767863e-05,0.004213833764140272,0.0051232297908529794,0.0007680093193131703
datamining,300,2048,Tasks and Resources Distributions,0.0005425997095237544,0.002734621129302211,0.002202111836076914,0.0002244375225919139
datamining,100,512,Arrival Calendar,0.09808585465498233,0.04120160736252613,0.11471931436545078,0.023434352995592964
datamining,100,512,Arrival Distribution,0.012124145341966987,0.02597070453606335,0.039929302451935614,0.01196132571213238
datamining,100,512,Gateways,0.023882540871078033,0.019958783052011892,0.03729007140452354,0.008668844768005852
datamining,100,512,Resource Calendars,0.8757816771106245,0.16742243313850177,0.905481754248525,0.08840559761501089
datamining,100,512,Resource Numbers,0.00444919707185567,0.00847783002295235,0.008689617523210626,0.00483522127338373
datamining,100,512,Tasks and Resources Distributions,0.0050986203631784,0.00532680220299208,0.0024689582460417792,0.00046880655254481204
datamining,200,512,Arrival Calendar,0.07350121646762448,0.04090830328324185,0.09440994637606466,0.020484153389563702
datamining,200,512,Arrival Distribution,0.00845064051205373,0.017675990866066547,0.02146755252632698,0.004740841552071903
datamining,200,512,Gateways,0.024734478557502087,0.017851063303629695,0.03017194413700531,0.006247455756740427
datamining,200,512,Resource Calendars,0.8428752001613629,0.14729203847981523,0.9028412966060491,0.10575699362052512
datamining,200,512,Resource Numbers,0.0027348464735065087,0.00785413732159018,0.004194799691716627,0.0007443548229651212
datamining,200,512,Tasks and Resources Distributions,0.0016100412539191212,0.004822872344052502,0.0018678945411723792,0.0003436660155291872
datamining,300,512,Arrival Calendar,0.061110019502990005,0.04512419347594946,0.11390987677280043,0.026846422335571864
datamining,300,512,Arrival Distribution,0.0052962444706320805,0.020473491990317977,0.029517786370185962,0.007741921180666351
datamining,300,512,Gateways,0.021240526653827894,0.018535506660207434,0.031077609005700876,0.00627870937201377
datamining,300,512,Resource Calendars,0.878579375350766,0.15430135129817302,0.9055069045600594,0.10083935595669054
datamining,300,512,Resource Numbers,-0.0064683653496637366,0.007334761086536401,0.004800000842988305,0.0012395388390499696
datamining,300,512,Tasks and Resources Distributions,-0.0011982539752901239,0.006163411286286773,0.002188644633534101,0.0005335197351110505
