dataset,seed,n_samples,group,S1,S1_conf,ST,ST_conf
production,100,1024,Arrival Calendar,-0.003453494635100435,0.00851788069162656,0.007871902563214257,0.008627746080737641
production,100,1024,Arrival Distribution,-0.0007357042519294976,0.008294643302260638,0.009003803647115692,0.006257789121472693
production,100,1024,Gateways,0.11578699359572688,0.23669112983828972,0.6791802955624827,0.4126870317220465
production,100,1024,Resource Calendars,0.025536949467445478,0.038154627078462844,0.7326579484791143,0.5956470623411438
production,100,1024,Resource Numbers,0.024808094284384276,0.06435748599497576,0.2796740569149563,0.17988991224365344
production,100,1024,Tasks and Resources Distributions,-0.0019833381819504997,0.007594448585500922,0.05019351887724851,0.033991827220544765
production,200,1024,Arrival Calendar,-0.008649006630567254,0.012499414585299773,0.008985245156399396,0.007858594927256836
production,200,1024,Arrival Distribution,-0.006157162962514838,0.011706045461755354,0.0028024816817071416,0.0044507459729987925
production,200,1024,Gateways,0.15382617579341046,0.16024078358425858,0.7056479339176186,0.5914942141905284
production,200,1024,Resource Calendars,0.2227379320138526,0.2940522938310561,0.48301107018853756,0.36126136399135456
production,200,1024,Resource Numbers,0.0500935796603405,0.059252185545430915,0.4621822771053025,0.41770827290953283
production,200,1024,Tasks and Resources Distributions,-0.004989761280325388,0.013953968917671021,0.025853526648333926,0.03964936624088457
production,300,1024,Arrival Calendar,-0.00024756695412193164,0.0020441683278528853,0.006632147816767934,0.009891874854387047
production,300,1024,Arrival Distribution,-0.0022853746493563917,0.0034889156922522937,0.005234570993915922,0.005027113197561969
production,300,1024,Gateways,0.07980836557303549,0.13057942543857523,0.26097158953993727,0.27929355900911956
production,300,1024,Resource Calendars,0.04165302922521323,0.11464274477144626,0.43763485687534415,0.8702146800244203
production,300,1024,Resource Numbers,-0.023565739469140756,0.05560930701226614,0.641191117061267,0.7045564138750977
production,300,1024,Tasks and Resources Distributions,-0.0002581175063162162,0.005947642965935319,0.04252013279626302,0.11184777588021277
production,100,2048,Arrival Calendar,-0.00020776303235158096,0.003123363282163172,0.010004420927679789,0.00848745633654332
production,100,2048,Arrival Distribution,-0.0008005834171553572,0.0029887030270175875,0.008042758889651181,0.0035270020330069526
production,100,2048,Gateways,0.15691928674247652,0.16077044371263455,0.7070826241010398,0.2639405045226471
production,100,2048,Resource Calendars,0.0354773297581892,0.03491489875778458,0.7938927960726817,0.6216041496803221
production,100,2048,Resource Numbers,0.05831562106506615,0.06987800396873786,0.3229393981475391,0.16525277960115956
production,100,2048,Tasks and Resources Distributions,-0.001764202986776609,0.010208364510029594,0.05160823828579563,0.022169747972892773
production,200,2048,Arrival Calendar,-0.001844341561171174,0.0065283286610488,0.006500731571555775,0.0069502442848833135
production,200,2048,Arrival Distribution,0.004324458705095957,0.0042019754892053274,0.005282654064373765,0.005555987072863062
production,200,2048,Gateways,0.17026071695360812,0.08721263092369415,0.6872348687124062,0.5174778123901227
production,200,2048,Resource Calendars,0.22839524757251764,0.23797351518083695,0.5085440756592279,0.35758567955515913
production,200,2048,Resource Numbers,0.040534688407220014,0.03328235873094126,0.45433365509873247,0.346561580653181
production,200,2048,Tasks and Resources Distributions,0.0046852784197011854,0.005029686335461155,0.031356441346416575,0.034740658612399285
production,300,2048,Arrival Calendar,0.0003522324213634588,0.0024868500835019468,0.006743198717248814,0.0073452457608395305
production,300,2048,Arrival Distribution,0.0016056815951805649,0.002271492347895617,0.004232858987955163,0.003891471021390144
production,300,2048,Gateways,0.11785956451013734,0.12323921845948838,0.5273743068021366,0.59511501465106
production,300,2048,Resource Calendars,0.028350556315467203,0.04686451918173126,0.3679719537417493,0.4705905273782944
production,300,2048,Resource Numbers,-0.001001241298523298,0.03555375629793453,0.47086192187080506,0.4346572070116007
production,300,2048,Tasks and Resources Distributions,-0.0017378016888185547,0.00476996904905594,0.05359444784964151,0.08459559754713339
production,100,512,Arrival Calendar,-0.0007998916715948776,0.007594916628169143,0.0034931889574123832,0.008485634964912786
