dataset,seed,n_samples,group,S1,S1_conf
2017,100,512,Arrival Calendar,0.069371293,0.059069249
2017,100,512,Arrival Distribution,0.110911056,0.061182907
2017,100,512,Resource Calendars,0.684334659,0.158277991
2017,100,512,Resource Numbers,0.024924926,0.027492914
2017,100,512,Tasks and Resources Distributions,0.002192286,0.006121114
2017,200,512,Arrival Calendar,0.031695947,0.047671792
2017,200,512,Arrival Distribution,0.047157374,0.044732501
2017,200,512,Resource Calendars,0.817004004,0.202406308
2017,200,512,Resource Numbers,-0.008663504,0.026752791
2017,200,512,Tasks and Resources Distributions,-0.005292794,0.006107927
2017,300,512,Arrival Calendar,0.078678404,0.045676011
2017,300,512,Arrival Distribution,0.056734114,0.043420779
2017,300,512,Resource Calendars,0.711736719,0.121150449
2017,300,512,Resource Numbers,0.03481836,0.053484278
2017,300,512,Tasks and Resources Distributions,0.002167424,0.005837666
2017,100,1024,Arrival Calendar,0.073084334,0.036769189
2017,100,1024,Arrival Distribution,0.103313257,0.035014448
2017,100,1024,Resource Calendars,0.676311805,0.098934177
2017,100,1024,Resource Numbers,0.009394979,0.021170522
2017,100,1024,Tasks and Resources Distributions,-0.000474544,0.004870616
2017,200,1024,Arrival Calendar,0.036828034,0.027710162
2017,200,1024,Arrival Distribution,0.057480634,0.032698671
2017,200,1024,Resource Calendars,0.748243188,0.134546939
2017,200,1024,Resource Numbers,-0.007553666,0.01433897
2017,200,1024,Tasks and Resources Distributions,-0.005680895,0.004388888
2017,300,1024,Arrival Calendar,0.063181458,0.033579231
2017,300,1024,Arrival Distribution,0.067170242,0.030630562
2017,300,1024,Resource Calendars,0.742307573,0.096540407
2017,300,1024,Resource Numbers,0.021980406,0.03115759
2017,300,1024,Tasks and Resources Distributions,0.002698112,0.006438982
2017,100,2048,Arrival Calendar,0.062909964,0.02326159
2017,100,2048,Arrival Distribution,0.087235424,0.027839574
2017,100,2048,Resource Calendars,0.686198216,0.054230886
2017,100,2048,Resource Numbers,0.004902062,0.014718882
2017,100,2048,Tasks and Resources Distributions,-0.003387919,0.003516523
2017,200,2048,Arrival Calendar,0.03432103,0.020992391
2017,200,2048,Arrival Distribution,0.051896045,0.019910733
2017,200,2048,Resource Calendars,0.74992616,0.103398452
2017,200,2048,Resource Numbers,-0.003706623,0.009357534
2017,200,2048,Tasks and Resources Distributions,-0.000382101,0.003066107
2017,300,2048,Arrival Calendar,0.060784657,0.021356583
2017,300,2048,Arrival Distribution,0.075871802,0.022684267
2017,300,2048,Resource Calendars,0.721547281,0.075470299
2017,300,2048,Resource Numbers,0.015495624,0.018378423
2017,300,2048,Tasks and Resources Distributions,0.003053232,0.004108591
