dataset,seed,n_samples,group,S1,S1_conf,ST,ST_conf
datamining,100,1024,Arrival Calendar,0.03280980193363677,0.025324856357289066,0.08546937951285838,0.014402887961154446
datamining,100,1024,Arrival Distribution,0.02063941711886044,0.025915239888918216,0.07707720688222414,0.01538553904206327
datamining,100,1024,Resource Calendars,0.0053673247223058294,0.016652995203210962,0.0389252637025671,0.005672933150076828
datamining,100,1024,Resource Numbers,0.0019104048099520825,0.01475998633516637,0.029083095157542115,0.008680490254334672
datamining,100,1024,Tasks and Resources Distributions,0.8366771031780033,0.08262246030469297,0.8616377309180409,0.06437411652755515
datamining,200,1024,Arrival Calendar,0.04059768311229729,0.022889255195434343,0.07698066743575602,0.015315994183351753
datamining,200,1024,Arrival Distribution,0.028876743208377697,0.02362361721015139,0.07221079941175365,0.01397264721566727
datamining,200,1024,Resource Calendars,0.009729434054247027,0.018127343089435637,0.045031789331158055,0.00810847136304308
datamining,200,1024,Resource Numbers,0.0036075810264191576,0.012852101949767974,0.024475797185775312,0.007294574459759356
datamining,200,1024,Tasks and Resources Distributions,0.850185909213583,0.08651748316252661,0.864126318300119,0.06607119220304304
datamining,300,1024,Arrival Calendar,0.04719665304317976,0.03235570922845537,0.12598749358490144,0.030633351723308968
datamining,300,1024,Arrival Distribution,0.016521714202626263,0.021496696614404676,0.0959500194381175,0.026102921241629856
datamining,300,1024,Resource Calendars,0.01166996395858882,0.014084847656930632,0.04123274525955611,0.007824940736120252
datamining,300,1024,Resource Numbers,0.00846802840052384,0.015592154194071879,0.03093228504913146,0.01292177495164734
datamining,300,1024,Tasks and Resources Distributions,0.8278182560284222,0.07683793345456366,0.8305865533908975,0.062114375630304176
datamining,100,2048,Arrival Calendar,0.043568714121894433,0.0174487066701347,0.07872130641455714,0.009614187303734189
datamining,100,2048,Arrival Distribution,0.02985420588361327,0.017214716212485704,0.07793008726154048,0.0117173627279609
datamining,100,2048,Resource Calendars,0.012965642801787641,0.011980621416565614,0.04226997128073565,0.006246816085845663
datamining,100,2048,Resource Numbers,0.008981499145849241,0.009852224453774594,0.027218584727601535,0.006558379462274471
datamining,100,2048,Tasks and Resources Distributions,0.8498732916393569,0.056586015370427276,0.8605827202853987,0.04345226740079532
datamining,200,2048,Arrival Calendar,0.03238363338438182,0.01863606171981192,0.07709991209924108,0.008006203525375732
datamining,200,2048,Arrival Distribution,0.020661855401747687,0.016061528531676143,0.07687188646335634,0.011994557312291296
datamining,200,2048,Resource Calendars,0.006596577782779925,0.011129206665927769,0.043810483517764856,0.004972906757438201
datamining,200,2048,Resource Numbers,0.004646916134600895,0.008836664033173689,0.028229415711548998,0.007769620382692533
datamining,200,2048,Tasks and Resources Distributions,0.8505702747902281,0.06273510389953167,0.8623801617323323,0.04874759592977263
datamining,300,2048,Arrival Calendar,0.056554178728162326,0.03334350745787854,0.12395029332603114,0.024448176823663903
datamining,300,2048,Arrival Distribution,0.029573431256478662,0.019280678902685915,0.09209739321476668,0.01540318624510009
datamining,300,2048,Resource Calendars,0.0059569083039681375,0.014231617977915263,0.04374902803344112,0.0059672511719185955
datamining,300,2048,Resource Numbers,0.007958737010742062,0.009447694188427789,0.027213746859781958,0.006761763370965835
datamining,300,2048,Tasks and Resources Distributions,0.8109879320695135,0.05559541944642464,0.8248937952650934,0.04077658673669767
datamining,100,512,Arrival Calendar,0.03352680781122265,0.03290885724822688,0.07652720484374097,0.01909878940369646
datamining,100,512,Arrival Distribution,0.032811602910767186,0.03150579876338505,0.07376921967353034,0.02057690918937552
datamining,100,512,Resource Calendars,-0.004964875559153675,0.021749378251983392,0.04260911002610704,0.00939893286906195
datamining,100,512,Resource Numbers,0.003620774950971605,0.02071747880644718,0.0313611037768926,0.01638416961732087
datamining,100,512,Tasks and Resources Distributions,0.8446792424977988,0.11068503764153474,0.8664524661201113,0.0832996680659169
datamining,200,512,Arrival Calendar,0.036208995329146794,0.03459949033269089,0.08772666269369189,0.021727104349850493
datamining,200,512,Arrival Distribution,0.028535607230937482,0.041111210763516974,0.07335923916571371,0.024030393460641803
datamining,200,512,Resource Calendars,0.011139421056717369,0.02139896890066316,0.03965770764904756,0.008405008134758063
datamining,200,512,Resource Numbers,0.001544850204902062,0.021514789753256377,0.029056829412267622,0.01401842424597172
datamining,200,512,Tasks and Resources Distributions,0.8478731367834024,0.11184225824433564,0.8692712449818282,0.08790329034884653
datamining,300,512,Arrival Calendar,0.03050167224349398,0.04912648263545875,0.10891482138461173,0.03417108055032475
datamining,300,512,Arrival Distribution,0.015499827399326007,0.036681398619857565,0.07703876314617689,0.018470289933964934
datamining,300,512,Resource Calendars,0.005373545055964741,0.0203706575409143,0.03626144187383462,0.009519727515516687
datamining,300,512,Resource Numbers,0.007265237832620166,0.022821365764882116,0.03554633545590308,0.020626240252627808
datamining,300,512,Tasks and Resources Distributions,0.8122094832729031,0.10180023953487889,0.8128961554831418,0.08304661862013638
