dataset,seed,n_samples,group,S1,S1_conf,ST,ST_conf
datamining,100,1024,Arrival Calendar,0.06646633000858675,0.023960652836832155,0.10191780607009758,0.015166023580189899
datamining,100,1024,Arrival Distribution,-0.0007675404176739159,0.011832830190722109,0.02837474538097745,0.005919453101050388
datamining,100,1024,Resource Calendars,0.8935312635201043,0.13466727930303585,0.8995721522898916,0.07093340523554635
datamining,100,1024,Resource Numbers,-0.0008502857534977536,0.005399159268706802,0.004997792024920082,0.000862884877602272
datamining,100,1024,Tasks and Resources Distributions,-0.0004561954131063068,0.002460286996265689,0.0008088036309338778,0.0001275549601357751
datamining,200,1024,Arrival Calendar,0.07369418936762387,0.022494704979867067,0.0960843497396178,0.013815226612295105
datamining,200,1024,Arrival Distribution,0.007969045876413472,0.01288765992866144,0.018404702742353972,0.0032180465900993565
datamining,200,1024,Resource Calendars,0.9028833821215637,0.10635321648461281,0.9310548425990642,0.07355790266361072
datamining,200,1024,Resource Numbers,0.00140136831865698,0.005272762887047093,0.0038900923231736497,0.0006563391181569795
datamining,200,1024,Tasks and Resources Distributions,-0.0003823595727751552,0.002239511612945221,0.0007188425143388811,8.758481057688236e-05
datamining,300,1024,Arrival Calendar,0.06849355481176095,0.030065158006146887,0.11040400749764669,0.017461580344933225
datamining,300,1024,Arrival Distribution,0.0009402775937692773,0.015761443487182517,0.03281186525531316,0.006233669329135482
datamining,300,1024,Resource Calendars,0.8723119333894034,0.10110191638246778,0.9049053236920266,0.06250461921634215
datamining,300,1024,Resource Numbers,-0.0057603839383542224,0.00683627991383688,0.004542781728733053,0.0007659973016884221
datamining,300,1024,Tasks and Resources Distributions,-0.0008000876362380213,0.0025601410918791863,0.0008866600458580456,0.0001440926167723095
datamining,100,2048,Arrival Calendar,0.06578717485922526,0.018047692909845536,0.10089945460135069,0.010230907873900859
datamining,100,2048,Arrival Distribution,0.003080468706981667,0.01033687827053681,0.0295913873310751,0.004397789675468198
datamining,100,2048,Resource Calendars,0.8978218668500116,0.07595800951837364,0.91384314769183,0.05322565988521291
datamining,100,2048,Resource Numbers,0.0012784015141548907,0.004082995963267461,0.004671757121691631,0.0005615734165648604
datamining,100,2048,Tasks and Resources Distributions,0.0008215681340289247,0.002026040578098681,0.0009353608525111836,0.00010052449087739304
datamining,200,2048,Arrival Calendar,0.06653308582480753,0.016930721419876275,0.09649995945761063,0.010342129210490705
datamining,200,2048,Arrival Distribution,0.001552731716054335,0.008598988132834507,0.02004616864091276,0.00245531948847464
datamining,200,2048,Resource Calendars,0.8953959043032103,0.0723895174839471,0.907920006747733,0.04126607630308358
datamining,200,2048,Resource Numbers,-0.0007761299219130708,0.00351542851845368,0.0036928084766552306,0.00040190051739027115
datamining,200,2048,Tasks and Resources Distributions,0.0004071231650644609,0.0014571973957106447,0.0007902312739922863,0.00010060718360923628
datamining,300,2048,Arrival Calendar,0.06229047380262156,0.02053468454463043,0.10551519252651409,0.01266485192857692
datamining,300,2048,Arrival Distribution,0.006887260554303714,0.011453337663566656,0.03166818796228398,0.004323415084970411
datamining,300,2048,Resource Calendars,0.8948511590805157,0.06996490510256394,0.9184859035139519,0.05218985556562276
datamining,300,2048,Resource Numbers,-0.002156689873539136,0.0042583723235475116,0.004347900456382559,0.0005710365537817295
datamining,300,2048,Tasks and Resources Distributions,0.0012590294751285815,0.0015663771670089326,0.0007939415194131507,8.399728005798562e-05
datamining,100,512,Arrival Calendar,0.08950028329940665,0.04461659183109566,0.10162017096363335,0.02121969699270251
datamining,100,512,Arrival Distribution,0.008520892570419726,0.018849158165199484,0.026341281833253065,0.008303222828383722
datamining,100,512,Resource Calendars,0.9070549419980587,0.17493822509947393,0.912879988135462,0.09924306703016779
datamining,100,512,Resource Numbers,0.00440032627469623,0.007934732485718996,0.004842410361610182,0.0011275687066799414
datamining,100,512,Tasks and Resources Distributions,-3.833688512838349e-05,0.0038064961141353205,0.0010448377429982825,0.00025109865357238545
datamining,200,512,Arrival Calendar,0.07532218999434251,0.03821321689258382,0.09196649708169714,0.02066570383590133
datamining,200,512,Arrival Distribution,0.002011243155513411,0.01792911045809672,0.019846497495665336,0.004816889435299969
datamining,200,512,Resource Calendars,0.8809629348824541,0.1346742180678007,0.9046241802752841,0.09661156189654611
datamining,200,512,Resource Numbers,-0.0024297376872646193,0.007758985096154004,0.004013391461206242,0.0008062397321622915
datamining,200,512,Tasks and Resources Distributions,-0.0017345918012889557,0.0038737398572932617,0.0008012605480363377,0.00020461890918320498
datamining,300,512,Arrival Calendar,0.0632785866042602,0.038584684465021356,0.11540696452978487,0.02517261984725454
datamining,300,512,Arrival Distribution,-0.0015029702538561416,0.021348880431569947,0.0337133375617732,0.008936574953984047
datamining,300,512,Resource Calendars,0.8598419539716037,0.13171147715237663,0.8994625501581813,0.09754390333813659
datamining,300,512,Resource Numbers,-0.0006678037078338125,0.007366212559252684,0.004647188303857588,0.0013391819000876423
datamining,300,512,Tasks and Resources Distributions,-0.0002519410624529591,0.0029196143540528687,0.0008574765618147818,0.00019966120500784123
