dataset,seed,n_samples,group,S1,S1_conf,ST,ST_conf
production,100,1024,Arrival Calendar,-0.0028469215644665205,0.017087554790785258,0.39264246323103236,0.8726555218096658
production,100,1024,Arrival Distribution,0.00019712481416868824,0.026316117991744454,0.6269635356160898,1.0860202565979662
production,100,1024,Resource Calendars,0.18763816193613372,0.28748553399759,1.725430703353514,2.7027067444124615
production,100,1024,Resource Numbers,-0.0077298614976830295,0.05513001524917107,2.50476396295709,5.010504396097126
production,100,1024,Tasks and Resources Distributions,0.0005415883393353121,0.005173549221891215,0.06180577006922242,0.08266298089201451
production,200,1024,Arrival Calendar,0.0004091804271397455,0.021246081990613137,0.2531155974312979,0.9154052128690351
production,200,1024,Arrival Distribution,-0.003889697183827673,0.027589103260894057,0.732662120731118,2.0387172004645135
production,200,1024,Resource Calendars,0.1943510973499701,0.3917136889705822,2.7710703350357995,18.091537535911204
production,200,1024,Resource Numbers,0.02256850222546938,0.10050488232941451,0.6493688947822728,2.491120565448976
production,200,1024,Tasks and Resources Distributions,0.00044111129349905774,0.006735889466951358,0.0542295122826993,0.15255849889142073
production,300,1024,Arrival Calendar,-0.0006445968826356708,0.006661155791795686,0.26189676344830115,0.501507937917986
production,300,1024,Arrival Distribution,0.02196402919339833,0.028999633989034587,0.16219169052131777,0.2511280382640175
production,300,1024,Resource Calendars,0.08736792138294597,0.058784460807174435,0.393124001995541,0.6700498741313333
production,300,1024,Resource Numbers,0.06868842632313471,0.14261843737854057,1.0142752190528264,2.411380280628278
production,300,1024,Tasks and Resources Distributions,0.0022363301464819064,0.004889402104406195,0.11915321977418464,0.20342656013611887
production,100,2048,Arrival Calendar,-0.004105997201085327,0.011701815165301858,0.3074329463286353,0.3396600100377
production,100,2048,Arrival Distribution,0.021457835581078256,0.04873286374025056,2.579656869038369,4.674478002226933
production,100,2048,Resource Calendars,0.2139360115883343,0.16981492420770616,1.5484359316352456,1.2104159528042193
production,100,2048,Resource Numbers,-0.021822919993068988,0.04161605704422859,3.1897997163149645,3.6584802495821576
production,100,2048,Tasks and Resources Distributions,-0.010534760746130996,0.022066375039243913,0.8215730614350837,1.5595385162284043
production,200,2048,Arrival Calendar,-0.0004250233190978756,0.006862329903191258,0.33474630170570285,0.5302840677202547
production,200,2048,Arrival Distribution,0.0009724820208719774,0.00793438635694167,0.5296321369106372,0.7952562727995085
production,200,2048,Resource Calendars,0.08658764687894274,0.09425709588575594,0.5390762302539063,0.7320661053094237
production,200,2048,Resource Numbers,0.015589850127912828,0.03454574414739619,0.6002326595784535,0.9369071634201572
production,200,2048,Tasks and Resources Distributions,-0.0016447313264945356,0.009481120682009425,0.3801119162799958,1.1067926487914561
production,300,2048,Arrival Calendar,0.0002590245569296475,0.005968207950205074,0.24731922282405286,0.32933513571871176
production,300,2048,Arrival Distribution,0.005849212797346952,0.014633455484047752,0.8734100333048315,1.8734291083822634
production,300,2048,Resource Calendars,0.1044110118498827,0.08059041874630898,0.3812370548340427,0.42984198949752717
production,300,2048,Resource Numbers,0.056740659928353795,0.08151558564228654,1.157662348670902,2.2185844503084144
production,300,2048,Tasks and Resources Distributions,0.00223568623929056,0.004718204365948029,0.14246322388360308,0.18668960784241234
production,100,512,Arrival Calendar,-0.0031268942740390717,0.07253595750879287,0.28761759214538607,2.9016308422390957
production,100,512,Arrival Distribution,0.004015083666571346,0.045972789545854174,0.28373960101408446,1.4448239395206084
production,100,512,Resource Calendars,0.14843452630719522,0.9373576159230127,1.1868397165267992,9.980195128412372
production,100,512,Resource Numbers,-0.013127077079802324,0.15123800876280968,1.4829393806026396,12.902444865112583
production,100,512,Tasks and Resources Distributions,-0.00047922367814798924,0.014106339610903988,0.05223619124410917,0.20225452583556272
production,200,512,Arrival Calendar,-0.015352819748875968,0.08741001363010825,1.7640024846033306,3.3397551305150452
production,200,512,Arrival Distribution,0.022095059088470877,0.04836459973293045,1.3169671134958718,2.071255607232735
production,200,512,Resource Calendars,0.48464614506472,0.8040617855844994,14.411525701431467,38.25957605372417
production,200,512,Resource Numbers,0.0034914267427540897,0.04237194217593308,4.149924532333549,12.958813957139201
production,200,512,Tasks and Resources Distributions,-0.005768171386878409,0.016145771125631966,0.3363804274155001,0.3593496475317291
production,300,512,Arrival Calendar,-0.000557341279090855,0.026430243847586254,0.04200365532377767,0.48541930753005924
production,300,512,Arrival Distribution,0.021567664685284725,0.04136591968519678,0.03488987671984629,0.2786102796473514
production,300,512,Resource Calendars,0.08144873833455459,0.3734351370988237,0.1977641558404706,2.1919409077048013
production,300,512,Resource Numbers,0.028384280953275866,0.625529072805423,1.0691696024437847,22.23131148123474
production,300,512,Tasks and Resources Distributions,0.0001875071938693026,0.00658198974969906,0.027328238504752394,0.2114635329980461
