dataset,gw,n_samples,seed_a,seed_b,agreement,n_seeds_available
2012,with,512,100,200,0.4,
2012,with,512,100,300,0.5333333333333333,
2012,with,512,200,300,0.6,
2012,with,512,MEAN,,0.5111111111111111,3.0
2012,with,1024,100,200,0.6666666666666666,
2012,with,1024,100,300,0.6666666666666666,
2012,with,1024,200,300,0.6,
2012,with,1024,MEAN,,0.6444444444444444,3.0
2012,with,2048,100,200,0.6666666666666666,
2012,with,2048,100,300,0.5333333333333333,
2012,with,2048,200,300,0.8666666666666667,
2012,with,2048,MEAN,,0.6888888888888888,3.0
2012,without,512,100,200,0.7,
2012,without,512,100,300,0.6,
2012,without,512,200,300,0.5,
2012,without,512,MEAN,,0.6,3.0
2012,without,1024,100,200,0.9,
2012,without,1024,100,300,0.7,
2012,without,1024,200,300,0.6,
2012,without,1024,MEAN,,0.7333333333333334,3.0
2012,without,2048,100,200,1.0,
2012,without,2048,100,300,1.0,
2012,without,2048,200,300,1.0,
2012,without,2048,MEAN,,1.0,3.0
2013,with,512,100,200,0.9333333333333333,
2013,with,512,100,300,0.8666666666666667,
2013,with,512,200,300,0.9333333333333333,
2013,with,512,MEAN,,0.9111111111111111,3.0
2013,with,1024,100,200,0.9333333333333333,
2013,with,1024,100,300,0.8666666666666667,
2013,with,1024,200,300,0.9333333333333333,
2013,with,1024,MEAN,,0.9111111111111111,3.0
2013,with,2048,100,200,1.0,
2013,with,2048,100,300,1.0,
2013,with,2048,200,300,1.0,
2013,with,2048,MEAN,,1.0,3.0
2013,without,512,100,200,1.0,
2013,without,512,100,300,1.0,
2013,without,512,200,300,1.0,
2013,without,512,MEAN,,1.0,3.0
2013,without,1024,100,200,1.0,
2013,without,1024,100,300,1.0,
2013,without,1024,200,300,1.0,
2013,without,1024,MEAN,,1.0,3.0
2013,without,2048,100,200,1.0,
2013,without,2048,100,300,1.0,
2013,without,2048,200,300,1.0,
2013,without,2048,MEAN,,1.0,3.0
2017,with,512,100,200,1.0,
2017,with,512,100,300,0.9333333333333333,
2017,with,512,200,300,0.9333333333333333,
2017,with,512,MEAN,,0.9555555555555556,3.0
2017,with,1024,100,200,1.0,
2017,with,1024,100,300,1.0,
2017,with,1024,200,300,1.0,
2017,with,1024,MEAN,,1.0,3.0
2017,with,2048,100,200,1.0,
2017,with,2048,100,300,0.9333333333333333,
2017,with,2048,200,300,0.9333333333333333,
2017,with,2048,MEAN,,0.9555555555555556,3.0
2017,without,512,100,200,1.0,
2017,without,512,100,300,1.0,
2017,without,512,200,300,1.0,
2017,without,512,MEAN,,1.0,3.0
2017,without,1024,100,200,1.0,
2017,without,1024,100,300,1.0,
2017,without,1024,200,300,1.0,
2017,without,1024,MEAN,,1.0,3.0
2017,without,2048,100,200,1.0,
2017,without,2048,100,300,1.0,
2017,without,2048,200,300,1.0,
2017,without,2048,MEAN,,1.0,3.0
datamining,with,512,100,200,0.9333333333333333,
datamining,with,512,100,300,0.9333333333333333,
datamining,with,512,200,300,1.0,
datamining,with,512,MEAN,,0.9555555555555556,3.0
datamining,with,1024,100,200,0.9333333333333333,
datamining,with,1024,100,300,0.9333333333333333,
datamining,with,1024,200,300,1.0,
datamining,with,1024,MEAN,,0.9555555555555556,3.0
datamining,with,2048,100,200,1.0,
datamining,with,2048,100,300,0.9333333333333333,
datamining,with,2048,200,300,0.9333333333333333,
datamining,with,2048,MEAN,,0.9555555555555556,3.0
datamining,without,512,100,200,1.0,
datamining,without,512,100,300,1.0,
datamining,without,512,200,300,1.0,
datamining,without,512,MEAN,,1.0,3.0
datamining,without,1024,100,200,1.0,
datamining,without,1024,100,300,1.0,
datamining,without,1024,200,300,1.0,
datamining,without,1024,MEAN,,1.0,3.0
datamining,without,2048,100,200,1.0,
datamining,without,2048,100,300,1.0,
datamining,without,2048,200,300,1.0,
datamining,without,2048,MEAN,,1.0,3.0
production,with,512,100,200,0.9333333333333333,
production,with,512,100,300,0.6666666666666666,
production,with,512,200,300,0.7333333333333333,
production,with,512,MEAN,,0.7777777777777778,3.0
production,with,1024,100,200,0.8666666666666667,
production,with,1024,100,300,0.8,
production,with,1024,200,300,0.8,
production,with,1024,MEAN,,0.8222222222222223,3.0
production,with,2048,100,200,0.9333333333333333,
production,with,2048,100,300,0.8666666666666667,
production,with,2048,200,300,0.9333333333333333,
production,with,2048,MEAN,,0.9111111111111111,3.0
production,without,512,100,200,0.9,
production,without,512,100,300,1.0,
production,without,512,200,300,0.9,
production,without,512,MEAN,,0.9333333333333332,3.0
production,without,1024,100,200,0.8,
production,without,1024,100,300,0.9,
production,without,1024,200,300,0.7,
production,without,1024,MEAN,,0.8000000000000002,3.0
production,without,2048,100,200,0.9,
production,without,2048,100,300,0.9,
production,without,2048,200,300,0.8,
production,without,2048,MEAN,,0.8666666666666667,3.0
