dataset,gw,n_groups,n_seeds,sizes,smallest_stable_N
2012,with,6,3,"[512, 1024, 2048]",not reached
2012,without,5,3,"[512, 1024, 2048]",not reached
2013,with,6,3,"[512, 1024, 2048]",1024
2013,without,5,3,"[512, 1024, 2048]",not reached
2017,with,6,3,"[512, 1024, 2048]",not reached
2017,without,5,3,"[512, 1024, 2048]",not reached
datamining,with,6,3,"[512, 1024, 2048]",not reached
datamining,without,5,3,"[512, 1024, 2048]",2048
production,with,6,3,"[512, 1024, 2048]",not reached
production,without,5,3,"[512, 1024, 2048]",not reached
