dataset,seed,n_samples,group,ST,ST_conf
2017,100,1024,Arrival Calendar,0.17835540484199577,0.03844229043344812
2017,100,1024,Arrival Distribution,0.21878009771657125,0.03522611431858065
2017,100,1024,Resource Calendars,0.7980728860205605,0.08348526648817557
2017,100,1024,Resource Numbers,0.0763135823984708,0.052318550167324854
2017,100,1024,Tasks and Resources Distributions,0.01070916271187321,0.001575542162471814
2017,100,2048,Arrival Calendar,0.17709013826401654,0.02730739569185014
2017,100,2048,Arrival Distribution,0.2138482534707778,0.02712338092884702
2017,100,2048,Resource Calendars,0.7885706757473695,0.05715455669970398
2017,100,2048,Resource Numbers,0.09328403693220137,0.058698242611588985
2017,100,2048,Tasks and Resources Distributions,0.01287533378241433,0.002629683772025974
2017,100,512,Arrival Calendar,0.18615261660682203,0.06404118685917543
2017,100,512,Arrival Distribution,0.2175824968161431,0.05010959122423399
2017,100,512,Resource Calendars,0.8269702741350128,0.12689229297925658
2017,100,512,Resource Numbers,0.07943935904523453,0.07047520253496943
2017,100,512,Tasks and Resources Distributions,0.011941178214451759,0.0029188977739098283
2017,200,1024,Arrival Calendar,0.11209637591751374,0.024963607067196723
2017,200,1024,Arrival Distribution,0.18230606014663936,0.05300887062413426
2017,200,1024,Resource Calendars,0.8429275050381552,0.09873847593157106
2017,200,1024,Resource Numbers,0.03861099347729955,0.024355583796900056
2017,200,1024,Tasks and Resources Distributions,0.007711196965336083,0.0023160674044820436
2017,200,2048,Arrival Calendar,0.11350439139057122,0.017012456695837314
2017,200,2048,Arrival Distribution,0.167702679212125,0.03143989290247373
2017,200,2048,Resource Calendars,0.858611568503822,0.0643319599145015
2017,200,2048,Resource Numbers,0.0342819547910856,0.011713704510162766
2017,200,2048,Tasks and Resources Distributions,0.0076893676135276826,0.0013926906115219295
2017,200,512,Arrival Calendar,0.11883293314368393,0.039032305334667894
2017,200,512,Arrival Distribution,0.1997335903223585,0.09513099379106135
2017,200,512,Resource Calendars,0.8625616162858174,0.14007700985888202
2017,200,512,Resource Numbers,0.04896241970858852,0.049097503288134905
2017,200,512,Tasks and Resources Distributions,0.008210728542497017,0.003499065753051386
2017,300,1024,Arrival Calendar,0.16267351232918917,0.03772022520213133
2017,300,1024,Arrival Distribution,0.17298230563148415,0.03212735582240133
2017,300,1024,Resource Calendars,0.8202886159586574,0.07585585770744338
2017,300,1024,Resource Numbers,0.09111529234785627,0.10523151634458146
2017,300,1024,Tasks and Resources Distributions,0.014183879896684905,0.00665278558394563
2017,300,2048,Arrival Calendar,0.16552696867105923,0.02704952554571053
2017,300,2048,Arrival Distribution,0.1831593198438241,0.031432062185674674
2017,300,2048,Resource Calendars,0.8036455613072709,0.05575973681400988
2017,300,2048,Resource Numbers,0.06876282917476029,0.061400773382304624
2017,300,2048,Tasks and Resources Distributions,0.010580453621270173,0.0023434504838107536
2017,300,512,Arrival Calendar,0.17780625510906461,0.05790983173750307
2017,300,512,Arrival Distribution,0.18712762707542493,0.058941299774581686
2017,300,512,Resource Calendars,0.7964704422300048,0.09233276317976946
2017,300,512,Resource Numbers,0.15698040726215762,0.2009251641661257
2017,300,512,Tasks and Resources Distributions,0.013371780438887888,0.010329575085445589
