dataset,seed,n_samples,group,S1,S1_conf
2017,100,512,Arrival Calendar,0.0687754,0.058701423
2017,100,512,Arrival Distribution,0.126219717,0.063804868
2017,100,512,Resource Calendars,0.667416382,0.155150167
2017,100,512,Resource Numbers,0.027672089,0.028984816
2017,100,512,Tasks and Resources Distributions,0.012061064,0.012719165
2017,200,512,Arrival Calendar,0.030962028,0.046240678
2017,200,512,Arrival Distribution,0.057558626,0.046117454
2017,200,512,Resource Calendars,0.807109344,0.201475171
2017,200,512,Resource Numbers,-0.006706096,0.02736598
2017,200,512,Tasks and Resources Distributions,-0.001100015,0.010346567
2017,300,512,Arrival Calendar,0.0774911,0.04569839
2017,300,512,Arrival Distribution,0.068734929,0.046557053
2017,300,512,Resource Calendars,0.697738693,0.118884355
2017,300,512,Resource Numbers,0.039283534,0.055686301
2017,300,512,Tasks and Resources Distributions,0.009888178,0.011413254
2017,100,1024,Arrival Calendar,0.072222968,0.036951961
2017,100,1024,Arrival Distribution,0.117906531,0.037205427
2017,100,1024,Resource Calendars,0.660402603,0.09673894
2017,100,1024,Resource Numbers,0.011080585,0.021780334
2017,100,1024,Tasks and Resources Distributions,0.009475635,0.009730264
2017,200,1024,Arrival Calendar,0.036681701,0.02769481
2017,200,1024,Arrival Distribution,0.066981554,0.033678697
2017,200,1024,Resource Calendars,0.738761696,0.13131079
2017,200,1024,Resource Numbers,-0.00608684,0.014790327
2017,200,1024,Tasks and Resources Distributions,-0.002146434,0.007412035
2017,300,1024,Arrival Calendar,0.062073685,0.033351434
2017,300,1024,Arrival Distribution,0.078714367,0.032192518
2017,300,1024,Resource Calendars,0.729219643,0.095526631
2017,300,1024,Resource Numbers,0.024478724,0.032021073
2017,300,1024,Tasks and Resources Distributions,0.009369084,0.00996476
2017,100,2048,Arrival Calendar,0.062965383,0.022811308
2017,100,2048,Arrival Distribution,0.101923216,0.028926993
2017,100,2048,Resource Calendars,0.672031105,0.051999276
2017,100,2048,Resource Numbers,0.006236487,0.01543284
2017,100,2048,Tasks and Resources Distributions,0.006055283,0.006739042
2017,200,2048,Arrival Calendar,0.034458739,0.020429605
2017,200,2048,Arrival Distribution,0.060542198,0.020795183
2017,200,2048,Resource Calendars,0.739875717,0.103001822
2017,200,2048,Resource Numbers,-0.002350852,0.009730484
2017,200,2048,Tasks and Resources Distributions,0.003905361,0.004842792
2017,300,2048,Arrival Calendar,0.060475561,0.021346676
2017,300,2048,Arrival Distribution,0.087456612,0.023932011
2017,300,2048,Resource Calendars,0.708816042,0.075081453
2017,300,2048,Resource Numbers,0.017524829,0.018979587
2017,300,2048,Tasks and Resources Distributions,0.010445364,0.006001802
