dataset,seed,n_samples,group,ST,ST_conf
2017,100,1024,Arrival Calendar,0.07883849732009787,0.011139350429391522
2017,100,1024,Arrival Distribution,0.11084063993963696,0.014996814863283367
2017,100,1024,Resource Calendars,0.09748370731393587,0.012379804746333108
2017,100,1024,Resource Numbers,0.024828920577608618,0.003014495514839535
2017,100,1024,Tasks and Resources Distributions,0.7920165831358367,0.051868755794806896
2017,100,2048,Arrival Calendar,0.0787359690919637,0.006263971306138896
2017,100,2048,Arrival Distribution,0.11695892872667948,0.0131833551885839
2017,100,2048,Resource Calendars,0.1026450791497055,0.009519491138557986
2017,100,2048,Resource Numbers,0.024390318761287662,0.00281594265171351
2017,100,2048,Tasks and Resources Distributions,0.8083102674437198,0.044468752926691286
2017,100,512,Arrival Calendar,0.08266607536986117,0.01639330925004683
2017,100,512,Arrival Distribution,0.11331273443748495,0.020318420722775156
2017,100,512,Resource Calendars,0.09607743010647862,0.01567934816615271
2017,100,512,Resource Numbers,0.02459124082360537,0.004282070011427563
2017,100,512,Tasks and Resources Distributions,0.7933865574971358,0.09189204984460388
2017,200,1024,Arrival Calendar,0.08228380269196033,0.01066379895607142
2017,200,1024,Arrival Distribution,0.11267164929468015,0.018086171670519634
2017,200,1024,Resource Calendars,0.11063059455520703,0.01297778022468589
2017,200,1024,Resource Numbers,0.026088756494683365,0.0031742796526420996
2017,200,1024,Tasks and Resources Distributions,0.8084773159428709,0.0633997252319701
2017,200,2048,Arrival Calendar,0.08566226530987342,0.007616205994845
2017,200,2048,Arrival Distribution,0.11425710176466203,0.012823495330245524
2017,200,2048,Resource Calendars,0.10357228190959454,0.008480085208493552
2017,200,2048,Resource Numbers,0.025918275647836,0.0026044081185591715
2017,200,2048,Tasks and Resources Distributions,0.8102174449257554,0.04660602336173571
2017,200,512,Arrival Calendar,0.07954243267612587,0.01397830120086789
2017,200,512,Arrival Distribution,0.1111251466701516,0.02340346846665259
2017,200,512,Resource Calendars,0.11767289513837317,0.020636823224566368
2017,200,512,Resource Numbers,0.026320921676632688,0.005056384902974685
2017,200,512,Tasks and Resources Distributions,0.8100197997121051,0.08984854697402248
2017,300,1024,Arrival Calendar,0.08815148241260103,0.0125358537312191
2017,300,1024,Arrival Distribution,0.11300222254978158,0.017614244525371445
2017,300,1024,Resource Calendars,0.10866998527842195,0.013414172395095209
2017,300,1024,Resource Numbers,0.024354245633948404,0.002977843551581191
2017,300,1024,Tasks and Resources Distributions,0.7989732073523642,0.06489961203523974
2017,300,2048,Arrival Calendar,0.08927698421747893,0.009919913206419032
2017,300,2048,Arrival Distribution,0.11202054975279724,0.012648136913107313
2017,300,2048,Resource Calendars,0.10804445722982617,0.011336211199218836
2017,300,2048,Resource Numbers,0.024373953901291427,0.002567349992177574
2017,300,2048,Tasks and Resources Distributions,0.8039411875172218,0.04116834932936715
2017,300,512,Arrival Calendar,0.08642696924760958,0.01580495711752285
2017,300,512,Arrival Distribution,0.114438589665501,0.022822021423814946
2017,300,512,Resource Calendars,0.10783776900711806,0.017551623818424927
2017,300,512,Resource Numbers,0.025916084180778447,0.005246464880880908
2017,300,512,Tasks and Resources Distributions,0.7940972857751665,0.0807737509103042
