dataset,seed,n_samples,group,S1,S1_conf,ST,ST_conf
production,100,1024,Arrival Calendar,0.002974696541512993,0.010675684539214407,0.016064620448863576,0.0018039302434709231
production,100,1024,Arrival Distribution,0.004905181639417847,0.010100546426853995,0.0159407777227719,0.0018465628783020597
production,100,1024,Resource Calendars,0.1384484698466761,0.03579450721487666,0.15665207056953745,0.01817780717238483
production,100,1024,Resource Numbers,0.010098940977522607,0.009065077854454573,0.017291892901953203,0.0021021739149278077
production,100,1024,Tasks and Resources Distributions,0.8304021381991274,0.08060135785165104,0.8558360170604109,0.0653615790312315
production,200,1024,Arrival Calendar,0.0022128706905986907,0.010776586971261059,0.01554177018272372,0.0018474852705865985
production,200,1024,Arrival Distribution,0.0006786925877014486,0.00989435615823916,0.01537350321880932,0.001466078578047678
production,200,1024,Resource Calendars,0.1160414097156192,0.02998126490796369,0.13504183971851927,0.019210116182117307
production,200,1024,Resource Numbers,0.003972289475768907,0.012512897386882015,0.020029804876189394,0.0021860206572369605
production,200,1024,Tasks and Resources Distributions,0.8518057426778646,0.08260441818209203,0.8722639307702301,0.05992571862621427
production,300,1024,Arrival Calendar,-0.0044630500190628196,0.009926255572231245,0.01465444689683768,0.001477626648382367
production,300,1024,Arrival Distribution,-0.002484487800773102,0.011123413152149226,0.015580509044075408,0.0014524709828739083
production,300,1024,Resource Calendars,0.14480936471761588,0.04139671022550498,0.17523071011901908,0.01491996151299569
production,300,1024,Resource Numbers,-0.004678969561292028,0.012493098369194877,0.019247743052544588,0.0021383862978573307
production,300,1024,Tasks and Resources Distributions,0.8089686208863489,0.06735256679643184,0.8366075718449026,0.06597608041742478
production,100,2048,Arrival Calendar,-0.0014066392184641818,0.008384360555731475,0.015210837275691972,0.0011569033990312882
production,100,2048,Arrival Distribution,-0.005336148680872709,0.00789750030446722,0.015557496353161566,0.001208162499049577
production,100,2048,Resource Calendars,0.1379615414740336,0.0223578436773134,0.15815823839018026,0.013298228089984376
production,100,2048,Resource Numbers,0.0002741379784929438,0.00925869762077812,0.017250227234758775,0.0013259656051467247
production,100,2048,Tasks and Resources Distributions,0.8328102375968794,0.052492060640714114,0.8574467836191147,0.040847120639882745
production,200,2048,Arrival Calendar,0.001000599502702883,0.008966299759208282,0.016459505068600944,0.0012115721913797518
production,200,2048,Arrival Distribution,0.0036175621807988862,0.007534646786895285,0.016686664665719247,0.0013417358498239663
production,200,2048,Resource Calendars,0.11787930503408427,0.023865656251960365,0.13558418979865258,0.01035623935196259
production,200,2048,Resource Numbers,-0.0008602510697938495,0.008767422975297454,0.020370800247749066,0.0016117828923241503
production,200,2048,Tasks and Resources Distributions,0.8617587129934343,0.05624393439439599,0.8771144150766446,0.04259580501608174
production,300,2048,Arrival Calendar,0.002487338141454502,0.007255108857816622,0.014946520433133468,0.0010876252953744478
production,300,2048,Arrival Distribution,-0.0022360938494482437,0.007055030930307535,0.015342112817353126,0.0012088288500341237
production,300,2048,Resource Calendars,0.15683371148522326,0.031728996065551636,0.17625270584044186,0.0115301272105039
production,300,2048,Resource Numbers,0.0017847805550932606,0.007364958416292385,0.01616115187098865,0.0012989762945687143
production,300,2048,Tasks and Resources Distributions,0.8223619638053036,0.0486863836208691,0.841878460380042,0.04323050039063429
production,100,512,Arrival Calendar,-0.00016736551221438941,0.015039931467347247,0.016618263376625354,0.0027492334607653883
production,100,512,Arrival Distribution,0.0014866828326025037,0.015621758914488642,0.015380322245474167,0.002276157764936189
production,100,512,Resource Calendars,0.12790046598504384,0.0518322412420686,0.1544454688519007,0.027974123807271784
production,100,512,Resource Numbers,-0.0021406071465429792,0.015596474803835636,0.017510342160800493,0.002838855872187093
production,100,512,Tasks and Resources Distributions,0.8370654511546262,0.1027100266052602,0.8542063278876185,0.08703823432031924
production,200,512,Arrival Calendar,0.008886230221623988,0.013210154191197433,0.017547742723767794,0.0028263233942220603
production,200,512,Arrival Distribution,0.0043643434931833714,0.014954343426092897,0.01763679566871952,0.0027951157551602862
production,200,512,Resource Calendars,0.12023850203150953,0.040034354583744616,0.13671988490213427,0.02452539120570442
production,200,512,Resource Numbers,0.005021296624668646,0.016075503555614195,0.020703957961196888,0.003786221229039395
production,200,512,Tasks and Resources Distributions,0.8523222536171134,0.10638555439384588,0.8867362387348398,0.0924724129887848
production,300,512,Arrival Calendar,-0.012520810419824719,0.015515430393960361,0.014307666782561745,0.0021086607202280886
production,300,512,Arrival Distribution,0.006228710122485301,0.01630846488103952,0.015254759066786907,0.002642726047068184
production,300,512,Resource Calendars,0.1390043679935203,0.05339441819933177,0.17529320621369696,0.02616670268607113
production,300,512,Resource Numbers,0.0077300588690601395,0.017180277095595074,0.01789629902571476,0.002418532028288484
production,300,512,Tasks and Resources Distributions,0.8198319781494162,0.09315744671103296,0.8482182740559866,0.08127459809199394
