dataset,seed,n_samples,group,ST,ST_conf
2017,100,1024,Arrival Calendar,0.18553460581385903,0.039547405445040075
2017,100,1024,Arrival Distribution,0.20400589542409225,0.03423519760233137
2017,100,1024,Resource Calendars,0.8218989763731391,0.08634277060420081
2017,100,1024,Resource Numbers,0.07403391137567883,0.05218005194842447
2017,100,1024,Tasks and Resources Distributions,0.002901574821319276,0.000636507823079748
2017,100,2048,Arrival Calendar,0.18456799015156383,0.02807332750668474
2017,100,2048,Arrival Distribution,0.19928349975132273,0.025864054929129444
2017,100,2048,Resource Calendars,0.8115415004700848,0.05926506888120598
2017,100,2048,Resource Numbers,0.09087997928789684,0.05846069843258852
2017,100,2048,Tasks and Resources Distributions,0.004901718516751686,0.0020608243893577836
2017,100,512,Arrival Calendar,0.19406860617559712,0.06619255812552743
2017,100,512,Arrival Distribution,0.20360713556193896,0.04901231303984169
2017,100,512,Resource Calendars,0.8531548958803143,0.13189543109292476
2017,100,512,Resource Numbers,0.07728998871585818,0.07030368999544377
2017,100,512,Tasks and Resources Distributions,0.0043965047322665485,0.0020866408829313225
2017,200,1024,Arrival Calendar,0.11576113852560406,0.025719970682239576
2017,200,1024,Arrival Distribution,0.17256907677446442,0.05177887042169405
2017,200,1024,Resource Calendars,0.8577221975629102,0.1009977623443276
2017,200,1024,Resource Numbers,0.03693591110257581,0.0239651932877378
2017,200,1024,Tasks and Resources Distributions,0.003174886281925223,0.0016899859365579312
2017,200,2048,Arrival Calendar,0.11761066697957472,0.017702574051764442
2017,200,2048,Arrival Distribution,0.15879938643952277,0.03074409895335037
2017,200,2048,Resource Calendars,0.8730251269075131,0.06492304483331526
2017,200,2048,Resource Numbers,0.032864407948423505,0.011546553698318378
2017,200,2048,Tasks and Resources Distributions,0.0032009785097351995,0.0010284053594105684
2017,200,512,Arrival Calendar,0.1225131817002233,0.04022751037272293
2017,200,512,Arrival Distribution,0.1895597136947935,0.09304310583137149
2017,200,512,Resource Calendars,0.8781372499458573,0.14325909578801693
2017,200,512,Resource Numbers,0.04706082660029635,0.048261774356276446
2017,200,512,Tasks and Resources Distributions,0.0036134381599149507,0.002864635775100286
2017,300,1024,Arrival Calendar,0.16902234402681734,0.03899208245773034
2017,300,1024,Arrival Distribution,0.16218829067818172,0.03139763841037754
2017,300,1024,Resource Calendars,0.8400613793279306,0.0777872609708952
2017,300,1024,Resource Numbers,0.0894674444199379,0.10541796419456073
2017,300,1024,Tasks and Resources Distributions,0.0073790297534576926,0.005997031825750444
2017,300,2048,Arrival Calendar,0.1721001286711678,0.027950175373303823
2017,300,2048,Arrival Distribution,0.17187490949911774,0.030469739537352797
2017,300,2048,Resource Calendars,0.8232047710491247,0.05667113674525114
2017,300,2048,Resource Numbers,0.06700433981900927,0.06142746598060829
2017,300,2048,Tasks and Resources Distributions,0.004094166565758218,0.0018241186096872731
2017,300,512,Arrival Calendar,0.18358664982308492,0.05932802490805017
2017,300,512,Arrival Distribution,0.17555645905465053,0.05772476302722045
2017,300,512,Resource Calendars,0.8166558820576395,0.09511124436920954
2017,300,512,Resource Numbers,0.15526972156280816,0.2013708579559012
2017,300,512,Tasks and Resources Distributions,0.006802825539017957,0.009615133790086142
