dataset,seed,n_samples,name,mu_star,mu_star_conf
2012,100,128,Arrival Calendar,69873.28609094386,56048.05439620066
2012,100,128,Arrival Distribution,115198.45793583375,55870.04519608723
2012,100,128,Resource Calendars,389230.37861268834,376319.43280645594
2012,100,128,Resource Numbers,84878.82239856487,39180.36899050571
2012,100,128,Tasks and Resources Distributions,91633.7229039134,47977.23732079082
2012,100,256,Arrival Calendar,67212.99313839625,31806.480585104557
2012,100,256,Arrival Distribution,254104.3606388992,131116.8267653194
2012,100,256,Resource Calendars,390669.252015472,274323.2843604451
2012,100,256,Resource Numbers,254334.1404985087,191957.01021696668
2012,100,256,Tasks and Resources Distributions,228872.87265813188,158920.21720510785
2012,100,512,Arrival Calendar,68142.5052323805,21309.779232865072
2012,100,512,Arrival Distribution,208841.7798811049,86758.3145158352
2012,100,512,Resource Calendars,307771.01983684726,157169.75645076743
2012,100,512,Resource Numbers,232902.26828976086,124765.33935523964
2012,100,512,Tasks and Resources Distributions,184657.7972264756,96975.32120222643
2012,100,64,Arrival Calendar,56024.74258494651,45297.086176475204
2012,100,64,Arrival Distribution,155442.196159372,99054.50844182124
2012,100,64,Resource Calendars,391714.49613280426,557851.9070535362
2012,100,64,Resource Numbers,120011.98432277197,83385.4818454693
2012,100,64,Tasks and Resources Distributions,143862.68952023363,102715.12977707936
2012,200,128,Arrival Calendar,52390.69357509124,18538.91481523013
2012,200,128,Arrival Distribution,167950.2093875133,58631.00693649167
2012,200,128,Resource Calendars,384257.78774683573,275567.4425444816
2012,200,128,Resource Numbers,415215.4258426206,517976.5108433426
2012,200,128,Tasks and Resources Distributions,266143.16518925544,301968.5817174351
2012,200,256,Arrival Calendar,39041.52555016272,8259.979863318766
2012,200,256,Arrival Distribution,176430.69800654665,56245.081124884564
2012,200,256,Resource Calendars,252727.8643708354,167487.81016965373
2012,200,256,Resource Numbers,355611.34565198864,257189.87882691232
2012,200,256,Tasks and Resources Distributions,152977.8958855293,165301.97960393748
2012,200,512,Arrival Calendar,62527.44268206229,19325.302878422877
2012,200,512,Arrival Distribution,220142.03606089478,78731.67007207152
2012,200,512,Resource Calendars,234951.7811989117,95473.63926532787
2012,200,512,Resource Numbers,248198.4497445009,133506.8393052002
2012,200,512,Tasks and Resources Distributions,223125.34279779324,131100.4317218693
2012,200,64,Arrival Calendar,47870.6999132037,16467.418730878315
2012,200,64,Arrival Distribution,108651.8338277564,47439.95867916786
2012,200,64,Resource Calendars,212493.405262119,173820.36093773862
2012,200,64,Resource Numbers,423965.89574518974,614888.5922397517
2012,200,64,Tasks and Resources Distributions,458943.5520084157,603412.4654590517
2012,300,128,Arrival Calendar,53625.30315622998,23275.058105693573
2012,300,128,Arrival Distribution,154070.5111056936,62620.029721902625
2012,300,128,Resource Calendars,154711.43666756505,47080.87983963283
2012,300,128,Resource Numbers,571679.9763921126,479783.5369710897
2012,300,128,Tasks and Resources Distributions,311330.71029481076,333582.8048380298
2012,300,256,Arrival Calendar,77464.27864457337,49162.99238610312
2012,300,256,Arrival Distribution,208724.3014698069,87515.3656787265
2012,300,256,Resource Calendars,159227.79114818745,55038.75379511446
2012,300,256,Resource Numbers,345623.12888619164,280283.1174462946
2012,300,256,Tasks and Resources Distributions,245000.3493981092,170472.5418619519
2012,300,512,Arrival Calendar,69198.73361908633,32577.53915393831
2012,300,512,Arrival Distribution,182989.52635314837,48671.84886843851
2012,300,512,Resource Calendars,167672.92224108364,42862.52936698708
2012,300,512,Resource Numbers,260939.68523926067,149036.10985643897
2012,300,512,Tasks and Resources Distributions,250459.81016516816,127172.50265325565
2012,300,64,Arrival Calendar,56132.257394106615,28202.6781716017
2012,300,64,Arrival Distribution,177812.41523598685,114516.80069347839
2012,300,64,Resource Calendars,158965.48203547677,64667.973720322756
2012,300,64,Resource Numbers,1022040.7211879089,1086956.9549887904
2012,300,64,Tasks and Resources Distributions,198886.89130963082,183564.74936082467
