dataset,seed,n_samples,group,S1,S1_conf
2012,100,64,Arrival Calendar,0.03495365490427547,0.07106116309356532
2012,100,64,Arrival Distribution,0.19625681903770786,0.15166321237258917
2012,100,64,Resource Calendars,0.5471116719185846,0.44655680561468347
2012,100,64,Resource Numbers,0.1710331580195467,0.2786148375309969
2012,100,64,Tasks and Resources Distributions,-0.004733995649543152,0.05822518608674425
2012,200,64,Arrival Calendar,0.059799026612997984,0.09344337677644986
2012,200,64,Arrival Distribution,0.18179003761460286,0.36006665987359526
2012,200,64,Resource Calendars,0.4851518973475744,0.27550799959608213
2012,200,64,Resource Numbers,-0.0967950444843267,0.1795542402514692
2012,200,64,Tasks and Resources Distributions,0.04635715389937007,0.03588730044279476
2012,300,64,Arrival Calendar,-0.03620154501765615,0.1257957749198128
2012,300,64,Arrival Distribution,-0.03985221489969001,0.26817599292776745
2012,300,64,Resource Calendars,0.4585406671918882,0.21355179516111772
2012,300,64,Resource Numbers,-0.047817808380573236,0.10125783687665696
2012,300,64,Tasks and Resources Distributions,0.040525333393732085,0.13770926084624918
