dataset,seed,n_samples,group,ST,ST_conf
2012,100,64,Arrival Calendar,0.09154315294281387,0.08509512900505074
2012,100,64,Arrival Distribution,0.46562882542041256,0.3655075988709034
2012,100,64,Resource Calendars,0.9852710129965263,0.6421023127524633
2012,100,64,Resource Numbers,0.38964148995108017,0.28797984341132143
2012,100,64,Tasks and Resources Distributions,0.0826433639154862,0.07752826044864072
2012,200,64,Arrival Calendar,0.1452922203588894,0.16690941322907146
2012,200,64,Arrival Distribution,0.5684087364384688,0.27869908247298286
2012,200,64,Resource Calendars,0.7570091315972615,0.493591696138812
2012,200,64,Resource Numbers,0.4506305283800102,0.2941545878412342
2012,200,64,Tasks and Resources Distributions,0.24576605666730517,0.27801251054006976
2012,300,64,Arrival Calendar,0.14193099317365973,0.18355229249782062
2012,300,64,Arrival Distribution,0.39381142504316297,0.22031262217733227
2012,300,64,Resource Calendars,0.6304526692995963,0.36337774558195995
2012,300,64,Resource Numbers,0.1322386099346424,0.11559296637306793
2012,300,64,Tasks and Resources Distributions,0.2833550620119161,0.25944507623047564
