dataset,seed,n_samples,name,mu_star,mu_star_conf
2017,100,128,Arrival Calendar,27793.04589957977,6071.746614065037
2017,100,128,Arrival Distribution,35433.94809253038,23397.06398378721
2017,100,128,Resource Calendars,99176.25668064467,40502.72626145831
2017,100,128,Resource Numbers,21528.88526952923,14060.283300861256
2017,100,128,Tasks and Resources Distributions,4680.214624983609,2223.457422690212
2017,100,256,Arrival Calendar,31580.459017181856,5532.048406901753
2017,100,256,Arrival Distribution,54502.008829753315,28441.49478254718
2017,100,256,Resource Calendars,95508.8292771885,30353.387976337028
2017,100,256,Resource Numbers,45317.57177369696,30028.914321330954
2017,100,256,Tasks and Resources Distributions,24361.083640881938,21316.54352808202
2017,100,512,Arrival Calendar,32326.323810523994,3607.715378199788
2017,100,512,Arrival Distribution,42232.21469734576,14043.478266577964
2017,100,512,Resource Calendars,86420.3594941242,21930.49221589955
2017,100,512,Resource Numbers,40041.15574526679,18073.376256964897
2017,100,512,Tasks and Resources Distributions,18947.918006009724,12955.287762689897
2017,100,64,Arrival Calendar,22062.897660046943,5358.040175546765
2017,100,64,Arrival Distribution,44045.73724028832,36072.98053157504
2017,100,64,Resource Calendars,95576.33782068589,71008.2425396826
2017,100,64,Resource Numbers,30778.585502001668,25957.8871880291
2017,100,64,Tasks and Resources Distributions,4492.102486360677,2429.9914113157593
2017,200,128,Arrival Calendar,48052.61838283596,10840.215781584498
2017,200,128,Arrival Distribution,45647.94049170997,16965.475699726918
2017,200,128,Resource Calendars,139773.31200436543,51102.93551651634
2017,200,128,Resource Numbers,67093.09853163519,89057.4864619679
2017,200,128,Tasks and Resources Distributions,39638.99762945162,44467.763389904045
2017,200,256,Arrival Calendar,42958.4297795675,6853.029942568925
2017,200,256,Arrival Distribution,50326.08972556529,19089.661201681985
2017,200,256,Resource Calendars,122569.1181439679,28979.8013384614
2017,200,256,Resource Numbers,51971.099450845315,42355.02587773359
2017,200,256,Tasks and Resources Distributions,22353.50161570299,25702.524137078988
2017,200,512,Arrival Calendar,42854.886470344994,5950.6698601572125
2017,200,512,Arrival Distribution,46445.0344795238,12777.071218076242
2017,200,512,Resource Calendars,120491.50730693038,17893.132516169862
2017,200,512,Resource Numbers,36105.529556229056,18503.592110192603
2017,200,512,Tasks and Resources Distributions,23030.98289292587,16377.743272445807
2017,200,64,Arrival Calendar,54262.242419275986,18058.977369513985
2017,200,64,Arrival Distribution,21938.916620060598,7482.36816984081
2017,200,64,Resource Calendars,99453.34027393805,30228.15536690751
2017,200,64,Resource Numbers,68968.27882035555,110434.29217963864
2017,200,64,Tasks and Resources Distributions,55452.711780209764,82761.13525559523
2017,300,128,Arrival Calendar,43271.84112140594,17167.03793061115
2017,300,128,Arrival Distribution,49822.81519500003,22856.770717746454
2017,300,128,Resource Calendars,83869.66547604189,19937.58537064429
2017,300,128,Resource Numbers,98222.29344977243,81610.20558726937
2017,300,128,Tasks and Resources Distributions,40092.73621143098,44793.36129425227
2017,300,256,Arrival Calendar,36340.50619912505,6988.2235147929705
2017,300,256,Arrival Distribution,45925.056010459026,12111.775373201664
2017,300,256,Resource Calendars,88150.3565469026,18943.59884297627
2017,300,256,Resource Numbers,64225.89887050075,41816.348299171645
2017,300,256,Tasks and Resources Distributions,32111.240598947054,26031.80025278869
2017,300,512,Arrival Calendar,35772.68575244497,4785.335085967159
2017,300,512,Arrival Distribution,49792.12268539574,12918.56807059113
2017,300,512,Resource Calendars,88323.15719964383,13210.079262162548
2017,300,512,Resource Numbers,44987.07784789317,23399.94910809914
2017,300,512,Tasks and Resources Distributions,28619.459827090024,18938.768993488255
2017,300,64,Arrival Calendar,50684.197947379565,19421.23239734941
2017,300,64,Arrival Distribution,54629.90568163207,19670.738308839515
2017,300,64,Resource Calendars,70435.24610863287,24265.133594342104
2017,300,64,Resource Numbers,152100.0770924751,164415.77814700812
2017,300,64,Tasks and Resources Distributions,15736.858276281386,13946.794888572738
