dataset,seed,n_samples,name,mu_star,mu_star_conf
datamining,100,128,Arrival Calendar,34899.22802474339,4331.6461430191885
datamining,100,128,Arrival Distribution,22171.252871580284,4044.799467588639
datamining,100,128,Resource Calendars,123503.63107778148,13604.038624573315
datamining,100,128,Resource Numbers,7534.270283059081,1503.6085425225847
datamining,100,128,Tasks and Resources Distributions,4666.074662225449,392.5014097173029
datamining,200,128,Arrival Calendar,44557.193993307876,6597.099054081228
datamining,200,128,Arrival Distribution,26633.917577955508,5031.667829421635
datamining,200,128,Resource Calendars,120346.30239879494,14892.59508586859
datamining,200,128,Resource Numbers,6347.764265690399,1132.7376452449362
datamining,200,128,Tasks and Resources Distributions,4640.08417864649,459.5596542329922
datamining,300,128,Arrival Calendar,43991.49840136543,5781.31418475907
datamining,300,128,Arrival Distribution,19944.54752454433,3260.836355359489
datamining,300,128,Resource Calendars,127201.81607442813,13845.745272194834
datamining,300,128,Resource Numbers,7678.135013916461,1361.6678799964905
datamining,300,128,Tasks and Resources Distributions,4402.776727386352,475.1043661421751
datamining,100,256,Arrival Calendar,35181.85277457558,3192.1588866640172
datamining,100,256,Arrival Distribution,22108.259242496737,3209.466259381704
datamining,100,256,Resource Calendars,129363.4052149786,10431.610287101332
datamining,100,256,Resource Numbers,7681.708359386413,954.664452073504
datamining,100,256,Tasks and Resources Distributions,4819.154109233605,302.11423753204787
datamining,200,256,Arrival Calendar,41681.29105499823,4229.038485742441
datamining,200,256,Arrival Distribution,24383.56161889181,3352.4977281534034
datamining,200,256,Resource Calendars,116410.19065021581,9637.873914693695
datamining,200,256,Resource Numbers,7006.601104272402,895.265089790345
datamining,200,256,Tasks and Resources Distributions,5320.7950751195485,368.6389544612472
datamining,300,256,Arrival Calendar,43656.82743294926,3986.7047753569495
datamining,300,256,Arrival Distribution,20326.700364729164,2131.7451549721495
datamining,300,256,Resource Calendars,121681.0107522023,10404.30512660124
datamining,300,256,Resource Numbers,7130.273136797235,923.7375101579021
datamining,300,256,Tasks and Resources Distributions,4644.72665627136,343.10226066186834
datamining,100,512,Arrival Calendar,37766.04287533422,2413.1401101796764
datamining,100,512,Arrival Distribution,23243.129432049467,2427.1556124151484
datamining,100,512,Resource Calendars,130640.09201855949,8503.169253695987
datamining,100,512,Resource Numbers,7490.554412640491,620.7272195963981
datamining,100,512,Tasks and Resources Distributions,5108.989876950119,228.10141114309963
datamining,200,512,Arrival Calendar,41905.25520722187,3210.107320404851
datamining,200,512,Arrival Distribution,24602.90341011475,2441.517350921491
datamining,200,512,Resource Calendars,115528.41245602441,7708.780697729202
datamining,200,512,Resource Numbers,6953.629224425621,564.1639922910766
datamining,200,512,Tasks and Resources Distributions,4841.256233095006,241.63287347269147
datamining,300,512,Arrival Calendar,41602.586462687155,2719.0396290886106
datamining,300,512,Arrival Distribution,22392.723987019846,1826.5103203543003
datamining,300,512,Resource Calendars,119949.16108168203,6205.545313645718
datamining,300,512,Resource Numbers,7112.6959376794575,631.5558054279304
datamining,300,512,Tasks and Resources Distributions,4592.709955269227,229.05641305899798
datamining,100,64,Arrival Calendar,35731.376746502116,5279.852011208628
datamining,100,64,Arrival Distribution,20934.313391453717,5526.9428987301435
datamining,100,64,Resource Calendars,126569.39381610452,23259.908653904928
datamining,100,64,Resource Numbers,7704.802971387132,1661.3938884067504
datamining,100,64,Tasks and Resources Distributions,4650.121394840928,562.084620798291
datamining,200,64,Arrival Calendar,44750.96489537964,9050.9979580925
datamining,200,64,Arrival Distribution,23860.631342978555,7849.6023927307315
datamining,200,64,Resource Calendars,119740.97439283464,21184.83534713867
datamining,200,64,Resource Numbers,6208.091360200822,1299.265202445977
datamining,200,64,Tasks and Resources Distributions,4865.028902390446,641.4398014847485
datamining,300,64,Arrival Calendar,44988.97309567034,8279.52284962525
datamining,300,64,Arrival Distribution,21039.043601266767,3827.5909356788284
datamining,300,64,Resource Calendars,125834.14475442466,17777.44148234613
datamining,300,64,Resource Numbers,8249.024557840792,2355.097959010451
datamining,300,64,Tasks and Resources Distributions,4691.7064951222865,687.8751798062391
