dataset,seed,n_samples,name,mu_star,mu_star_conf
datamining,100,128,Arrival Calendar,35479.68857792333,4276.95700548099
datamining,100,128,Arrival Distribution,21365.49945186921,3859.880652748104
datamining,100,128,Resource Calendars,123588.33882373325,13649.700079927856
datamining,100,128,Resource Numbers,7211.337434557057,1432.9035898897482
datamining,100,128,Tasks and Resources Distributions,1635.9535508329782,267.23510898199993
datamining,200,128,Arrival Calendar,45451.57142797836,6513.570552888728
datamining,200,128,Arrival Distribution,25664.58256117084,4896.364008191529
datamining,200,128,Resource Calendars,120359.67048154591,14925.994676028877
datamining,200,128,Resource Numbers,5897.599382109274,1011.0548894392267
datamining,200,128,Tasks and Resources Distributions,1941.1213149076177,355.5134710497483
datamining,300,128,Arrival Calendar,45319.42113780449,5780.382224939347
datamining,300,128,Arrival Distribution,19857.497401772856,3103.5854598362653
datamining,300,128,Resource Calendars,127789.95167568761,13880.339584906966
datamining,300,128,Resource Numbers,7103.105451456008,1232.3099177669503
datamining,300,128,Tasks and Resources Distributions,1884.825346115562,383.6665984318663
datamining,100,256,Arrival Calendar,35646.32044267679,3143.1973821093766
datamining,100,256,Arrival Distribution,21283.313461222217,3125.845567413268
datamining,100,256,Resource Calendars,129496.10245318164,10462.580525954538
datamining,100,256,Resource Numbers,7243.631315652124,886.5186807471888
datamining,100,256,Tasks and Resources Distributions,1817.999285308387,254.34550208028455
datamining,200,256,Arrival Calendar,42478.58523877652,4221.465886736435
datamining,200,256,Arrival Distribution,23504.047795077153,3263.0621534546667
datamining,200,256,Resource Calendars,116420.5774054947,9668.95639819256
datamining,200,256,Resource Numbers,6564.532531255834,812.2539383093457
datamining,200,256,Tasks and Resources Distributions,2395.018670888195,295.953397591173
datamining,300,256,Arrival Calendar,44926.44168715764,3970.2238464615243
datamining,300,256,Arrival Distribution,20158.62844058028,2112.036507405135
datamining,300,256,Resource Calendars,122133.0169753649,10437.059238646616
datamining,300,256,Resource Numbers,6672.527471733359,854.1940802350352
datamining,300,256,Tasks and Resources Distributions,1880.9742220689018,250.50071818248566
datamining,100,512,Arrival Calendar,38260.266505700914,2387.683397110458
datamining,100,512,Arrival Distribution,22493.522109846006,2391.674553125359
datamining,100,512,Resource Calendars,130740.25841102882,8525.39517289199
datamining,100,512,Resource Numbers,7073.410164062942,577.5723285594567
datamining,100,512,Tasks and Resources Distributions,2066.15939833814,188.685802425362
datamining,200,512,Arrival Calendar,42693.290836977125,3205.900598380722
datamining,200,512,Arrival Distribution,23714.324125127594,2387.049212299677
datamining,200,512,Resource Calendars,115599.3479641761,7743.403312582029
datamining,200,512,Resource Numbers,6482.362628487571,514.9372022068496
datamining,200,512,Tasks and Resources Distributions,2066.832609874448,184.41037295804995
datamining,300,512,Arrival Calendar,42880.16286692621,2697.489838614297
datamining,300,512,Arrival Distribution,22280.583378515883,1830.1761227929783
datamining,300,512,Resource Calendars,120341.19300323994,6235.297199465226
datamining,300,512,Resource Numbers,6601.454049877328,578.0284983054497
datamining,300,512,Tasks and Resources Distributions,1812.3840381366426,147.16450465622773
datamining,100,64,Arrival Calendar,36280.4647135268,5166.861001226098
datamining,100,64,Arrival Distribution,20178.54395623726,5292.658641114196
datamining,100,64,Resource Calendars,126688.48667954271,23334.277588102705
datamining,100,64,Resource Numbers,7352.10216055479,1560.508161280842
datamining,100,64,Tasks and Resources Distributions,1839.2323938454117,353.89820031137623
datamining,200,64,Arrival Calendar,45567.922068115025,9049.71004617218
datamining,200,64,Arrival Distribution,23378.376052881904,7799.420323441938
datamining,200,64,Resource Calendars,119788.52546025884,21234.9466256935
datamining,200,64,Resource Numbers,5917.435093038874,1182.8839154957316
datamining,200,64,Tasks and Resources Distributions,2231.4566628531225,371.8653915813702
datamining,300,64,Arrival Calendar,46429.79606490425,8253.742440087994
datamining,300,64,Arrival Distribution,20850.072062580166,3721.9023975523614
datamining,300,64,Resource Calendars,126554.11679497265,17871.416498848655
datamining,300,64,Resource Numbers,7506.356866821813,2134.7124076343025
datamining,300,64,Tasks and Resources Distributions,2055.984733765784,547.0753260553562
