dataset,seed,n_samples,name,mu_star,mu_star_conf
production,100,128,Arrival Calendar,1577780.59809022,1107429.2938348895
production,100,128,Arrival Distribution,3153911.399558832,3259545.7800853443
production,100,128,Resource Calendars,15847110.211585034,15627796.679370824
production,100,128,Resource Numbers,7961489.776195966,9548173.28435597
production,100,128,Tasks and Resources Distributions,2099278.9921522946,1407091.9212403416
production,200,128,Arrival Calendar,8452641.798946898,6412936.481198206
production,200,128,Arrival Distribution,11105563.92259441,7121772.032851585
production,200,128,Resource Calendars,21521852.86705383,15306895.170018246
production,200,128,Resource Numbers,34214765.14570554,23928298.54835987
production,200,128,Tasks and Resources Distributions,10721089.139572337,9015163.644242493
production,300,128,Arrival Calendar,10159812.830014141,8416077.61707087
production,300,128,Arrival Distribution,10035773.64841266,8195094.832440594
production,300,128,Resource Calendars,26585510.166820474,16566395.50303024
production,300,128,Resource Numbers,39201031.70466249,25750092.587234247
production,300,128,Tasks and Resources Distributions,15853287.803194733,13280151.389259033
production,100,256,Arrival Calendar,3076816.5186388986,1591689.1843799914
production,100,256,Arrival Distribution,6496757.886250517,4253779.863058711
production,100,256,Resource Calendars,18596984.801091224,12425465.916471234
production,100,256,Resource Numbers,19956825.943610687,11872851.791468443
production,100,256,Tasks and Resources Distributions,7090263.330835699,4728136.710947124
production,200,256,Arrival Calendar,7307608.033061354,4187694.3090098235
production,200,256,Arrival Distribution,8552577.105405431,5195949.638134334
production,200,256,Resource Calendars,17289995.67658945,10976334.794765582
production,200,256,Resource Numbers,26507982.614587378,14280814.31499774
production,200,256,Tasks and Resources Distributions,6772935.784738731,6048968.665587128
production,300,256,Arrival Calendar,12026701.462862263,6101356.879876123
production,300,256,Arrival Distribution,8033220.108410217,4696654.428548168
production,300,256,Resource Calendars,28140881.202453054,11697421.529426528
production,300,256,Resource Numbers,31476330.30082826,14939196.636784298
production,300,256,Tasks and Resources Distributions,12781861.356938671,6866159.05031525
production,100,512,Arrival Calendar,4455126.866736106,2165519.870892132
production,100,512,Arrival Distribution,6600757.918357152,2816409.093636924
production,100,512,Resource Calendars,17464877.871019326,8343465.141343526
production,100,512,Resource Numbers,18513960.864275184,7966517.633640237
production,100,512,Tasks and Resources Distributions,6341875.949678718,3282533.028464466
production,200,512,Arrival Calendar,6450898.938472535,2710836.4476183536
production,200,512,Arrival Distribution,7676100.81131142,3185971.2517044195
production,200,512,Resource Calendars,17829486.470767133,7580906.389905705
production,200,512,Resource Numbers,19659225.45679067,7528847.682570076
production,200,512,Tasks and Resources Distributions,7766495.617757368,4679000.202659262
production,300,512,Arrival Calendar,9023010.814441841,3887911.749982683
production,300,512,Arrival Distribution,7626485.761193764,3123287.0218558656
production,300,512,Resource Calendars,23045467.41263313,7980614.833292626
production,300,512,Resource Numbers,23117496.9834209,8606101.996544098
production,300,512,Tasks and Resources Distributions,9815869.77184326,4454434.328272671
production,100,64,Arrival Calendar,2308033.5221485775,1907227.725523131
production,100,64,Arrival Distribution,5542093.51131927,6455009.046028232
production,100,64,Resource Calendars,17645937.39637592,24446322.229956772
production,100,64,Resource Numbers,10352544.653927151,15513590.552540485
production,100,64,Tasks and Resources Distributions,2225242.291737284,2071882.113834744
production,200,64,Arrival Calendar,10334514.396629523,11321230.494295355
production,200,64,Arrival Distribution,6704914.210279457,8310727.71255158
production,200,64,Resource Calendars,9419692.309427664,8815746.664905623
production,200,64,Resource Numbers,34051721.46825044,31735225.824478716
production,200,64,Tasks and Resources Distributions,8459129.931294143,12978410.463138983
production,300,64,Arrival Calendar,12354672.525949927,14654380.951264422
production,300,64,Arrival Distribution,7388630.18287276,7402615.616597822
production,300,64,Resource Calendars,17608798.088113554,18875095.301596913
production,300,64,Resource Numbers,47326879.46533206,46613523.4520994
production,300,64,Tasks and Resources Distributions,13357877.03283363,15151772.472562572
