dataset,seed,n_samples,name,mu_star,mu_star_conf
production,100,128,Arrival Calendar,1618926.992700343,1136567.5558213547
production,100,128,Arrival Distribution,3329849.0787194865,3402261.0309108887
production,100,128,Resource Calendars,16399618.398524942,16025955.056566909
production,100,128,Resource Numbers,8291148.511860888,9882716.216847451
production,100,128,Tasks and Resources Distributions,1976238.5085952552,1387913.724404906
production,200,128,Arrival Calendar,8919142.780024424,6841915.191064114
production,200,128,Arrival Distribution,11553929.946409095,7409145.803963167
production,200,128,Resource Calendars,22310341.264328647,15731597.3850803
production,200,128,Resource Numbers,35392506.64669765,24578641.22642134
production,200,128,Tasks and Resources Distributions,10474063.44253519,8880476.746088652
production,300,128,Arrival Calendar,10639165.29051766,8808405.294256978
production,300,128,Arrival Distribution,10236059.301297635,8336146.606163399
production,300,128,Resource Calendars,27610090.303461652,17135717.69251617
production,300,128,Resource Numbers,40587698.703434,26396660.922041375
production,300,128,Tasks and Resources Distributions,15459174.098022843,13016299.35447721
production,100,256,Arrival Calendar,3153852.8359708437,1620042.087049357
production,100,256,Arrival Distribution,6691764.7077575745,4346577.44778009
production,100,256,Resource Calendars,19258993.62173911,12746070.719092628
production,100,256,Resource Numbers,20549142.9021202,12176583.307757348
production,100,256,Tasks and Resources Distributions,6944582.529684958,4695530.887788312
production,200,256,Arrival Calendar,7624925.150102427,4363171.180715194
production,200,256,Arrival Distribution,8911704.986473612,5381631.269578802
production,200,256,Resource Calendars,17952824.849032007,11308482.813609151
production,200,256,Resource Numbers,27480216.778005462,14696234.921903215
production,200,256,Tasks and Resources Distributions,6527644.31247259,5926407.71754536
production,300,256,Arrival Calendar,12544136.250223706,6355963.052406238
production,300,256,Arrival Distribution,8286526.123695205,4841520.575183332
production,300,256,Resource Calendars,29222429.740021005,12066353.804796776
production,300,256,Resource Numbers,32559784.765574854,15316214.485887412
production,300,256,Tasks and Resources Distributions,12431423.009431256,6715435.604748602
production,100,512,Arrival Calendar,4539260.9860407775,2195342.6668946217
production,100,512,Arrival Distribution,6843611.996591466,2906645.9764255905
production,100,512,Resource Calendars,18078810.83493421,8540744.734990511
production,100,512,Resource Numbers,19196808.57036732,8212310.387190181
production,100,512,Tasks and Resources Distributions,6227867.40252525,3281552.5973664867
production,200,512,Arrival Calendar,6748228.162878981,2831264.313851315
production,200,512,Arrival Distribution,7966635.025770035,3294874.530061587
production,200,512,Resource Calendars,18510648.441615093,7792963.343671042
production,200,512,Resource Numbers,20353768.417837877,7756591.484817912
production,200,512,Tasks and Resources Distributions,7597891.331110321,4644314.063756551
production,300,512,Arrival Calendar,9421405.903949333,4050858.7351141353
production,300,512,Arrival Distribution,7886068.273870224,3226552.1359596574
production,300,512,Resource Calendars,23980212.766289774,8220015.3152580885
production,300,512,Resource Numbers,24020089.59072767,8855397.9078145
production,300,512,Tasks and Resources Distributions,9589616.658161577,4353109.274062954
production,100,64,Arrival Calendar,2385481.2408374804,1978979.413829305
production,100,64,Arrival Distribution,5759971.451207691,6712681.7937601525
production,100,64,Resource Calendars,18260802.860030428,25067712.942517523
production,100,64,Resource Numbers,10665717.440537723,15918906.451833514
production,100,64,Tasks and Resources Distributions,2117974.9123042687,2062762.8292850666
production,200,64,Arrival Calendar,10997727.193550771,12093050.654177243
production,200,64,Arrival Distribution,7050017.703230238,8702951.347843643
production,200,64,Resource Calendars,10071177.159876646,9428381.65068868
production,200,64,Resource Numbers,35308382.18656639,32711148.86968815
production,200,64,Tasks and Resources Distributions,8424577.415975537,13112461.63063741
production,300,64,Arrival Calendar,12884653.758385396,15272056.323800407
production,300,64,Arrival Distribution,7587109.851589327,7520799.562427538
production,300,64,Resource Calendars,18084066.774124853,19295935.71086522
production,300,64,Resource Numbers,48853956.04450221,47795396.2692851
production,300,64,Tasks and Resources Distributions,12861720.390730638,14624076.08477539
