dataset,seed,n_samples,name,mu_star,mu_star_conf
2017,100,16,Resource Calendar User_50,790.1815073726846,233.91128334682958
2017,100,16,Resource Calendar User_138,784.7829508059829,231.118506949816
2017,100,16,Resource Calendar User_27,758.9320393094174,278.5103820115449
2017,100,16,Resource Calendar User_19,757.5176312945646,335.42158602986353
2017,100,16,Resource Calendar User_48,749.2989293263528,224.98866808344206
2017,100,16,Resource Calendar User_41,740.2277556601309,272.8357891266443
2017,100,16,Resource Calendar User_46,704.7596135433465,168.60541679183194
2017,100,16,Resource Calendar User_47,703.375074023272,217.73053632473543
2017,100,16,Resource Calendar User_141,694.9215378847607,288.03414187359635
2017,100,16,Resource Calendar User_62,691.412359517743,268.5224408011695
2017,100,32,Resource Calendar User_142,814.9510685601218,184.57807637837703
2017,100,32,Resource Calendar User_26,784.7253845387788,161.67082162682286
2017,100,32,Resource Calendar User_119,740.491104014131,152.23757651409926
2017,100,32,Resource Calendar User_45,735.5742781393037,140.0921621483264
2017,100,32,Resource Calendar User_23,732.973769812803,162.1365618591414
2017,100,32,Resource Calendar User_63,729.6393133908549,120.0169185609967
2017,100,32,Resource Calendar User_87,715.2733629813309,151.71597304918757
2017,100,32,Resource Calendar User_101,713.8358813447188,177.88770955856742
2017,100,32,Resource Calendar User_12,711.0310064587394,137.4031694215861
2017,100,32,Resource Calendar User_39,709.6019894133923,141.1126852870417
2017,100,64,Resource Calendar User_119,810.9740657270872,97.55838349189251
2017,100,64,Resource Calendar User_85,699.3241843647376,133.97271626063315
2017,100,64,Resource Calendar User_37,695.6502843301844,117.3932542058405
2017,100,64,Resource Calendar User_100,693.071756102503,110.73703179115424
2017,100,64,Resource Calendar User_33,688.6961286589071,123.04279022053925
2017,100,64,Resource Calendar User_90,680.3065700651237,106.05334721267
2017,100,64,Resource Calendar User_18,679.4673121837633,107.458617918596
2017,100,64,Resource Calendar User_14,674.0689211439717,110.08499733773563
2017,100,64,Resource Calendar User_43,668.1661778615403,93.91908916914596
2017,100,64,Resource Calendar User_118,666.2165311531318,106.02891021497099
2017,200,16,Resource Calendar User_121,951.4243167461095,298.20353698638024
2017,200,16,Resource Calendar User_39,932.6806077031188,229.40370081431053
2017,200,16,Resource Calendar User_133,931.2268047486058,206.83355027029012
2017,200,16,Resource Calendar User_14,929.315959236296,252.93994401718749
2017,200,16,Resource Calendar User_18,921.8975697275702,226.12733444045708
2017,200,16,Resource Calendar User_24,921.6620274226894,158.3633880862107
2017,200,16,Resource Calendar User_141,909.9323133907857,237.9481716729534
2017,200,16,Resource Calendar User_99,876.574064259159,188.8618415029185
2017,200,16,Resource Calendar User_43,868.1419770077587,280.1427148414211
2017,200,16,Resource Calendar User_144,865.5502078769539,250.22561379349466
2017,200,32,Resource Calendar User_16,877.7445752901114,255.5641294508632
2017,200,32,Resource Calendar User_83,874.869701691786,172.38383036687463
2017,200,32,Resource Calendar User_139,865.8900201255238,143.13070895891425
2017,200,32,Resource Calendar User_42,843.3896262150217,178.25413473443774
2017,200,32,Resource Calendar User_78,838.801685242882,160.0032892390631
2017,200,32,Resource Calendar User_118,833.6571063625033,195.0043545792636
2017,200,32,Resource Calendar User_10,820.0501084795283,214.0966519409384
2017,200,32,Resource Calendar User_54,806.4204726472585,197.55243750461486
2017,200,32,Resource Calendar User_127,805.4344432386132,218.0753200917552
2017,200,32,Resource Calendar User_44,788.0470486849284,188.95529728983797
2017,200,64,Resource Calendar User_142,923.7284758925257,154.48803360557383
2017,200,64,Resource Calendar User_85,870.5080290438048,150.34775727329986
2017,200,64,Resource Calendar User_61,853.1752891668469,140.7403395403549
2017,200,64,Resource Calendar User_121,809.3751080076972,150.49881054373262
2017,200,64,Resource Calendar User_23,752.4018139844169,139.02040259762109
2017,200,64,Resource Calendar User_90,751.6834408537231,137.01962401980668
2017,200,64,Resource Calendar User_13,748.8446096157126,114.0393962448387
2017,200,64,Resource Calendar User_37,748.6340946202847,121.24695753060064
2017,200,64,Resource Calendar User_43,744.8368817263859,134.86390806415565
2017,200,64,Resource Calendar User_133,738.9038632662288,130.42943698653298
2017,300,16,Resource Calendar User_136,937.5127155785514,297.43991339436974
2017,300,16,Resource Calendar User_32,870.5383282648581,258.6596079563576
2017,300,16,Resource Calendar User_10,830.9556138907567,241.6157701818992
2017,300,16,Resource Calendar User_138,825.0955931679873,211.40485890376766
2017,300,16,Resource Calendar User_19,823.6624885957331,240.47036514095876
2017,300,16,Resource Calendar User_63,821.109360374547,206.9580377276139
2017,300,16,Resource Calendar User_18,808.4586349690421,213.43576029902667
