dataset,seed,n_samples,name,mu_star,mu_star_conf
2017,100,16,Resource Calendar User_50,806.6030166248178,223.0196815263484
2017,100,16,Resource Calendar User_25,796.5281997146602,216.00736905510064
2017,100,16,Resource Calendar User_47,788.4121297985337,263.58203499844325
2017,100,16,Resource Calendar User_19,776.9868214466052,301.99684073689025
2017,100,16,Resource Calendar User_101,774.5093132277469,228.13464469182938
2017,100,16,Resource Calendar User_125,763.3433016846709,182.56603582634304
2017,100,16,Resource Calendar User_27,754.3607529044061,291.5440771306373
2017,100,16,Resource Calendar User_122,749.2361005963688,283.3540007549601
2017,100,16,Resource Calendar User_41,748.9811993505199,244.16818573004747
2017,100,16,Resource Calendar User_68,744.528548910793,204.5337373505337
2017,100,32,Resource Calendar User_142,810.6166875346339,196.0384962310099
2017,100,32,Resource Calendar User_8,770.9315624955434,163.7169091162531
2017,100,32,Resource Calendar User_26,764.156648391986,180.04736019187197
2017,100,32,Resource Calendar User_12,748.6990777583724,146.6762700070206
2017,100,32,Resource Calendar User_62,748.5544965568939,193.7035933352339
2017,100,32,Resource Calendar User_87,739.5415311159906,151.39874480110757
2017,100,32,Resource Calendar User_68,738.146834609521,177.29961830868612
2017,100,32,Resource Calendar User_119,726.5158340270277,160.18285646906483
2017,100,32,Resource Calendar User_63,725.3950342254554,138.6534923805656
2017,100,32,Resource Calendar User_39,722.5232897857961,144.1733361026138
2017,100,64,Resource Calendar User_119,775.790365260471,98.5975550521996
2017,100,64,Resource Calendar User_33,731.3042219002564,126.43530991302251
2017,100,64,Resource Calendar User_37,728.5879069862187,108.40901879381454
2017,100,64,Resource Calendar User_85,710.5750060503842,137.58986110492503
2017,100,64,Resource Calendar User_100,707.3110078146983,122.70569939420896
2017,100,64,Resource Calendar User_14,706.7742035595049,118.88849395451159
2017,100,64,Resource Calendar User_90,704.9491911125162,118.80182833430467
2017,100,64,Resource Calendar User_136,695.2228801104421,107.944131742854
2017,100,64,Resource Calendar User_125,693.8153944898188,151.56371482235514
2017,100,64,Resource Calendar User_117,682.8458469488097,96.71779674867834
