dataset,seed,n_samples,name,mu_star,mu_star_conf
2017,100,16,Gateway node_b462f2a6-393e-4325-9bec-5dd13e90c591,84.64903715520857,18.348652512681134
2017,100,16,Gateway node_34b4d599-3e40-4311-9ab3-7851a88f0688,77.85489592444436,31.081648460928847
2017,100,16,Gateway node_3b027674-16a9-4cbd-a944-73d0f4d7841a,77.75703495434048,29.01663777320879
2017,100,16,Gateway node_0f874200-5d1f-467c-9892-e662277d7ed4,77.56421939156246,25.955270555173005
2017,100,16,Gateway node_197e9d2f-52c0-472f-9e1a-1caf37f3a30a,75.86208158097212,22.997048056216585
2017,100,16,Gateway node_37f858d7-8d32-4c95-abf5-8b663067ca6e,73.88259293125009,21.461633517646167
2017,100,16,Gateway node_e815fe01-3404-4762-81b9-c5b067093604,72.76737758677092,23.588770106636417
2017,100,16,Gateway node_c3491f79-706f-44a9-ac8d-c1bda56e948e,72.36109562600728,30.178467244858794
2017,100,16,Gateway node_e3cb7ef1-5530-4941-9258-e7d0d0942d55,66.77830578968724,20.2204930677508
2017,100,16,Gateway node_a034ae86-5006-4cdf-b543-320b34344779,61.57708919635436,28.248455816692548
2017,100,32,Gateway node_197e9d2f-52c0-472f-9e1a-1caf37f3a30a,104.67056769930552,25.769309406939207
2017,100,32,Gateway node_c3491f79-706f-44a9-ac8d-c1bda56e948e,78.06766782527765,20.014506652045714
2017,100,32,Gateway node_3b027674-16a9-4cbd-a944-73d0f4d7841a,73.28932466781279,17.065488945191515
2017,100,32,Gateway node_e3cb7ef1-5530-4941-9258-e7d0d0942d55,72.50629358642378,19.641083130417975
2017,100,32,Gateway node_a034ae86-5006-4cdf-b543-320b34344779,68.28739897501724,19.879813323021345
2017,100,32,Gateway node_e815fe01-3404-4762-81b9-c5b067093604,65.69821404045156,15.984690994967155
2017,100,32,Gateway node_ffa052de-caf4-4879-96a1-2b4dd95b52c4,65.34506669380241,23.061310824820048
2017,100,32,Gateway node_0f874200-5d1f-467c-9892-e662277d7ed4,62.36811231444433,15.62045597044731
2017,100,32,Gateway node_b462f2a6-393e-4325-9bec-5dd13e90c591,59.906301957291454,12.477606522640714
2017,100,32,Gateway node_34b4d599-3e40-4311-9ab3-7851a88f0688,54.83898692958342,13.923367480050153
