dataset,seed,n_samples,name,mu_star,mu_star_conf
datamining,100,16,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,1048.2975951252222,430.4912334473258
datamining,100,16,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,706.0793545755402,195.64767048734
datamining,100,16,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,4538.304981894349,2228.8445619377358
datamining,100,16,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,2103.0322149501885,789.1533177508743
datamining,100,16,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,1365.5418336559717,570.6779769981499
datamining,100,16,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,1218.7852196601966,472.2509258603027
datamining,100,16,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,980.8547220421493,363.359295954883
datamining,100,16,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,12061.833425772924,2934.1548712171575
datamining,100,16,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,755.617185526625,274.9153623590313
datamining,200,16,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,1275.2785900745373,621.599750143231
datamining,200,16,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,873.6861303503376,315.68455120868646
datamining,200,16,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,6430.478277610203,1933.4145982243308
datamining,200,16,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,1478.0992140458636,739.1404413275391
datamining,200,16,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,1494.2021507320321,628.9499337111389
datamining,200,16,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,1005.772012954545,451.3690691960105
datamining,200,16,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,1682.0581433394527,699.8183561631321
datamining,200,16,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,9961.760016548793,3704.465681811341
datamining,200,16,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,572.4674845857843,173.62402754509486
datamining,300,16,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,676.759266327268,221.94834775278076
datamining,300,16,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,740.4022187317049,249.0062938988401
datamining,300,16,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,5080.220022861387,2038.7273727515174
datamining,300,16,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,2578.479235381232,892.658713143313
datamining,300,16,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,675.8359823089967,172.6617123969207
datamining,300,16,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,1234.134771648498,434.16135495580477
datamining,300,16,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,946.9021108421426,353.01710091235674
datamining,300,16,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,7655.632353770366,3342.334249297737
datamining,300,16,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,800.2060438530452,280.66470403690346
datamining,100,32,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,891.1294216788069,376.0949686394101
datamining,100,32,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,639.2075689229769,142.18721656512545
datamining,100,32,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,3372.854083108427,1166.2364201133616
datamining,100,32,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,2192.912098306755,641.1465281672067
datamining,100,32,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,1346.8879297832386,401.8538711061649
datamining,100,32,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,1213.2896175916846,287.93228558751605
datamining,100,32,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,873.4292308253038,272.5666444639828
datamining,100,32,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,8644.489999089083,2350.611420063763
datamining,100,32,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,870.1019169056877,279.5695867258286
datamining,200,32,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,740.6063152756512,232.98780420658383
datamining,200,32,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,597.8224627878144,171.93763816582083
datamining,200,32,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,4580.003514439504,1606.1179663797495
datamining,200,32,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,1910.7228296713229,552.2933272458104
datamining,200,32,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,1244.7674893637554,325.8234687575688
datamining,200,32,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,783.443952740572,357.57543747300815
datamining,200,32,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,1270.301436528523,423.3386426693948
datamining,200,32,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,7891.496616630421,2238.8235815336934
datamining,200,32,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,659.6250697681928,193.01439307658956
datamining,300,32,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,695.5432144622883,185.1355214107229
datamining,300,32,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,523.172329352596,126.82578993946143
datamining,300,32,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,3748.234399941741,1342.3553856669027
datamining,300,32,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,2334.737983542285,552.450183789374
datamining,300,32,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,971.5306550938243,267.9768221203129
datamining,300,32,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,761.0249179829972,249.70988540535376
datamining,300,32,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,908.911562759114,316.59239419075703
datamining,300,32,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,8820.327421708222,2500.100325588748
datamining,300,32,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,972.3232821736563,301.9850429204199
datamining,100,64,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,821.1005053457031,196.8830920083433
datamining,100,64,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,660.3940900572758,127.36585495935032
datamining,100,64,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,4000.3321104760603,1023.5425479409213
datamining,100,64,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,1917.5868884187425,374.09553945621536
