dataset,seed,n_samples,name,mu_star,mu_star_conf
datamining,100,16,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,1009.2338168965182,415.4659232873238
datamining,100,16,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,631.8912992470291,175.58783002780217
datamining,100,16,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,3139.032437310551,1670.8332515016937
datamining,100,16,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,2123.8840470555565,784.3279143345712
datamining,100,16,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,1143.8885291342215,475.5740390231607
datamining,100,16,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,1115.8963880367717,440.89589427404894
datamining,100,16,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,879.7918681143125,329.0296969740212
datamining,100,16,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,8526.573180318228,2131.6848040505865
datamining,100,16,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,648.243727910848,241.69165883938197
datamining,200,16,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,1241.8666572501063,614.3081911411491
datamining,200,16,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,798.7012720013698,289.7278626909398
datamining,200,16,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,4546.313084799313,1337.6713500065873
datamining,200,16,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,1435.584745580969,704.2784511715215
datamining,200,16,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,1194.0197239111374,530.0536224970997
datamining,200,16,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,917.4718539870544,435.2859388515033
datamining,200,16,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,1458.3858564578047,615.2149584155749
datamining,200,16,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,6977.614399449206,2588.605193847965
datamining,200,16,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,485.61169158217575,172.38620716030374
datamining,300,16,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,619.76133053895,228.80434492635158
datamining,300,16,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,703.8691211672879,230.73940198656283
datamining,300,16,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,3765.226130044213,1474.52721267797
datamining,300,16,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,2557.1763294019856,861.0808320796788
datamining,300,16,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,611.6775811664078,163.24910691570295
datamining,300,16,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,1159.308619126388,408.0044304211249
datamining,300,16,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,840.4069343264678,294.2225672552622
datamining,300,16,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,5281.233172961624,2288.42196452363
datamining,300,16,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,737.7849237706748,295.2982333296724
datamining,100,32,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,889.85259326005,388.6136685502382
datamining,100,32,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,609.9748594698661,145.35587910980172
datamining,100,32,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,2319.2140937478107,868.7556274619496
datamining,100,32,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,2163.2499685010507,639.5787572444076
datamining,100,32,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,1113.6801203749333,336.28446723823674
datamining,100,32,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,1102.90931144568,268.83030703503056
datamining,100,32,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,796.3229509150118,226.1249722820463
datamining,100,32,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,6075.872319481836,1672.9671198285791
datamining,100,32,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,801.5061940503781,239.49569740796812
