dataset,seed,n_samples,name,mu_star,mu_star_conf
datamining,100,16,Resource Calendar 1,3178.2346128828244,1444.0613373775734
datamining,100,16,Resource Calendar 1007,4500.724882914079,1018.7724798692617
datamining,100,16,Resource Calendar 10168,3041.080325506333,1093.2544477230476
datamining,100,16,Resource Calendar 10176,2781.1291134369976,998.0538218236929
datamining,100,16,Resource Calendar 10183,2983.8959334534684,1339.615743538148
datamining,100,16,Resource Calendar 10228,2771.782425932294,1000.4439012647676
datamining,100,16,Resource Calendar 10280,3106.13503985284,1272.1805738928997
datamining,100,16,Resource Calendar 10296,3176.0854106873617,1094.3231609630259
datamining,100,16,Resource Calendar 10348,2173.4606687786645,899.5232957832171
datamining,100,16,Resource Calendar 10665,2005.7661502228193,783.663983162072
datamining,100,16,Resource Calendar 10716,2894.993538297852,842.0789690109273
datamining,100,16,Resource Calendar 10726,2815.7148855898745,1055.7756724005162
datamining,100,16,Resource Calendar 10742,3139.190410624881,1195.3727174516348
datamining,100,16,Resource Calendar 10923,3011.954015952943,839.8284872807037
datamining,100,16,Resource Calendar 10962,2278.562333410537,710.5144312074968
datamining,100,16,Resource Calendar 10995,2341.863018294592,702.397709088534
datamining,100,16,Resource Calendar 11041,2781.3114957378402,752.3623321722656
datamining,100,16,Resource Calendar 1113,2376.3949573426758,824.7743240861842
datamining,100,16,Resource Calendar 11150,2592.5109433987927,913.9981543649246
datamining,100,16,Resource Calendar 11159,2875.245608125667,1116.6372386474357
datamining,100,16,Resource Calendar 11174,1950.432421717448,854.2854105589722
datamining,100,16,Resource Calendar 11175,2764.9805586327057,1248.521045558451
datamining,100,16,Resource Calendar 11181,3312.243064425605,999.9379692377637
datamining,100,16,Resource Calendar 11197,4110.177824499715,1186.8315814664893
datamining,100,16,Resource Calendar 11204,2197.258970931929,633.6209341386375
datamining,100,16,Resource Calendar 11218,2758.077524291606,869.1152643974715
datamining,100,16,Resource Calendar 11302,2058.808922717714,738.4448521520286
datamining,100,16,Resource Calendar 11314,2915.97751383509,1311.5915321631107
