dataset,seed,n_samples,name,mu_star,mu_star_conf
datamining,100,16,Resource Calendar 1,3123.602124351795,1436.9859877974325
datamining,100,16,Resource Calendar 1007,4478.508778118979,996.1903523920902
datamining,100,16,Resource Calendar 10168,3024.5606035272945,1054.2093834423758
datamining,100,16,Resource Calendar 10176,2719.746908358266,989.8626125605127
datamining,100,16,Resource Calendar 10183,2893.237241013412,1305.7180696035416
datamining,100,16,Resource Calendar 10228,2683.8182152983336,951.1305892346364
datamining,100,16,Resource Calendar 10280,3053.4521653682623,1242.7212369929666
datamining,100,16,Resource Calendar 10296,3150.078091892905,1045.9846607415927
datamining,100,16,Resource Calendar 10348,2185.7201092617534,878.3257630504617
datamining,100,16,Resource Calendar 10665,1909.6975869094424,770.7162129438649
datamining,100,16,Resource Calendar 10716,2846.5690553218856,858.078094539356
datamining,100,16,Resource Calendar 10726,2757.446565235759,1060.3845638700907
datamining,100,16,Resource Calendar 10742,3094.3646817848,1162.4726148778495
datamining,100,16,Resource Calendar 10923,2962.4593059262716,829.085113513266
datamining,100,16,Resource Calendar 10962,2258.291920286144,712.1654376377995
datamining,100,16,Resource Calendar 10995,2298.6545452813793,685.3679015532482
datamining,100,16,Resource Calendar 11041,2778.724672840456,738.3443901458743
datamining,100,16,Resource Calendar 1113,2311.1625757471757,817.5256362614481
datamining,100,16,Resource Calendar 11150,2561.66186999318,897.6094130791026
datamining,100,16,Resource Calendar 11159,2900.8755915732254,1133.0632124380834
datamining,100,16,Resource Calendar 11174,1918.2738965040123,852.465656191286
datamining,100,16,Resource Calendar 11175,2663.3377063270564,1224.5743649466528
datamining,100,16,Resource Calendar 11181,3229.223739512033,978.0609335652643
datamining,100,16,Resource Calendar 11197,4083.369798191183,1128.7960776363575
datamining,100,16,Resource Calendar 11204,2167.928684624579,601.8766392971012
datamining,100,16,Resource Calendar 11218,2707.3219955531476,844.4007811207266
datamining,100,16,Resource Calendar 11302,1992.278697512117,729.0404830750296
datamining,100,16,Resource Calendar 11314,2868.369053352866,1302.1835870480795
datamining,100,16,Resource Calendar 11327,2797.9945988607383,1036.81416069634
datamining,100,16,Resource Calendar 1134,2749.459068926044,1023.841268682879
datamining,100,16,Resource Calendar 11342,2556.9118740763683,1016.6696031001329
datamining,100,16,Resource Calendar 11349,4028.4121602886053,1243.5485014027477
datamining,100,16,Resource Calendar 11353,3194.7793454566545,1360.4005686666192
datamining,100,16,Resource Calendar 11387,3117.3619240880207,1177.8158827686962
datamining,100,16,Resource Calendar 11393,3506.1039201783024,1259.9783089913294
datamining,100,16,Resource Calendar 11395,2896.035936336484,1590.9447624898485
datamining,100,16,Resource Calendar 11415,4518.885030379009,1073.6798630339667
datamining,100,16,Resource Calendar 11469,3023.4601215987764,1002.6028229417824
datamining,100,16,Resource Calendar 11509,2692.768180778636,1081.8506136878882
datamining,100,16,Resource Calendar 11515,2368.072745168693,723.4468237437352
datamining,100,16,Resource Calendar 11548,2860.3412844606078,941.4248283441556
datamining,100,16,Resource Calendar 11557,2733.924266231052,965.8146408601306
datamining,100,16,Resource Calendar 11568,3375.2046838211754,1448.9227611432882
datamining,100,16,Resource Calendar 11571,2028.1215418870486,707.1769515529269
datamining,100,16,Resource Calendar 11583,2867.3403191379994,1008.8227907895957
datamining,100,16,Resource Calendar 11611,3190.7159439222896,777.0322882798545
datamining,100,16,Resource Calendar 11613,3486.958043113624,1066.4723253064053
datamining,100,16,Resource Calendar 11614,2573.5543956869337,1041.9520315079476
datamining,100,16,Resource Calendar 11653,2377.562237366638,822.6887548227951
datamining,100,16,Resource Calendar 11678,2833.5314541426096,837.9138395811685
datamining,100,16,Resource Calendar 11692,2225.699551687045,973.4441311591369
datamining,100,16,Resource Calendar 117,3942.7913095480535,1001.4784357886092
datamining,100,16,Resource Calendar 11706,2190.7951186588402,1054.384429377734
datamining,100,16,Resource Calendar 11759,3906.334405126181,891.200141781991
datamining,100,16,Resource Calendar 11760,2150.7690945678464,589.4108477246149
datamining,100,16,Resource Calendar 11772,2991.1378205469164,840.8151168331185
datamining,100,16,Resource Calendar 11775,3164.923598748925,1379.8139298150502
datamining,100,16,Resource Calendar 11799,2035.5605758697857,962.4337210680254
datamining,100,16,Resource Calendar 11805,2869.822932845318,740.0338519756867
datamining,100,16,Resource Calendar 11811,2348.1821714934026,846.7676481016227
datamining,100,16,Resource Calendar 11829,2237.1476949050184,1189.88889870818
datamining,100,16,Resource Calendar 11854,3908.5402704290577,1403.048012290955
datamining,100,16,Resource Calendar 11858,3540.326599727135,1351.1889261692295
datamining,100,16,Resource Calendar 11861,2992.8496302721305,1544.3780056727844
datamining,100,16,Resource Calendar 11959,3157.567336241967,1507.2645803643707
datamining,100,16,Resource Calendar 11961,2458.710215639624,854.2843537155397
datamining,100,16,Resource Calendar 11973,3551.9422804158244,851.9646079093857
datamining,100,16,Resource Calendar 11993,2413.5319651482955,736.1148081050193
datamining,100,16,Resource Calendar 12006,3217.7443718964364,1034.3792266841062
datamining,100,16,Resource Calendar 12062,3419.897340987876,1182.6974643950844
datamining,100,16,Resource Calendar 12093,3419.703080378883,1013.7198731465919
datamining,100,16,Resource Calendar 12129,2293.8196152,878.9321276555565
datamining,100,16,Resource Calendar 12175,2944.7532449356377,986.1153405202361
datamining,100,16,Resource Calendar 12196,3021.9961136258735,1258.3346365091095
datamining,100,16,Resource Calendar 12452,2705.3914437257695,1093.5885737300644
datamining,100,16,Resource Calendar 12459,2470.707884257205,740.6768983818974
datamining,100,16,Resource Calendar 12521,2773.18817665015,590.2067470899847
datamining,100,16,Resource Calendar 12532,3011.1139707951343,1531.4997731200135
datamining,100,16,Resource Calendar 12535,2025.9036192715425,826.0154328060146
datamining,100,16,Resource Calendar 12548,2405.5724379298535,872.7498280175895
datamining,100,16,Resource Calendar 12814,2990.5661397730064,782.0867436716297
datamining,100,16,Resource Calendar 12836,3113.583827732746,976.3780948662097
datamining,100,16,Resource Calendar 12915,1981.4512454236074,671.770315593988
datamining,100,16,Resource Calendar 12935,2247.2459410228475,828.9241925500448
datamining,100,16,Resource Calendar 1295,1894.5375992889906,929.3993324268556
datamining,100,16,Resource Calendar 13014,2301.080451857588,933.2943113859783
datamining,100,16,Resource Calendar 1314,2733.5151056866926,832.7368658499234
datamining,100,16,Resource Calendar 1343,3051.819269050502,1004.6735610200254
datamining,100,16,Resource Calendar 13544,2233.475742135351,1014.5556897296194
datamining,100,16,Resource Calendar 13559,2386.5697019857453,959.1172520128963
datamining,100,16,Resource Calendar 13733,2839.6592036079264,1254.3328460233897
datamining,100,16,Resource Calendar 1378,2528.1104586939573,782.4078366204512
datamining,100,16,Resource Calendar 13803,3051.376951525402,1012.4381551336484
datamining,100,16,Resource Calendar 14126,1870.136481528031,532.1150289749232
datamining,100,16,Resource Calendar 14128,3952.1384876016486,1361.8323437518886
datamining,100,16,Resource Calendar 1422,2200.4017645543267,749.5660730538356
datamining,100,16,Resource Calendar 14440,3055.22744584048,1525.8284097293604
datamining,100,16,Resource Calendar 1471,2715.518178739136,819.1324999528579
datamining,100,16,Resource Calendar 15057,3246.4387691669403,847.2402935088538
datamining,100,16,Resource Calendar 1515,2527.685390302798,1158.6905849102634
datamining,100,16,Resource Calendar 1524,2580.51587866906,952.0985965131898
datamining,100,16,Resource Calendar 15315,2586.6643762032045,839.3035085957216
datamining,100,16,Resource Calendar 15323,2831.134084555531,866.2741303655298
datamining,100,16,Resource Calendar 15345,2284.9194062699466,523.6783846675273
datamining,100,16,Resource Calendar 15352,2025.8233395934076,575.8682427560741
datamining,100,16,Resource Calendar 15356,2561.335865630084,1033.5468380248599
datamining,100,16,Resource Calendar 15370,2654.322181812009,1003.6627894842992
datamining,100,16,Resource Calendar 15547,3273.357046220948,1266.01391426995
datamining,100,16,Resource Calendar 15612,2591.0535586417914,919.1735449337826
datamining,100,16,Resource Calendar 157,2588.7453109948915,1025.4578534856207
datamining,100,16,Resource Calendar 15862,2574.024254683188,895.7375256850829
datamining,100,16,Resource Calendar 15884,2229.5228982756057,846.6909269054062
datamining,100,16,Resource Calendar 15930,3968.8655838471,1459.4319846421122
datamining,100,16,Resource Calendar 15957,2649.43183415721,1045.3961377067415
datamining,100,16,Resource Calendar 16273,2014.520835353327,757.8009323579046
datamining,100,16,Resource Calendar 163,2875.916156651337,843.7956483595643
datamining,100,16,Resource Calendar 1646,2712.452686307619,1179.5411078000084
datamining,100,16,Resource Calendar 16695,2815.3310777780366,1097.0956648751335
datamining,100,16,Resource Calendar 1684,2602.9617176648817,1213.569594281397
datamining,100,16,Resource Calendar 1707,2803.210916996501,986.6905090656999
datamining,100,16,Resource Calendar 17296,2728.7053716924156,1084.8282549468868
datamining,100,16,Resource Calendar 17379,3209.396760843638,1023.262220997752
datamining,100,16,Resource Calendar 17525,1432.0867324431006,642.0726290981098
datamining,100,16,Resource Calendar 17625,2312.3361106230577,609.4197583036774
datamining,100,16,Resource Calendar 17642,3360.4839433609172,799.5092139390414
datamining,100,16,Resource Calendar 17769,2227.752466677663,617.4127139826779
datamining,100,16,Resource Calendar 17807,2215.587863390331,779.3972262974531
datamining,100,16,Resource Calendar 17872,1800.8642150436299,652.2376704355199
datamining,100,16,Resource Calendar 1792,2153.77933044341,737.6248997003877
datamining,100,16,Resource Calendar 1795,2748.917047917806,948.8087402322714
datamining,100,16,Resource Calendar 17965,2903.146802529266,1701.4244388392387
datamining,100,16,Resource Calendar 18289,3677.8683238744547,1002.235084452208
datamining,100,16,Resource Calendar 18317,2843.1629328714494,1121.3024629776025
datamining,100,16,Resource Calendar 18501,2454.8140898973056,583.1557561142492
datamining,100,16,Resource Calendar 186,2901.3329010725192,1130.592624444921
datamining,100,16,Resource Calendar 1860,2964.709809890329,1114.1921523608423
datamining,100,16,Resource Calendar 18760,2647.8508700112952,1026.930763147698
datamining,100,16,Resource Calendar 18929,2871.634409796359,1006.2162261152058
datamining,100,16,Resource Calendar 18942,3722.0564074766876,1190.018608334699
