dataset,seed,n_samples,name,mu_star,mu_star_conf
production,100,16,Gateway node_06640c34-b035-4bf9-b736-5c1d83eb6516,7878503.091601507,4095647.5162192713
production,100,16,Gateway node_0da0a7f3-4a41-4071-8450-6f140d0430e5,1210027.4089922528,758393.4756142304
production,100,16,Gateway node_11f188a6-468d-4911-988f-5c987614ef9d,11476571.291680273,16658828.818763625
production,100,16,Gateway node_14a880cd-bdac-415e-8b78-49036693f24a,20288134.07848208,19535829.492844548
production,100,16,Gateway node_28e3b17a-2f3d-4b08-9b0e-bb1cd5fdac6e,14665337.673315493,13874392.605217125
production,100,16,Gateway node_2adef1d6-4ab2-4b50-ab18-dcc976585e71,388186372.75047845,419631051.5178609
production,100,16,Gateway node_3424fd53-353c-4708-973f-14a3cca55193,21652125.47353187,34678726.60269008
production,100,16,Gateway node_420cae14-0e2a-4888-b80a-0e47c11f1058,10126377.292726614,14448462.85519748
production,100,16,Gateway node_493ba094-037a-403d-a8fd-46af1c42c9b4,4740755.606860193,6324125.183794618
production,100,16,Gateway node_4e2863d1-f740-499e-9416-7ad773698c9e,22019593.64476993,20214675.89846068
production,100,16,Gateway node_73899de0-7a5e-4c22-b92b-7038a05614cb,106149515.82238184,115979943.94444716
production,100,16,Gateway node_75033c40-f1a0-4af5-a081-ac94f83503d6,1880057.1151943435,1743559.2602035315
production,100,16,Gateway node_81027410-95ac-4d0f-ae08-b749da7f5d66,13106593.312024912,19897671.874211352
production,100,16,Gateway node_820241a1-6bf4-417b-870d-de598689a84c,23149661.35987126,29600504.502324335
production,100,16,Gateway node_8a3fc80c-b9bd-43ec-a840-5decda5c8816,5326828.265733444,3985326.637218794
production,100,16,Gateway node_919cbf1f-a8f8-466c-82d3-c2808df9fb43,12684272.633879205,11448037.008318229
production,100,16,Gateway node_9e49458d-23a1-4873-ad59-ce198417e010,10556292.243444085,9511665.72198507
production,100,16,Gateway node_a1d62155-c4a0-4f32-b12d-deda69875f36,12677582.26720577,19023275.36042174
production,100,16,Gateway node_b27ea0f3-0f2a-4fed-b7ef-787582b4c271,10704274.975415472,11867092.503519678
production,100,16,Gateway node_bf73faf4-b5ee-40b5-a5c4-3b59a98dd51e,13365417.772265343,14306187.942027517
production,100,16,Gateway node_c0c1dd69-4fc6-4c34-a077-1fcbc4106321,13530489.449200846,13690934.617610164
production,100,16,Gateway node_f710aa29-6429-45d2-b11b-e8dd8a174fc3,4654658.816331071,3165354.1662781956
production,100,16,Gateway node_f8a44f52-ef22-4a74-898e-226caac5ed4b,17857125.586851534,23934472.160454705
production,100,16,Gateway node_faa8e895-57f6-408b-bc38-1b34a96ff8ee,2446680.755508294,1741698.9372930038
production,100,16,Gateway node_fcf09511-3069-4dc0-aba2-d19739960176,6117921.663206974,5528513.897379186
production,100,16,Gateway node_ff10e738-27e2-4456-84cf-2056564e9431,12844254.397874493,14722538.849508286
production,200,16,Gateway node_06640c34-b035-4bf9-b736-5c1d83eb6516,41651753.19795463,46294376.92511993
production,200,16,Gateway node_0da0a7f3-4a41-4071-8450-6f140d0430e5,7539498.508853775,5632627.4880274255
production,200,16,Gateway node_11f188a6-468d-4911-988f-5c987614ef9d,24050272.169299576,19053998.828918513
production,200,16,Gateway node_14a880cd-bdac-415e-8b78-49036693f24a,6269508.009445907,4755885.865113453
production,200,16,Gateway node_28e3b17a-2f3d-4b08-9b0e-bb1cd5fdac6e,23071434.212366946,18090142.11904864
production,200,16,Gateway node_2adef1d6-4ab2-4b50-ab18-dcc976585e71,548498422.6108471,337221818.86428463
production,200,16,Gateway node_3424fd53-353c-4708-973f-14a3cca55193,18186914.94862964,15248389.048849873
production,200,16,Gateway node_420cae14-0e2a-4888-b80a-0e47c11f1058,22436100.126956895,22689531.44255174
production,200,16,Gateway node_493ba094-037a-403d-a8fd-46af1c42c9b4,28033321.317296207,29218297.383193985
production,200,16,Gateway node_4e2863d1-f740-499e-9416-7ad773698c9e,37841302.79741578,27752611.61476443
production,200,16,Gateway node_73899de0-7a5e-4c22-b92b-7038a05614cb,279849707.1636785,247965723.7659458
production,200,16,Gateway node_75033c40-f1a0-4af5-a081-ac94f83503d6,20203726.02681046,15415487.262094304
production,200,16,Gateway node_81027410-95ac-4d0f-ae08-b749da7f5d66,15434878.801629359,11763712.864023564
production,200,16,Gateway node_820241a1-6bf4-417b-870d-de598689a84c,4824071.564806502,3831651.533963849
production,200,16,Gateway node_8a3fc80c-b9bd-43ec-a840-5decda5c8816,18901795.57289428,24295534.291827966
production,200,16,Gateway node_919cbf1f-a8f8-466c-82d3-c2808df9fb43,43959734.8779651,35197060.89340169
production,200,16,Gateway node_9e49458d-23a1-4873-ad59-ce198417e010,9518426.64790394,6354833.401066543
production,200,16,Gateway node_a1d62155-c4a0-4f32-b12d-deda69875f36,6101346.276816347,3940337.1520078164
production,200,16,Gateway node_b27ea0f3-0f2a-4fed-b7ef-787582b4c271,12728103.83207712,15291239.720762413
production,200,16,Gateway node_bf73faf4-b5ee-40b5-a5c4-3b59a98dd51e,9216997.301668018,5995357.321665702
production,200,16,Gateway node_c0c1dd69-4fc6-4c34-a077-1fcbc4106321,22246279.868667994,20948266.261244945
production,200,16,Gateway node_f710aa29-6429-45d2-b11b-e8dd8a174fc3,32263984.99030126,25768930.211973585
production,200,16,Gateway node_f8a44f52-ef22-4a74-898e-226caac5ed4b,6247615.139065946,5686030.6018360425
production,200,16,Gateway node_faa8e895-57f6-408b-bc38-1b34a96ff8ee,17619696.08365587,16531052.155839708
production,200,16,Gateway node_fcf09511-3069-4dc0-aba2-d19739960176,22866647.763762377,15981772.29981539
production,200,16,Gateway node_ff10e738-27e2-4456-84cf-2056564e9431,21322768.271659836,17258591.600205436
production,300,16,Gateway node_06640c34-b035-4bf9-b736-5c1d83eb6516,29218385.810305025,14577528.116024228
production,300,16,Gateway node_0da0a7f3-4a41-4071-8450-6f140d0430e5,10369261.24867374,6777340.095189722
production,300,16,Gateway node_11f188a6-468d-4911-988f-5c987614ef9d,18433821.03005392,15812016.65926874
production,300,16,Gateway node_14a880cd-bdac-415e-8b78-49036693f24a,9945980.877713863,8465725.266676249
production,300,16,Gateway node_28e3b17a-2f3d-4b08-9b0e-bb1cd5fdac6e,13027773.666647354,9117437.736978432
production,300,16,Gateway node_2adef1d6-4ab2-4b50-ab18-dcc976585e71,301122038.1810361,189261699.22010735
production,300,16,Gateway node_3424fd53-353c-4708-973f-14a3cca55193,12632217.731924567,7894114.922325054
production,300,16,Gateway node_420cae14-0e2a-4888-b80a-0e47c11f1058,11006043.849481173,7841181.064838171
production,300,16,Gateway node_493ba094-037a-403d-a8fd-46af1c42c9b4,8461682.68720393,5393021.104794091
production,300,16,Gateway node_4e2863d1-f740-499e-9416-7ad773698c9e,21386516.16494896,12884093.38649273
