dataset,seed,n_samples,name,mu_star,mu_star_conf
production,100,16,Gateway node_06640c34-b035-4bf9-b736-5c1d83eb6516,7865217.45241773,4084368.2603064706
production,100,16,Gateway node_0da0a7f3-4a41-4071-8450-6f140d0430e5,1210105.1056813197,759899.3998230961
production,100,16,Gateway node_11f188a6-468d-4911-988f-5c987614ef9d,11457972.794778937,16641188.487489836
production,100,16,Gateway node_14a880cd-bdac-415e-8b78-49036693f24a,20255627.076961257,19516760.79004829
production,100,16,Gateway node_28e3b17a-2f3d-4b08-9b0e-bb1cd5fdac6e,14648354.523085011,13849279.026954645
production,100,16,Gateway node_2adef1d6-4ab2-4b50-ab18-dcc976585e71,387018454.9525104,418980322.38859195
production,100,16,Gateway node_3424fd53-353c-4708-973f-14a3cca55193,21559864.635264613,34663506.02203618
production,100,16,Gateway node_420cae14-0e2a-4888-b80a-0e47c11f1058,10104711.375741081,14434317.433545195
production,100,16,Gateway node_493ba094-037a-403d-a8fd-46af1c42c9b4,4712341.370963528,6316828.469883254
production,100,16,Gateway node_4e2863d1-f740-499e-9416-7ad773698c9e,21974890.518767666,20191397.904894188
production,100,16,Gateway node_73899de0-7a5e-4c22-b92b-7038a05614cb,105905163.08879681,115809627.09690166
production,100,16,Gateway node_75033c40-f1a0-4af5-a081-ac94f83503d6,1867344.2616067186,1737145.6500300304
production,100,16,Gateway node_81027410-95ac-4d0f-ae08-b749da7f5d66,13081168.51902765,19876535.746925253
production,100,16,Gateway node_820241a1-6bf4-417b-870d-de598689a84c,23112220.921573147,29573681.993547752
production,100,16,Gateway node_8a3fc80c-b9bd-43ec-a840-5decda5c8816,5307927.024546989,3976600.538441321
production,100,16,Gateway node_919cbf1f-a8f8-466c-82d3-c2808df9fb43,12648034.263073565,11429648.793440677
production,100,16,Gateway node_9e49458d-23a1-4873-ad59-ce198417e010,10528445.33353221,9494549.69146005
production,100,16,Gateway node_a1d62155-c4a0-4f32-b12d-deda69875f36,12607344.157933973,19013627.296056487
