dataset,seed,n_samples,name,mu_star,mu_star_conf
production,100,16,Resource Calendar End,2093039.193060163,1092458.2461713245
production,100,16,Resource Calendar ID0420,3472922.2395321233,2041253.4130208627
production,100,16,Resource Calendar ID0937,1987535.7921372748,1828357.9503428917
production,100,16,Resource Calendar ID0997,4857456.778252136,3955042.5036688466
production,100,16,Resource Calendar ID0998,2929798.141800527,2409605.9255129956
production,100,16,Resource Calendar ID3641,2155998.4218591563,753108.595760519
production,100,16,Resource Calendar ID3716,2094805.4056930651,1196747.7630412488
production,100,16,Resource Calendar ID3718,1974583.7963921684,1385475.514260635
production,100,16,Resource Calendar ID3846,1883929.3909826158,953139.4229083364
production,100,16,Resource Calendar ID3854,1809672.3479321552,736273.0199410605
production,100,16,Resource Calendar ID3998,2708096.4636964696,1462865.0097645116
production,100,16,Resource Calendar ID4109,2228025.1055699014,2094337.158100463
production,100,16,Resource Calendar ID4132,3824133.1107201152,2247013.143011882
production,100,16,Resource Calendar ID4140,1447376.7962048547,702279.4718233426
production,100,16,Resource Calendar ID4142,3097523.293846895,1164486.2386031107
production,100,16,Resource Calendar ID4160,2485515.3890943686,1315039.572580145
production,100,16,Resource Calendar ID4162,1541117.5743949823,838387.2761539351
production,100,16,Resource Calendar ID4163,1820299.0812611629,1365823.3466281542
production,100,16,Resource Calendar ID4167,2864657.7682764675,1879274.3316459795
production,100,16,Resource Calendar ID4219,3421101.6153422245,2533046.185493906
production,100,16,Resource Calendar ID4287,3617164.345408619,1825899.9298720958
production,100,16,Resource Calendar ID4291,2826099.6309008445,1996802.955958545
production,100,16,Resource Calendar ID4326,3744805.3110907353,2022958.8465555033
production,100,16,Resource Calendar ID4355,3145367.8264868306,2165586.6545228385
production,100,16,Resource Calendar ID4385,2719502.584478314,1407385.853193342
production,100,16,Resource Calendar ID4429,1755147.937904096,573247.9826343498
production,100,16,Resource Calendar ID4442,2787617.3571671857,1641819.515002961
production,100,16,Resource Calendar ID4445,4531412.88440727,1966848.6807580285
production,100,16,Resource Calendar ID4491,2663596.5504373657,1750990.207041599
production,100,16,Resource Calendar ID4493,90109342.00951795,45125607.82552671
production,100,16,Resource Calendar ID4528,3518203.9047580636,2691702.698096983
production,100,16,Resource Calendar ID4529,1973251.6489676582,839264.4323602982
production,100,16,Resource Calendar ID4618,2468947.9980394607,1301703.2216246943
production,100,16,Resource Calendar ID4622,1400230.346837175,1049534.194916467
production,100,16,Resource Calendar ID4641,3063491.5437270724,1484739.9627258352
production,100,16,Resource Calendar ID4718,2285169.5120960684,1473210.5115214356
production,100,16,Resource Calendar ID4783,1978204.6714082228,1080889.2529695383
production,100,16,Resource Calendar ID4794,1940229.04600932,1269573.4444237056
production,100,16,Resource Calendar ID4799,2888189.5860129585,1762780.8569469175
production,100,16,Resource Calendar ID4820,3030712.2620138302,1429035.8930296255
production,100,16,Resource Calendar ID4851,2121916.1787192775,1372033.4299906413
production,100,16,Resource Calendar ID4872,2302192.933623565,1716438.223951506
production,100,16,Resource Calendar ID4873,1626670.7506401099,896802.4766149978
production,100,16,Resource Calendar ID4882,1367286.9148889766,582322.3962610933
production,100,16,Resource Calendar ID4890,2117749.949542854,1251555.4999491246
production,100,16,Resource Calendar ID4932,3744078.222811456,2418870.3446839927
production,100,16,Resource Calendar ID4955,1956658.2689239741,1071497.4549216076
production,100,16,Resource Calendar Start,3195905.627015109,1854372.2991124152
production,200,16,Resource Calendar End,2107627.2607150264,1368047.1021092595
production,200,16,Resource Calendar ID0420,3073226.8640319407,2279761.0236022146
production,200,16,Resource Calendar ID0937,2966356.5612662877,1700866.8412611785
production,200,16,Resource Calendar ID0997,3589259.8139737067,1328348.633870983
production,200,16,Resource Calendar ID0998,1831868.070434054,929439.9395859652
production,200,16,Resource Calendar ID3641,2678963.5928995665,1580006.9088723257
production,200,16,Resource Calendar ID3716,1276244.6980299547,408554.87644103117
production,200,16,Resource Calendar ID3718,1548066.5063161093,973355.1298911673
production,200,16,Resource Calendar ID3846,2780947.4626467386,1205085.8438132398
production,200,16,Resource Calendar ID3854,1370996.4607824497,758140.3659091737
production,200,16,Resource Calendar ID3998,2621923.5740318075,1371511.897753143
production,200,16,Resource Calendar ID4109,1768013.250937324,1297445.0561418678
production,200,16,Resource Calendar ID4132,2699054.5279327286,1980253.8533772607
production,200,16,Resource Calendar ID4140,1511664.7363275979,1019965.9589936578
production,200,16,Resource Calendar ID4142,1875884.539736176,1470974.4376611237
production,200,16,Resource Calendar ID4160,2847634.618473464,1322526.473493495
production,200,16,Resource Calendar ID4162,2184342.395837586,1220392.7756016003
production,200,16,Resource Calendar ID4163,2402054.1314163986,1895876.8152525038
production,200,16,Resource Calendar ID4167,2545481.46957326,1685831.704565729
production,200,16,Resource Calendar ID4219,1659270.042023992,798731.0967837726
production,200,16,Resource Calendar ID4287,3734456.543771077,4911266.953979919
production,200,16,Resource Calendar ID4291,1760352.0544814365,1529940.5429292938
production,200,16,Resource Calendar ID4326,1895865.4722575096,1356294.65565952
production,200,16,Resource Calendar ID4355,2289869.139334482,1272272.935062934
production,200,16,Resource Calendar ID4385,2318287.8373582577,1200925.5376347462
production,200,16,Resource Calendar ID4429,3305798.185124277,1946447.525661727
production,200,16,Resource Calendar ID4442,2104749.5789854866,1349524.7561365124
production,200,16,Resource Calendar ID4445,4760900.467300152,1585206.6571391113
production,200,16,Resource Calendar ID4491,1201156.1632748567,771580.6065931106
production,200,16,Resource Calendar ID4493,56944554.46568028,35215743.07616025
production,200,16,Resource Calendar ID4528,3115702.420439302,1283972.7591604844
production,200,16,Resource Calendar ID4529,1636326.0637829585,1690164.9018336716
production,200,16,Resource Calendar ID4618,2046174.1556924502,1362038.1824625283
production,200,16,Resource Calendar ID4622,1266719.341476136,465010.43335246085
production,200,16,Resource Calendar ID4641,2271156.060238096,1240123.5711873062
production,200,16,Resource Calendar ID4718,1508033.7065649678,1050970.7547790234
production,200,16,Resource Calendar ID4783,1184934.239172359,372698.82606838015
production,200,16,Resource Calendar ID4794,2253297.609352044,1532983.6077047428
production,200,16,Resource Calendar ID4799,2226126.8106499515,1618658.931434792
production,200,16,Resource Calendar ID4820,1324354.18283402,440818.59719640244
production,200,16,Resource Calendar ID4851,2608198.8559669773,1527227.9152458499
production,200,16,Resource Calendar ID4872,2685099.924057754,1873244.3509990822
production,200,16,Resource Calendar ID4873,1820684.8702644883,1576560.3903182242
production,200,16,Resource Calendar ID4882,1353592.9784298264,621182.6469253494
production,200,16,Resource Calendar ID4890,2869609.849961566,1644746.0066542914
production,200,16,Resource Calendar ID4932,1561992.0960910479,726648.8534930733
production,200,16,Resource Calendar ID4955,2078259.119275197,1201662.5091784054
production,200,16,Resource Calendar Start,1262865.5977469215,679132.6406642155
production,300,16,Resource Calendar End,1759741.2844607711,1078918.2558744145
production,300,16,Resource Calendar ID0420,1101323.8220057224,572577.8811099459
production,300,16,Resource Calendar ID0937,2105510.6588494414,1258670.7898311422
production,300,16,Resource Calendar ID0997,5345002.013632964,2498880.1088565877
production,300,16,Resource Calendar ID0998,2435408.7857398507,2027500.9939906076
production,300,16,Resource Calendar ID3641,2277462.8019299973,1451516.1643086472
production,300,16,Resource Calendar ID3716,2950412.9664163776,1927113.1314281123
production,300,16,Resource Calendar ID3718,2049047.1788309491,1633194.1397031373
production,300,16,Resource Calendar ID3846,1648510.6374099618,1112919.494041921
production,300,16,Resource Calendar ID3854,884896.8630089976,367462.68335730536
production,300,16,Resource Calendar ID3998,3894025.525223109,2118049.486412224
production,300,16,Resource Calendar ID4109,2330336.3664220423,1973518.5680436247
production,300,16,Resource Calendar ID4132,1928545.3900478466,981979.9269709146
production,300,16,Resource Calendar ID4140,2139709.3868548186,1254359.273281422
production,300,16,Resource Calendar ID4142,1812059.411578187,1083120.8834768052
production,300,16,Resource Calendar ID4160,2413132.502408056,1879044.2908008252
production,300,16,Resource Calendar ID4162,3013916.5703437524,1841521.070374169
production,300,16,Resource Calendar ID4163,2155076.020091735,1071920.8439887601
production,300,16,Resource Calendar ID4167,2720436.8453053846,1119617.170950862
production,300,16,Resource Calendar ID4219,2665277.2612117636,1596047.3250826898
production,300,16,Resource Calendar ID4287,2101850.6393779637,1176961.331880105
production,300,16,Resource Calendar ID4291,4270752.1914405,5610340.284448071
production,300,16,Resource Calendar ID4326,2703200.1988228853,1521739.3833448293
production,300,16,Resource Calendar ID4355,2501362.6573883197,1877635.0103193435
production,300,16,Resource Calendar ID4385,1268078.7342952613,731461.965899023
production,300,16,Resource Calendar ID4429,1889215.2929911595,1159003.3960852746
