dataset,seed,n_samples,name,mu_star,mu_star_conf
production,100,16,Resource Calendar End,2324840.1824819767,1436160.4526356133
production,100,16,Resource Calendar ID0420,4045473.9735240466,2895040.256971522
production,100,16,Resource Calendar ID0937,2883507.57524556,2385630.7606264357
production,100,16,Resource Calendar ID0997,5175468.92781041,4497246.657064574
production,100,16,Resource Calendar ID0998,3601092.3247877564,3005156.288455542
production,100,16,Resource Calendar ID3641,2869199.5307575385,1369651.297457622
production,100,16,Resource Calendar ID3716,2338756.4646463823,1357733.8560604795
production,100,16,Resource Calendar ID3718,2061964.328631865,1789643.4226329818
production,100,16,Resource Calendar ID3846,2110624.7201709887,1087958.5993429418
production,100,16,Resource Calendar ID3854,1584728.3539442262,827385.3553179541
production,100,16,Resource Calendar ID3998,3557449.4706742004,2359598.4897096124
production,100,16,Resource Calendar ID4109,2724561.8231208418,2646543.0526596075
production,100,16,Resource Calendar ID4132,4883475.010624865,3175563.9614978917
production,100,16,Resource Calendar ID4140,1483481.5170632608,976346.5606119452
production,100,16,Resource Calendar ID4142,3871190.5808447553,1550244.9932565026
production,100,16,Resource Calendar ID4160,3198806.6952440813,1701096.0121698969
production,100,16,Resource Calendar ID4162,2358164.3407060583,1579880.5335388882
production,100,16,Resource Calendar ID4163,2326392.5489325467,1826182.2334866044
production,100,16,Resource Calendar ID4167,3259029.0002307734,2640585.533944553
production,100,16,Resource Calendar ID4219,3921407.321303069,3314866.7708750977
production,100,16,Resource Calendar ID4287,4742087.981477742,2550162.8901744555
production,100,16,Resource Calendar ID4291,3369327.970249152,2370981.31915661
production,100,16,Resource Calendar ID4326,3959935.0264963135,2227312.1248291074
production,100,16,Resource Calendar ID4355,4432900.7996756,3106306.172792116
production,100,16,Resource Calendar ID4385,3148027.0339210485,1666294.960696671
production,100,16,Resource Calendar ID4429,2321937.3838615236,1017306.4458560669
production,100,16,Resource Calendar ID4442,2787212.8815511577,1891555.1145102435
production,100,16,Resource Calendar ID4445,5404465.735324384,2532424.35010908
production,100,16,Resource Calendar ID4491,3145610.043370729,1958382.8777777757
production,100,16,Resource Calendar ID4493,107049893.30835536,53788195.83187288
production,100,16,Resource Calendar ID4528,3895969.097219964,2962777.479835407
production,100,16,Resource Calendar ID4529,2305902.212633638,1279632.4947008963
production,100,16,Resource Calendar ID4618,2839941.5994630633,1795383.35912203
production,100,16,Resource Calendar ID4622,1726460.0585525692,1603645.3585953594
production,100,16,Resource Calendar ID4641,3798896.6803573575,2011719.1210950431
production,100,16,Resource Calendar ID4718,3138230.727215922,2122594.5756210475
production,100,16,Resource Calendar ID4783,2516651.261370063,1322879.8095763302
production,100,16,Resource Calendar ID4794,2433518.5319960713,1645471.899716675
production,100,16,Resource Calendar ID4799,4332545.304032525,2728235.5837166184
production,100,16,Resource Calendar ID4820,3440073.7700073593,1755497.8124409197
production,100,16,Resource Calendar ID4851,2690978.3205749854,1863592.0838751476
production,100,16,Resource Calendar ID4872,3050829.443544941,1960943.2533853091
production,100,16,Resource Calendar ID4873,1675721.24888783,880608.0013206985
production,100,16,Resource Calendar ID4882,1573891.6236796407,798844.1047937149
production,100,16,Resource Calendar ID4890,2622415.2785958075,1728343.3915686097
production,100,16,Resource Calendar ID4932,5300637.247128967,3930995.8786422657
production,100,16,Resource Calendar ID4955,2315847.081209792,1416777.1179259534
production,100,16,Resource Calendar Start,3766585.572317517,2816348.3575746035
production,200,16,Resource Calendar End,1857879.2691703632,1241333.6409894668
production,200,16,Resource Calendar ID0420,3425996.1925810566,2780117.7079203604
production,200,16,Resource Calendar ID0937,4028075.18738842,2601450.5304361074
production,200,16,Resource Calendar ID0997,3395065.6932459846,1211052.006891864
production,200,16,Resource Calendar ID0998,1796134.7582274158,934722.8836962054
production,200,16,Resource Calendar ID3641,3109344.028242752,2078502.131131177
production,200,16,Resource Calendar ID3716,2079982.6715714475,1288158.6559124503
production,200,16,Resource Calendar ID3718,1674797.7680361932,1090788.210414082
production,200,16,Resource Calendar ID3846,3112540.6942591025,1301561.4016940775
production,200,16,Resource Calendar ID3854,1587184.0311850277,833369.7801369568
production,200,16,Resource Calendar ID3998,2959001.2345007975,1805569.7982385918
production,200,16,Resource Calendar ID4109,2119915.2574552856,1568833.08835431
production,200,16,Resource Calendar ID4132,3101850.2536507407,2610159.320296643
production,200,16,Resource Calendar ID4140,1926204.1618415301,1363202.3870155297
production,200,16,Resource Calendar ID4142,1920861.186700076,1475460.3247343267
production,200,16,Resource Calendar ID4160,3151586.9640149204,1549217.970154091
production,200,16,Resource Calendar ID4162,2700267.6822516844,1796720.422494834
production,200,16,Resource Calendar ID4163,2944768.7587362602,2407403.0151786422
production,200,16,Resource Calendar ID4167,2667398.964364987,1734063.7959576398
production,200,16,Resource Calendar ID4219,1841316.7774194458,778080.9073804733
production,200,16,Resource Calendar ID4287,4239578.395028941,5321952.30323215
production,200,16,Resource Calendar ID4291,1830141.7657092896,1612397.1484455797
production,200,16,Resource Calendar ID4326,2332412.1827355046,1754529.3809585671
production,200,16,Resource Calendar ID4355,2815549.226897707,1690860.2501580408
production,200,16,Resource Calendar ID4385,3232437.2364351014,1931395.841918996
production,200,16,Resource Calendar ID4429,3075355.2192236544,2067757.6939568482
production,200,16,Resource Calendar ID4442,2277659.3452482237,1671463.2409250261
production,200,16,Resource Calendar ID4445,5074553.865756486,1673235.8077145813
production,200,16,Resource Calendar ID4491,1344325.7807026594,889159.4993483815
