case_id,start_time,end_time,creator,variant,variant_index,activity,resource
177191,2011-10-17T08:07:54.451,2011-10-17T08:15:55.355,Fluxicon Disco, Variant 13,13,W_Completeren aanvraag,11201
177191,2011-10-17T08:16:32.327,2011-10-17T08:16:44.128,Fluxicon Disco, Variant 13,13,W_Nabellen offertes,11201
177191,2011-10-24T16:27:17.372,2011-10-24T16:29:18.062,Fluxicon Disco, Variant 13,13,W_Nabellen offertes,10881
177191,2011-10-26T08:50:21.964,2011-10-26T08:51:32.939,Fluxicon Disco, Variant 13,13,W_Nabellen offertes,NOT_SET
177191,2011-10-31T10:00:03.039,2011-10-31T10:11:25.966,Fluxicon Disco, Variant 13,13,W_Valideren aanvraag,10138
177194,2011-10-17T08:03:05.103,2011-10-17T08:05:29.032,Fluxicon Disco, Variant 1239,1239,W_Afhandelen leads,10881
177194,2011-10-17T10:53:23.034,2011-10-17T10:55:55.085,Fluxicon Disco, Variant 1239,1239,W_Completeren aanvraag,NOT_SET
177194,2011-10-17T17:07:30.733,2011-10-17T17:09:22.957,Fluxicon Disco, Variant 1239,1239,W_Completeren aanvraag,11180
177194,2011-10-21T16:13:36.528,2011-10-21T16:14:06.515,Fluxicon Disco, Variant 1239,1239,W_Completeren aanvraag,11203
177194,2011-10-21T16:45:34.625,2011-10-21T16:45:48.452,Fluxicon Disco, Variant 1239,1239,W_Completeren aanvraag,11203
177194,2011-10-21T18:11:53.842,2011-10-21T18:12:01.445,Fluxicon Disco, Variant 1239,1239,W_Completeren aanvraag,11201
177194,2011-10-21T19:16:05.23,2011-10-21T19:17:01.339,Fluxicon Disco, Variant 1239,1239,W_Completeren aanvraag,11203
177194,2011-10-22T14:18:53.312,2011-10-22T14:30:50.653,Fluxicon Disco, Variant 1239,1239,W_Completeren aanvraag,NOT_SET
177194,2011-10-22T14:31:10.875,2011-10-22T14:32:20.593,Fluxicon Disco, Variant 1239,1239,W_Nabellen offertes,NOT_SET
177194,2011-10-29T11:14:09.625,2011-10-29T11:19:47.674,Fluxicon Disco, Variant 1239,1239,W_Nabellen offertes,11181
177194,2011-11-09T16:02:22.501,2011-11-09T16:02:52.902,Fluxicon Disco, Variant 1239,1239,W_Nabellen offertes,11259
177194,2011-11-11T11:23:10.939,2011-11-11T11:58:09.962,Fluxicon Disco, Variant 1239,1239,W_Valideren aanvraag,10972
177197,2011-10-17T08:17:37.277,2011-10-17T08:25:41.16,Fluxicon Disco, Variant 13,13,W_Completeren aanvraag,11201
177197,2011-10-24T17:52:54.822,2011-10-24T17:58:17.984,Fluxicon Disco, Variant 13,13,W_Nabellen offertes,10913
177197,2011-10-25T14:25:11.244,2011-10-25T14:31:38.999,Fluxicon Disco, Variant 13,13,W_Nabellen offertes,11189
177197,2011-10-26T09:39:52.172,2011-10-26T09:40:31.84,Fluxicon Disco, Variant 13,13,W_Nabellen offertes,NOT_SET
177197,2011-10-31T10:48:01.176,2011-10-31T11:14:39.442,Fluxicon Disco, Variant 13,13,W_Valideren aanvraag,10629
